ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_cell,Metadata_cell,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_dish,Metadata_hour,Metadata_hour,Metadata_hour,Metadata_site,Metadata_site,Metadata_treatment,Metadata_treatment,Metadata_treatment
16,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,0,0,Dac,Dac,Dac
16,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,0,0,Dac,Dac,Dac
16,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,0,0,Dac,Dac,Dac
16,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,0,0,Dac,Dac,Dac
16,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,0,0,Dac,Dac,Dac
16,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,0,0,Dac,Dac,Dac
16,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,0,0,Dac,Dac,Dac
16,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,0,0,Dac,Dac,Dac
17,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,1,1,Dac,Dac,Dac
17,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,1,1,Dac,Dac,Dac
17,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,1,1,Dac,Dac,Dac
17,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,1,1,Dac,Dac,Dac
18,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,10,10,Dac,Dac,Dac
18,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,10,10,Dac,Dac,Dac
18,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,10,10,Dac,Dac,Dac
18,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,10,10,Dac,Dac,Dac
18,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,10,10,Dac,Dac,Dac
18,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,10,10,Dac,Dac,Dac
18,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,10,10,Dac,Dac,Dac
18,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,10,10,Dac,Dac,Dac
18,9,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,10,10,Dac,Dac,Dac
18,10,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,10,10,Dac,Dac,Dac
19,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,11,11,Dac,Dac,Dac
19,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,11,11,Dac,Dac,Dac
19,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,11,11,Dac,Dac,Dac
19,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,11,11,Dac,Dac,Dac
19,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,11,11,Dac,Dac,Dac
19,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,11,11,Dac,Dac,Dac
19,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,11,11,Dac,Dac,Dac
20,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,12,12,Dac,Dac,Dac
20,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,12,12,Dac,Dac,Dac
20,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,12,12,Dac,Dac,Dac
20,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,12,12,Dac,Dac,Dac
20,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,12,12,Dac,Dac,Dac
20,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,12,12,Dac,Dac,Dac
20,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,12,12,Dac,Dac,Dac
20,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,12,12,Dac,Dac,Dac
20,9,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,12,12,Dac,Dac,Dac
21,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
21,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
21,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
21,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
21,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
21,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
21,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
21,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
21,9,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
21,10,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
21,11,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,13,13,Dac,Dac,Dac
22,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,14,14,Dac,Dac,Dac
22,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,14,14,Dac,Dac,Dac
22,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,14,14,Dac,Dac,Dac
22,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,14,14,Dac,Dac,Dac
22,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,14,14,Dac,Dac,Dac
22,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,14,14,Dac,Dac,Dac
22,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,14,14,Dac,Dac,Dac
22,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,14,14,Dac,Dac,Dac
22,9,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,14,14,Dac,Dac,Dac
22,10,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,14,14,Dac,Dac,Dac
23,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,15,15,Dac,Dac,Dac
23,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,15,15,Dac,Dac,Dac
23,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,15,15,Dac,Dac,Dac
23,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,15,15,Dac,Dac,Dac
23,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,15,15,Dac,Dac,Dac
23,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,15,15,Dac,Dac,Dac
23,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,15,15,Dac,Dac,Dac
23,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,15,15,Dac,Dac,Dac
23,9,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,15,15,Dac,Dac,Dac
24,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,9,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,10,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,11,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,12,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,13,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,14,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,15,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
24,16,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,16,16,Dac,Dac,Dac
25,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,2,2,Dac,Dac,Dac
25,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,2,2,Dac,Dac,Dac
25,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,2,2,Dac,Dac,Dac
25,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,2,2,Dac,Dac,Dac
25,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,2,2,Dac,Dac,Dac
25,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,2,2,Dac,Dac,Dac
25,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,2,2,Dac,Dac,Dac
25,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,2,2,Dac,Dac,Dac
25,9,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,2,2,Dac,Dac,Dac
25,10,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,2,2,Dac,Dac,Dac
26,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,3,3,Dac,Dac,Dac
26,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,3,3,Dac,Dac,Dac
26,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,3,3,Dac,Dac,Dac
26,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,3,3,Dac,Dac,Dac
26,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,3,3,Dac,Dac,Dac
26,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,3,3,Dac,Dac,Dac
26,7,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,3,3,Dac,Dac,Dac
26,8,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,3,3,Dac,Dac,Dac
26,9,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,3,3,Dac,Dac,Dac
27,1,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,4,4,Dac,Dac,Dac
27,2,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,4,4,Dac,Dac,Dac
27,3,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,4,4,Dac,Dac,Dac
27,4,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,4,4,Dac,Dac,Dac
27,5,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,4,4,Dac,Dac,Dac
27,6,nan,0,0,H1975,H1975,H1975,7,1,1,2,2,2,4,4,Dac,Dac,Dac
