Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,4.0,A133,10,1,60.0,9,0.06828618794679642,0.002372161252424121,0.0701201856136322,0.002307271584868431,0.07211123406887054,0.0017948845634236932,0.32312363386154175,0.0,0.101951756,0.12777309,0.06570570915937424,0.002745079342275858,0.39423733949661255,0.0,0.09915852,0.12946601,0.30082852,0.14120749,0.21058476,7677,9986,17663,0.0910969,-0.08669511,0.34739143,0.56180704,0.5630787,0.6854658,6.8230867,0.0,0.6581074,0.99784315,6.8230867,0.077270485,1.2365271,0.44534153,2.2211912,0.0,0.0808075
MCF7,4.0,A133,10,1,60.0,10,0.04081347957253456,0.0007534019532613456,0.04456351697444916,0.0006555114523507655,0.03733791410923004,0.0004271873040124774,0.1275533139705658,0.0,0.05376255,0.06441135,0.044192444533109665,0.0010473881848156452,0.19645923376083374,0.0,0.07072626,0.087720476,0.2626024,0.31164643,0.28746754,4827,4964,9791,0.40334785,0.13451602,0.53033364,0.8776774,0.86069626,0.10613699,1.154039,0.0,0.0036228665,0.1101078,1.0664239,0.031344853,0.0037406818,0.102276556,1.154039,0.0,0.0034780935
MCF7,4.0,A133,10,1,60.0,11,0.0625268816947937,0.0006112963892519474,0.06291906535625458,0.0005904550198465586,0.06917519122362137,0.0005577179254032671,0.3096725046634674,0.004931723233312368,0.08565814,0.0982901,0.058765288442373276,0.0006024529575370252,0.23218345642089844,0.0,0.077899076,0.08977467,0.18865325,0.14463215,0.16052324,10656,18863,29519,0.67747414,0.13973421,0.5431165,0.8146731,0.82706225,0.43674856,3.4404151,0.13138752,0.05617249,0.513426,3.4404151,0.13386416,0.08910521,0.39343464,1.3787628,0.13138752,0.03237196
MCF7,4.0,A133,10,1,60.0,12,0.05979442223906517,0.0008652794058434665,0.06048280745744705,0.0008336050668731332,0.06341586261987686,0.0008255608263425529,0.28617289662361145,0.0,0.084044285,0.100969695,0.05373048782348633,0.000873055134434253,0.21815508604049683,0.0,0.07722767,0.09276324,0.18665588,0.07847717,0.14621279,18924,11299,30223,0.13791029,0.3995303,0.53218937,0.7528965,0.7336038,0.42913017,3.9851303,0.091800876,0.1387396,0.53584874,3.9851303,0.10548991,0.17980863,0.25040972,1.6039943,0.091800876,0.018947896
MCF7,4.0,A133,11,1,60.0,1,0.060951001942157745,0.0006778019014745951,0.06134374812245369,0.000658076663967222,0.05940570309758186,0.00040690344758331776,0.13385851681232452,0.0,0.07549767,0.08570767,0.061416834592819214,0.0007585296407341957,0.1834503412246704,0.0,0.08337202,0.09760997,0.39910915,0.3964147,0.39703473,3019,10100,13119,0.706106,0.54086024,0.8284086,0.9243089,0.9267246,0.259181,0.8821195,0.112493366,0.005147172,0.26886854,0.8666506,0.112493366,0.009359613,0.25628555,0.8821195,0.12256483,0.0038517192
MCF7,4.0,A133,11,1,60.0,2,0.06591683626174927,0.0010673045180737972,0.066267229616642,0.0010497582843527198,0.06792381405830383,0.0009297621436417103,0.23753803968429565,0.0,0.08976533,0.11045347,0.06490999460220337,0.0011332707945257425,0.24759730696678162,0.0,0.091255516,0.11078168,0.26025748,0.2607789,0.26060468,3159,6296,9455,0.30180976,0.5215832,0.6457722,0.8195291,0.80404395,0.2490122,1.3717787,0.06330565,0.023931608,0.28649163,1.3717787,0.06837933,0.036941275,0.23021,1.2133907,0.06330565,0.016346864
MCF7,4.0,A133,11,1,60.0,3,0.047877032309770584,0.0006108395173214376,0.04973093047738075,0.0005422965041361749,0.04603474587202072,0.00035744556225836277,0.10902993381023407,0.0,0.060913417,0.069593415,0.04877123981714249,0.0007313849637284875,0.1718282699584961,0.0,0.070476085,0.08362288,0.5276203,0.70366,0.6461282,2656,5471,8127,0.8470003,0.6028309,0.87478155,0.9699146,0.9636091,0.19859901,0.4701402,0.091677964,0.001801525,0.17780352,0.46780977,0.09264301,0.0014551298,0.20869271,0.4701402,0.091677964,0.0016578713
MCF7,4.0,A133,11,1,60.0,4,0.06254768371582031,0.0007040651398710907,0.0631767213344574,0.0006714053452014923,0.06713378429412842,0.0007171349716372788,0.15392176806926727,0.0,0.08865018,0.10257296,0.058783940970897675,0.0006619123159907758,0.1555166393518448,0.0,0.079232484,0.09003366,0.36586592,0.16105661,0.25338113,7515,9156,16671,0.39517877,0.47057202,0.7042666,0.83716494,0.8151149,0.23838149,1.1583552,0.05411983,0.031968754,0.3477285,1.1583552,0.056781854,0.04605825,0.14864217,0.4928119,0.05411983,0.0025398645
MCF7,4.0,A133,12,1,60.0,1,0.04968610033392906,0.00040325982263311744,0.04978565871715546,0.00039911142084747553,0.05037384107708931,0.0002538229164201766,0.12083271890878677,0.001431052922271192,0.06267103,0.07154961,0.04937172308564186,0.0004712556255981326,0.1673630028963089,0.0,0.06524518,0.078463554,0.33992296,0.21316889,0.25293517,8001,17502,25503,0.2548031,0.15320362,0.6154665,0.7377577,0.7360158,0.10898793,0.71607,0.022896094,0.0074828537,0.1596172,0.71607,0.022896094,0.018604027,0.08584419,0.50029224,0.027134936,0.00069174304
MCF7,4.0,A133,12,1,60.0,2,0.0468471497297287,0.0007372542750090361,0.04966875538229942,0.000641513557638973,0.04396665841341019,0.00031974862213246524,0.14927823841571808,0.0,0.05767957,0.06619833,0.04909466579556465,0.0010514897294342518,0.19709795713424683,0.0,0.07530083,0.093013234,0.2235407,0.17477974,0.19607699,12278,15833,28111,0.37458304,0.4380442,0.6464509,0.7980183,0.78938466,0.08930659,0.67124236,0.017596284,0.0044084084,0.113727875,0.67124236,0.018576285,0.00757152,0.070369825,0.6425196,0.017596284,0.0011346077
MCF7,4.0,A133,13,1,60.0,1,0.04310579225420952,0.000184193006134592,0.04310579225420952,0.000184193006134592,0.04380221292376518,0.00010106467379955575,0.08751829713582993,0.00710839219391346,0.051677413,0.05662055,0.04255704954266548,0.00024901030701585114,0.10371934622526169,0.00165429781191051,0.055307824,0.06419662,0.39373994,0.32711372,0.35647702,10746,13637,24383,0.5388112,0.7340746,0.8087394,0.9173848,0.9014384,0.07436874,0.29521716,0.01524092,0.0015389532,0.09424028,0.29521716,0.02391448,0.0017960039,0.05871104,0.17383055,0.01524092,0.0007801049
MCF7,4.0,A133,13,1,60.0,2,0.0525665208697319,0.00018827247549779713,0.05256962776184082,0.00018812048074323684,0.053414881229400635,0.00011972135689575225,0.12448102980852127,0.016238780692219734,0.061967377,0.06726814,0.051364295184612274,0.0002829522709362209,0.11166401952505112,0.0,0.06465691,0.073462345,0.38795003,0.30166468,0.35225543,9934,7009,16943,0.35474506,0.7268555,0.80743444,0.93618,0.931206,0.14089423,0.55241716,0.04472036,0.0026637204,0.1614054,0.55241716,0.056872588,0.002927389,0.111827515,0.22653058,0.04472036,0.0008490037
MCF7,4.0,A133,13,1,60.0,3,0.0534142442047596,0.00032123716664500535,0.05359330400824547,0.0003127173404209316,0.056975655257701874,0.0002584897156339139,0.11927561461925507,0.0014940978726372123,0.069818474,0.07729497,0.050582822412252426,0.0003530221583787352,0.15139906108379364,0.0,0.065428205,0.07453219,0.5962774,0.468605,0.5251573,4507,5668,10175,0.6242003,0.55319333,0.7534495,0.92866224,0.9063859,0.30232024,0.9565596,0.082062535,0.017115515,0.3635134,0.9565596,0.103824995,0.017498137,0.2536701,0.66401505,0.082062535,0.011467422
MCF7,4.0,A133,13,1,60.0,4,0.043057963252067566,0.0003735038626473397,0.04399596154689789,0.0003403723821975291,0.04378873482346535,0.00015733696636743844,0.09678593277931213,0.0,0.053548712,0.060025625,0.04241783916950226,0.0005619795992970467,0.13610638678073883,0.0,0.060305424,0.07438267,0.3167933,0.17850429,0.2430806,7994,9125,17119,0.47462597,0.24932574,0.6655405,0.8363118,0.8290972,0.15941294,0.85598177,0.037679795,0.011616399,0.21108495,0.85598177,0.037679795,0.01703151,0.11415034,0.54258174,0.03813365,0.0024854704
MCF7,4.0,A133,14,1,60.0,1,0.05930598825216293,0.00015542448090855032,0.05930598825216293,0.00015542448090855032,0.0610177144408226,0.00015277351485565305,0.12442277371883392,0.023089267313480377,0.07089817,0.07696603,0.05551549792289734,0.00014043865667190403,0.09490064531564713,0.012966219335794449,0.064950995,0.07061291,0.24982408,0.16389462,0.22311851,10321,4654,14975,0.49056408,0.6901973,0.7026831,0.893369,0.88365716,0.23310643,0.9904269,0.09215261,0.00979254,0.2586955,0.9904269,0.09215261,0.011067984,0.1763707,0.4236098,0.098686844,0.0022938827
MCF7,4.0,A133,14,1,60.0,2,0.06163923069834709,0.00015617033932358027,0.06163923069834709,0.00015617033932358027,0.06452645361423492,9.981061884900555e-05,0.09970803558826447,0.025029698386788368,0.07245804,0.07720169,0.06017879769206047,0.000178329020855017,0.11145863682031631,0.0034317129757255316,0.0708464,0.077287704,0.78156334,0.5319477,0.6158051,3257,6438,9695,0.81495845,0.89974916,0.9440839,0.9841145,0.9679198,0.23951283,0.42316973,0.1291401,0.0028930206,0.28759864,0.42316973,0.15398346,0.0020640185,0.21518989,0.3712831,0.1291401,0.0015511543
MCF7,4.0,A133,14,1,60.0,3,0.09261677414178848,0.0013273005606606603,0.09266743808984756,0.001323331263847649,0.11766353249549866,0.0012341488618403673,0.26211318373680115,0.023917540907859802,0.14607964,0.16119826,0.07924896478652954,0.0008634987752884626,0.206716388463974,0.0,0.102792434,0.11849975,0.47329995,0.19337301,0.29078948,6364,11923,18287,0.66782457,0.85587764,0.8979378,0.9407343,0.90954155,0.49078557,2.34553,0.086411886,0.115203634,0.8399026,2.34553,0.24590856,0.112053715,0.30445716,0.91372985,0.086411886,0.01711607
MCF7,4.0,A133,14,1,60.0,4,0.09471612423658371,0.0008529825136065483,0.09475073963403702,0.0008500129915773869,0.10134628415107727,0.000625700457021594,0.23720000684261322,0.007212746422737837,0.120715246,0.133128,0.08622948825359344,0.0010156127391383052,0.23840276896953583,0.0,0.11192961,0.1271913,0.4473467,0.23369433,0.35364684,9216,7199,16415,0.69911265,0.5828245,0.84058446,0.9466642,0.93254256,0.49539298,1.8634262,0.14131454,0.039428525,0.6051981,1.8634262,0.24995421,0.035885096,0.35484254,1.2095379,0.14131454,0.008776527
MCF7,4.0,A133,15,1,60.0,1,0.0866355299949646,0.0008788211271166801,0.08699274063110352,0.0008513702196069062,0.08458349108695984,0.0002454394125379622,0.1697942316532135,0.017964165657758713,0.096827075,0.104483336,0.08747255802154541,0.001134758465923369,0.2910906672477722,0.0,0.113420896,0.13100958,0.5948921,0.9519409,0.8484917,6703,16432,23135,0.8553676,0.6902062,0.9193723,0.9664193,0.9644911,0.37621242,1.2300931,0.0,0.018914577,0.2611283,0.71760005,0.15202603,0.0032996878,0.42315516,1.2300931,0.0,0.0176779
MCF7,4.0,A133,15,1,60.0,2,0.07736238092184067,0.0018002091674134135,0.08146467804908752,0.0015614767326042056,0.07004418224096298,0.00020631698134820908,0.12597478926181793,0.02419174276292324,0.08143067,0.08889396,0.07845796644687653,0.002029609866440296,0.3842166066169739,0.0,0.11230525,0.13708633,0.60352683,1.1513827,1.0800416,3796,25355,29151,0.8888135,0.8732405,0.96263206,0.98583364,0.9736796,0.23493238,1.0770694,0.0,0.014689363,0.14522524,0.3289485,0.09327568,0.00053442374,0.24836227,1.0770694,0.0,0.015423353
MCF7,4.0,A133,15,1,60.0,3,0.0694899931550026,0.00037269011954776943,0.0694899931550026,0.00037269011954776943,0.06806795299053192,0.00015932095993775874,0.11847206205129623,0.025371938943862915,0.07762594,0.08248113,0.07061216980218887,0.0005382109084166586,0.14038601517677307,0.010038522072136402,0.090014204,0.100931816,0.70688796,1.0334004,0.88937956,10134,12841,22975,0.9336552,0.8393447,0.9548419,0.987822,0.98488224,0.04150877,0.12061545,0.020360429,8.972479e-05,0.037593555,0.08436088,0.024407905,2.4838342e-05,0.044598382,0.12061545,0.020360429,0.00011928637
MCF7,4.0,A133,15,1,60.0,4,0.08022376894950867,0.0008750131237320602,0.08029261231422424,0.0008702364284545183,0.08383592218160629,0.0006915564299561083,0.2203061431646347,0.021250523626804352,0.10449221,0.11994153,0.07650508731603622,0.0010366190690547228,0.20127873122692108,0.0,0.10169453,0.120577626,0.233874,0.11935521,0.17745186,11241,10917,22158,0.40781257,0.6033122,0.6816884,0.8007359,0.7882178,0.23313376,1.6816416,0.043366324,0.043727715,0.32826558,1.6816416,0.054467574,0.06472904,0.13519654,0.35443634,0.043366324,0.0031984223
MCF7,4.0,A133,16,1,60.0,1,0.05449305474758148,0.0003047310165129602,0.054518599063158035,0.0003034810652025044,0.062422361224889755,0.0002639864687807858,0.14947724342346191,0.010630696080625057,0.0747839,0.083902776,0.047792594879865646,0.0002411349705653265,0.12101972848176956,0.0,0.059988435,0.067777134,0.38664967,0.18589334,0.2778454,7819,9252,17071,0.5939179,0.7771826,0.8399717,0.9088657,0.89452094,0.37276092,1.6016835,0.11313941,0.046975322,0.52095234,1.6016835,0.1642288,0.058173146,0.24753572,0.44080293,0.11313941,0.0032742512
MCF7,4.0,A133,16,1,60.0,2,0.0660143494606018,0.0004813449049834162,0.06603891402482986,0.0004799015587195754,0.06618458032608032,0.0002703899226617068,0.1226133406162262,0.0,0.07878642,0.08711468,0.06585671752691269,0.0006766154547221959,0.14268971979618073,0.0,0.08766105,0.09849421,0.94526476,1.0855277,1.0180912,9046,9769,18815,0.7249053,0.56499666,0.8513792,0.9601985,0.9563379,0.33187506,0.56091315,0.12210189,0.0064778985,0.34511584,0.5445367,0.12210189,0.0070851124,0.31961542,0.56091315,0.13170171,0.0056030573
