ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,0,3,2,8,control,0.19482954263756772,-0.047808769504223025
2,A549,0,3,2,8,control,0.2903338114467705,0.047695499304979766
3,A549,0,3,2,8,control,0.4095876547638104,0.1669493426220197
4,A549,0,3,2,8,control,0.13622444261864392,-0.10641386952314683
5,A549,0,3,2,8,control,0.25828924488870564,0.015650932746914897
1,A549,0,3,2,9,control,0.6623665164768907,0.41972820433509994
2,A549,0,3,2,9,control,0.7850570078670452,0.5424186957252545
3,A549,0,3,2,9,control,0.22941435405700356,-0.013223958084787185
4,A549,0,3,2,9,control,0.10502922023026377,-0.13760909191152698
5,A549,0,3,2,9,control,0.20372231485466868,-0.038915997287122056
6,A549,0,3,2,9,control,0.05722470917769695,-0.1854136029640938
