Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,outer_intensity_mean,inner_intensity_mean,intensity_ratio
PC9,4.0,control,17,3,0.0,2,1328.7213392857143,1905.613668224299,0.6972669022278014
PC9,4.0,control,17,3,0.0,3,1922.0092069892473,2410.676149764151,0.7972905058928332
PC9,4.0,control,17,3,0.0,4,2205.6541598135964,2322.177484939759,0.9498215248912444
PC9,4.0,control,17,3,0.0,5,309.461189516129,327.02761363636364,0.9462845845801648
PC9,4.0,control,17,3,0.0,6,1937.2220427435389,2056.7916666666665,0.9418659527549974
PC9,4.0,control,17,3,0.0,7,539.0536319770474,498.5774717514124,1.0811832915022204
PC9,4.0,control,18,3,0.0,1,262.4141355140187,261.0152250206441,1.0053594976816542
PC9,4.0,control,18,3,0.0,2,946.4466967922607,929.3148764258555,1.01843489306046
PC9,4.0,control,18,3,0.0,3,348.1498411978221,388.6356745049505,0.8958257412711795
PC9,4.0,control,18,3,0.0,4,1333.2415227464196,1063.2619777475022,1.2539162978167087
PC9,4.0,control,18,3,0.0,5,407.96168044890726,438.0560997910136,0.9313000792444993
PC9,4.0,control,19,3,0.0,1,503.7302872860636,472.80545774647885,1.0654070908719646
PC9,4.0,control,19,3,0.0,2,753.1668808672329,744.1594434306569,1.0121041767541787
PC9,4.0,control,19,3,0.0,3,370.6438503440367,375.92548894557825,0.9859503046298993
PC9,4.0,control,19,3,0.0,4,1283.2213995147017,1692.5630354957161,0.7581527970323854
PC9,4.0,control,2,3,0.0,1,295.4815476190476,289.32815545808967,1.0212678650344809
PC9,4.0,control,2,3,0.0,2,305.2625138274336,310.08724137931034,0.9844407414816048
PC9,4.0,control,2,3,0.0,3,410.3720714020082,419.43125,0.9784012788794546
PC9,4.0,control,2,3,0.0,4,989.2625263991553,1579.9356828193834,0.6261410114073908
PC9,4.0,control,2,3,0.0,5,508.29709908735333,584.2179747137404,0.8700470048639167
PC9,4.0,control,20,3,0.0,1,1420.465110021526,1690.3745421245421,0.84032566429699
PC9,4.0,control,20,3,0.0,2,345.83946488294316,373.0786358511838,0.9269881243505298
PC9,4.0,control,20,3,0.0,3,404.79029369627506,,
PC9,4.0,control,20,3,0.0,4,543.7613360814743,511.0124562937063,1.0640862651867442
PC9,4.0,control,20,3,0.0,5,391.0060122282609,396.86015625,0.9852488491738352
PC9,4.0,control,20,3,0.0,6,557.9176304291956,588.2025593008739,0.9485127556947824
PC9,4.0,control,20,3,0.0,7,534.2461032388665,489.5072575136612,1.0913956739935702
PC9,4.0,control,20,3,0.0,8,398.93156725888326,409.46556933842237,0.9742737781431562
PC9,4.0,control,21,3,0.0,1,331.98678977272726,341.5565318302387,0.9719819673591608
PC9,4.0,control,21,3,0.0,2,1219.6930103724658,1304.2894841269842,0.9351398023337262
PC9,4.0,control,21,3,0.0,3,2322.577655728587,2043.7199367088608,1.136446150967627
PC9,4.0,control,22,3,0.0,1,650.5333890238963,596.6543838219327,1.0903018676521505
PC9,4.0,control,22,3,0.0,2,2036.0541952054793,675.6423093777388,3.013509022371126
PC9,4.0,control,22,3,0.0,3,1524.282197740688,1645.8866191904049,0.926116161324932
PC9,4.0,control,23,3,0.0,1,1222.4502094165223,2164.492958690987,0.5647743987838238
PC9,4.0,control,23,3,0.0,2,372.195293398533,377.7621015348288,0.9852637199081694
PC9,4.0,control,23,3,0.0,3,666.1109894921191,602.0348408385094,1.106432625335047
PC9,4.0,control,23,3,0.0,4,693.337203693495,634.9017857142857,1.0920385157106898
PC9,4.0,control,23,3,0.0,5,1030.1387076537014,1130.715219665272,0.9110505366317221
PC9,4.0,control,23,3,0.0,6,840.1815809097689,1020.151034107402,0.8235854817761368
PC9,4.0,control,24,3,0.0,1,1660.686026674938,1273.0475270479135,1.3044964868875903
PC9,4.0,control,24,3,0.0,2,822.0511722866175,746.6239370748299,1.1010243999238776
PC9,4.0,control,24,3,0.0,3,603.2149179620035,722.5080555555555,0.8348902317748909
PC9,4.0,control,25,3,0.0,1,2630.9167863175676,3578.8259178321678,0.7351340486298967
PC9,4.0,control,25,3,0.0,2,1136.3380182160804,1230.9216603053435,0.9231603073214256
PC9,4.0,control,25,3,0.0,3,650.8978150406504,591.5686528497409,1.100291254286557
PC9,4.0,control,25,3,0.0,4,503.0779379760609,476.4164051603905,1.0559626673785394
PC9,4.0,control,25,3,0.0,5,587.0011160714286,533.6888075313808,1.0998939977524504
PC9,4.0,control,26,3,0.0,1,347.5143008474576,347.5577850877193,0.9998748863005594
PC9,4.0,control,26,3,0.0,2,1885.4669358135732,2321.849151234568,0.8120540194486955
PC9,4.0,control,26,3,0.0,3,467.6078358208955,475.1059750297265,0.9842179648269802
PC9,4.0,control,26,3,0.0,4,389.3885907202216,385.89019268774706,1.0090657863266956
