ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_std,E_Ed_diff,E_Fp,E
5,4,60,2,GEF,0.6098375352403852,False,0.2223807298041033,0.1022625565528869,0.7885352969169617,-0.2541635930538177,0.0018596463,True,0.0986594360539781,0.0635856086849484,0.16645738987342065,0.0635856086849484,0.9981403537,0.5822988717867104
6,4,60,2,GEF,0.5954490051244192,True,0.2079921996881373,0.052113264799118,0.1233913525938987,0.1196750551462173,0.81914574,False,0.0404204800488343,0.0,0.4656143420006277,0.0,0.18085426000000004,0.32323430100031386
1,5,60,2,GEF,0.713305065247887,True,0.3258482598116051,0.0971839055418968,0.4491941630840301,0.8411669731140137,0.9497937,False,0.1140657727071856,0.0,0.19675320670818924,0.0,0.05020630000000004,0.12347975335409464
2,5,60,2,GEF,0.7254319246707356,True,0.3379751192344537,0.1994217634201049,1.887290954589844,0.2501842379570007,0.4403412,False,0.2405448852271015,0.0,0.013129104392659352,0.0,0.5596588,0.2863939521963297
3,5,60,2,GEF,0.5985690209865707,False,0.2111122155502888,0.2250703871250152,1.3712713718414309,0.7519731521606445,0.9845502,False,0.2128089896542602,0.0,0.16613154621162987,0.0,0.015449799999999958,0.09079067310581491
1,6,60,2,GEF,0.6080162632346535,False,0.2205594577983716,0.3952356576919555,2.057789325714112,0.902212142944336,0.7993312,False,0.2476516172957541,0.0,1.0,0.0,0.20066879999999998,0.6003343999999999
1,7,60,2,GEF,0.5881471967005861,False,0.2006903912643042,0.1978095769882202,0.7074690461158752,0.6465884447097778,0.86379826,False,0.1524763272065629,0.0,0.0035118842414451736,0.0,0.13620173999999996,0.06985681212072256
2,7,60,2,GEF,0.5321442870074835,True,0.1446874815712016,0.3909060955047607,2.0284056663513184,0.521701455116272,0.19632217,False,0.2464839151211292,0.0,1.0,0.0,0.80367783,0.901838915
3,7,60,2,GEF,0.6497920002631361,False,0.2623351948268542,0.2292351573705673,1.1579196453094482,0.3409485816955566,0.72167814,False,0.1974653831064092,0.0,0.19097576493134505,0.0,0.27832186000000003,0.23464881246567254
4,7,60,2,GEF,0.6355443509258272,False,0.2480875454895453,0.1338471174240112,0.3827331662178039,0.7269080877304077,0.9314803,False,0.1018604374359573,0.0,0.0,0.0,0.06851969999999996,0.03425984999999998
1,8,60,2,GEF,0.6368245127567458,False,0.2493677073204639,0.3049968183040619,1.015815019607544,0.7192235589027405,0.7843377,False,0.1854435667853862,0.0,0.6429188887593265,0.0,0.21566229999999997,0.4292905943796632
2,8,60,2,GEF,0.6232417508312353,False,0.2357849453949534,0.2883484959602356,0.7906699180603027,0.8324871063232422,0.7976241,False,0.1624903210310102,0.0,0.5436061926824959,0.0,0.20237590000000005,0.37299104634124797
