Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,Nuclei_Ed_mean_value,Nuclei_Ed_variance,Nuclei_Ed_not_zero_mean_value,Nuclei_Ed_not_zero_variance,Nuclei_Ed_agg_mean_value,Nuclei_Ed_agg_variance,Nuclei_Ed_agg_max_value,Nuclei_Ed_agg_min_value,Nuclei_Ed_agg_top_50_value,Nuclei_Ed_agg_top_25_value,Mit_Ed_mean_value,Mit_Ed_variance,Mit_Ed_not_zero_mean_value,Mit_Ed_not_zero_variance,Mit_Ed_agg_mean_value,Mit_Ed_agg_variance,Mit_Ed_agg_max_value,Mit_Ed_agg_min_value,Mit_Ed_agg_top_50_value,Mit_Ed_agg_top_25_value,ObjectNumber
H1975,2.0,control,15,1,0.0,0.045931387692689896,0.010537069290876389,0.24512557685375214,0.007406401447951794,0.22181758284568787,0.005031217820942402,0.3820796012878418,0.038598522543907166,0.27447545528411865,0.3004772663116455,0.014719015918672085,0.003966820426285267,0.27109295129776,0.0035592291969805956,0.28705355525016785,0.0026339618489146233,0.3960232138633728,0.1807471662759781,0.3290673792362213,0.35516470670700073,0.0619489848613739,0.013152283616364002,0.24229566752910614,0.007744168862700462,0.22181758284568787,0.005031217820942402,0.3820796012878418,0.038598522543907166,0.27447545528411865,0.3004772663116455,2
H1975,2.0,control,16,1,0.0,0.07444082200527191,0.004599997773766518,0.10805633664131165,0.0030448674224317074,0.07702741771936417,0.0020670932717621326,0.21219876408576965,0.0,0.11487790197134018,0.1358235627412796,0.10562562197446823,0.0030526146292686462,0.10882174968719482,0.002797175897285342,0.07118753343820572,0.0013070650165900588,0.1601424664258957,0.0,0.0987745150923729,0.11585302650928497,0.06300974637269974,0.004680060315877199,0.10759132355451584,0.0031947745010256767,0.08704058080911636,0.0016950611025094986,0.19228613376617432,0.0,0.12019214779138565,0.13936373591423035,1
H1975,2.0,control,16,1,0.0,0.05689067393541336,0.011834763921797276,0.2329753190279007,0.007441649213433266,0.2238975614309311,0.004167330916970968,0.38418659567832947,0.02641926519572735,0.2737562954425812,0.30505603551864624,0.13294461369514465,0.018987171351909637,0.25220873951911926,0.00594104640185833,0.22115518152713776,0.0037880053278058767,0.38418659567832947,0.040806375443935394,0.2691187858581543,0.30018478631973267,0.03210197389125824,0.00700377905741334,0.21123196184635162,0.008247108198702335,0.22343149781227112,0.007434521801769733,0.43118351697921753,0.0,0.29400917887687683,0.33157065510749817,2
H1975,2.0,control,17,1,0.0,0.038098324090242386,0.005751532036811113,0.17102685570716858,0.003084804629907012,0.13048133254051208,0.0005611212109215558,0.19895006716251373,0.07974229753017426,0.14979997277259827,0.16169653832912445,0.012750224210321903,0.0026313099078834057,0.19913990795612335,0.0039795986376702785,0.1825183480978012,0.004053804092109203,0.3444952368736267,0.04985810071229935,0.23513658344745636,0.2722337543964386,0.05394357815384865,0.007049283012747765,0.16753238439559937,0.002863130532205105,0.1313788890838623,0.000568562129046768,0.19895006716251373,0.07974229753017426,0.15096010267734528,0.16266411542892456,1
H1975,2.0,control,17,1,0.0,0.14777275919914246,0.0007433758000843227,0.14777275919914246,0.0007433758000843227,0.13543590903282166,0.0005848928121849895,0.2082349956035614,0.0652589350938797,0.1551714837551117,0.16655157506465912,0.14518876373767853,0.0005686631775461137,0.14518876373767853,0.0005686631775461137,0.13955576717853546,0.0006408897461369634,0.19961178302764893,0.08101742714643478,0.16050265729427338,0.17223262786865234,0.14965032041072845,0.0008619484724476933,0.14965032041072845,0.0008619484724476933,0.14365248382091522,0.0006191565189510584,0.2292153686285019,0.08166319876909256,0.16361859440803528,0.17577742040157318,2
H1975,2.0,control,18,1,0.0,0.11090226471424103,0.010575804859399796,0.163887619972229,0.006944925524294376,0.13267381489276886,0.0027695181779563427,0.290831595659256,0.055031731724739075,0.17214128375053406,0.1987464427947998,0.1003371998667717,0.01090576034039259,0.16631655395030975,0.007103671785444021,0.11501593887805939,0.00400936882942915,0.22413618862628937,0.010060909204185009,0.17138735949993134,0.19621069729328156,0.11562895774841309,0.010355907492339611,0.1629636436700821,0.006881441920995712,0.13267381489276886,0.0027695181779563427,0.290831595659256,0.055031731724739075,0.17214128375053406,0.1987464427947998,1
H1975,2.0,control,18,1,0.0,0.21213579177856445,0.006052413024008274,0.21862953901290894,0.004817957058548927,0.24571771919727325,0.0010530879953876138,0.3075777590274811,0.15998296439647675,0.27116677165031433,0.2865334451198578,0.23355267941951752,0.004379793535917997,0.2339915633201599,0.004285323433578014,0.1829722374677658,0.001805429463274777,0.2841263711452484,0.06796771287918091,0.2180115133523941,0.24162904918193817,0.20385725796222687,0.0064531173557043076,0.2124527096748352,0.004899078514426947,0.24571771919727325,0.0010530879953876138,0.3075777590274811,0.15998296439647675,0.27116677165031433,0.2865334451198578,2
H1975,2.0,control,19,1,0.0,0.047184575349092484,0.008591118268668652,0.19532696902751923,0.00662790285423398,0.1756162941455841,0.0025958516635000706,0.28201204538345337,0.04686485230922699,0.2176000028848648,0.23945873975753784,0.03246086835861206,0.006715059280395508,0.21259929239749908,0.005682321731001139,0.21826909482479095,0.004260151647031307,0.4204980731010437,0.008270593360066414,0.26748958230018616,0.29887229204177856,0.05192078649997711,0.009102431125938892,0.19218683242797852,0.006735711824148893,0.19582951068878174,0.0034749361220747232,0.3668692708015442,0.04686485230922699,0.24394480884075165,0.2724374830722809,1
H1975,2.0,control,21,1,0.0,0.18989379703998566,0.0037555762100964785,0.19025704264640808,0.003693652106449008,0.1674850881099701,0.0019067865796387196,0.30225804448127747,0.030270133167505264,0.20235757529735565,0.22448790073394775,0.1807033270597458,0.004755324684083462,0.18135134875774384,0.004654860123991966,0.1443321406841278,0.0019083915976807475,0.2288825958967209,0.012432490475475788,0.17816612124443054,0.19881406426429749,0.1922750025987625,0.003468991257250309,0.192559614777565,0.0034193212632089853,0.1678483784198761,0.001899431343190372,0.30225804448127747,0.030270133167505264,0.2026195377111435,0.2247033417224884,1
H1975,2.0,control,22,1,0.0,0.13332104682922363,0.025067321956157684,0.3092952072620392,0.0037264146376401186,0.31558957695961,0.0010872181737795472,0.40141424536705017,0.23426443338394165,0.34235870838165283,0.3558875322341919,0.03722042590379715,0.010304338298738003,0.30009424686431885,0.004193053115159273,0.30999577045440674,0.0046801455318927765,0.47915780544281006,0.08563929051160812,0.36339688301086426,0.3915044069290161,0.17860178649425507,0.025621501728892326,0.31022921204566956,0.0036695804446935654,0.31558957695961,0.0010872181737795472,0.40141424536705017,0.23426443338394165,0.34235870838165283,0.3558875322341919,1
