Metadata_hour,Metadata_treatment,Ed
4,afa,0.036130845
4,afa,0.055968463
4,afa,0.269413714
4,afa,0.126333102
4,afa,0.049085529
4,afa,0.057323843
4,afa,0.160233157
4,afa,0.010038157
4,afa,0.010368589
4,afa,0.012016129
4,afa,0.086369926
4,afa,0.059687746
4,afa,0.08031119
4,afa,0.305093518
4,afa,0.274876847
4,afa,0.053938964
4,afa,0.056418486
4,afa,0.061835332
4,afa,0.070244829
4,afa,0.047942192
4,afa,0.05388827
4,afa,0.011463163
4,afa,0.020524421
4,afa,0.02244181
4,afa,0.027266072
4,afa,0.034502983
4,afa,0.037572424
4,afa,0.081961358
4,afa,0.074263078
4,afa,0.085966635
4,afa,0.037620655
4,afa,0.182627499
4,afa,0.276365385
4,afa,0.180772512
4,afa,0.059845329
4,afa,0.03191298
4,afa,0.029989951
4,afa,0.104881815
4,afa,0.016784641
4,afa,0.024851239
4,afa,0.012557051
4,afa,0.021519888
4,afa,0.059106791
4,afa,0.093990368
4,afa,0.044930746
4,afa,0.046117094
4,afa,0.091293769
4,afa,0.058020682
4,afa,0.023206383
4,afa,0.0207575
4,afa,0.018330462
4,afa,0.017368751
4,afa,0.031027415
4,afa,0.032456946
4,afa,0.018152276
4,afa,0.111824817
4,afa,0.099096343
4,afa,0.088535039
4,afa,0.076352501
4,afa,0.121680307
4,afa,0.00096705
4,afa,0.019747509
4,afa,0.015441346
4,afa,0.010209984
4,afa,0.138421735
4,afa,0.077193772
4,afa,0.142581434
4,afa,0.103844037
4,afa,0.101827655
4,afa,0.177163154
4,afa,0.183986772
4,afa,0.2329196
4,afa,0.193024894
4,afa,0.096426307
4,afa,0.143830589
4,afa,0.046625181
4,afa,0.036963712
4,afa,0.055288089
4,afa,0.0599968
4,afa,0.018230641
4,afa,0.016564911
4,afa,0.017149652
4,afa,0.024185438
4,afa,0.001800999
4,afa,0.026742052
4,afa,0.11483923
4,afa,0.099864767
4,afa,0.12778726
4,afa,0.070442245
4,afa,0.058692657
4,afa,0.069817554
4,afa,0.118337586
4,afa,0.061457528
4,dac,0.043132693
4,dac,0.126525686
4,dac,0.181840358
4,dac,0.170978711
4,dac,0.088010329
4,dac,0.085472525
4,dac,0.071139778
4,dac,0.029630711
4,dac,0.027056157
4,dac,0.031115374
4,dac,0.031191097
4,dac,0.037655974
4,dac,0.080676344
4,dac,0.044867437
4,dac,0.077517927
4,dac,0.036498171
4,dac,0.042361923
4,dac,0.036382043
4,dac,0.033516656
4,dac,0.034677311
4,dac,0.04633281
4,dac,0.045210511
4,dac,0.108577386
4,dac,0.1662444
4,dac,0.188635726
4,dac,0.168411682
4,dac,0.222357787
4,dac,0.068288098
4,dac,0.085358465
4,dac,0.072993065
4,dac,0.084332604
4,dac,0.070477061
4,dac,0.06585685
4,dac,0.463748847
4,dac,0.492277651
4,dac,0.35075148
4,dac,0.384408736
4,dac,0.137391441
4,dac,0.164364984
4,dac,0.171975022
4,dac,0.049620376
4,dac,0.03171578
4,dac,0.04325837
4,dac,0.036461326
4,dac,0.0484972
4,dac,0.059200573
4,dac,0.154044404
4,dac,0.13864398
4,dac,0.077381906
4,dac,0.108544422
4,dac,0.074584075
4,dac,0.092412436
4,dac,0.062500967
4,dac,0.243646138
4,dac,0.299144955
4,dac,0.231562358
4,dac,0.094274664
4,dac,0.075492254
4,dac,0.056911556
4,dac,0.091792389
4,dac,0.072140718
4,dac,0.113635206
4,dac,0.152569957
4,dac,0.136628861
4,dac,0.1631519
4,dac,0.099259491
4,dac,0.118599791
4,dac,0.125646798
4,dac,0.197245343
4,dac,0.105169862
4,dac,0.09877645
4,dac,0.111421651
4,dac,0.13188946
4,dac,0.113062489
4,dac,0.145076202
4,dac,0.128193554
4,dac,0.120408961
4,dac,0.124936778
4,dac,0.141802487
4,dac,0.122739481
4,dac,0.125895592
4,dac,0.1383662
