Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff
H1975,2.0,GEF,4,2,60.0,5,0.1022625565528869,0.7885352969169617,-0.2541635930538177,0.0018596463,True,0.09865943605397816,0.06358560868494849
H1975,2.0,GEF,4,2,60.0,6,0.052113264799118,0.1233913525938987,0.1196750551462173,0.81914574,False,0.04042048004883435,0.0
H1975,2.0,GEF,5,2,60.0,1,0.0971839055418968,0.4491941630840301,0.8411669731140137,0.9497937,False,0.11406577270718563,0.0
H1975,2.0,GEF,5,2,60.0,2,0.1994217634201049,1.887290954589844,0.2501842379570007,0.4403412,False,0.24054488522710157,0.0
H1975,2.0,GEF,5,2,60.0,3,0.2250703871250152,1.3712713718414309,0.7519731521606445,0.9845502,False,0.21280898965426026,0.0
H1975,2.0,GEF,6,2,60.0,1,0.3952356576919555,2.0577893257141118,0.902212142944336,0.7993312,False,0.2476516172957541,0.0
H1975,2.0,GEF,7,2,60.0,1,0.1978095769882202,0.7074690461158752,0.6465884447097778,0.86379826,False,0.15247632720656296,0.0
H1975,2.0,GEF,7,2,60.0,2,0.3909060955047607,2.0284056663513184,0.521701455116272,0.19632217,False,0.24648391512112922,0.0
H1975,2.0,GEF,7,2,60.0,3,0.2292351573705673,1.1579196453094482,0.3409485816955566,0.72167814,False,0.19746538310640924,0.0
H1975,2.0,GEF,7,2,60.0,4,0.1338471174240112,0.3827331662178039,0.7269080877304077,0.9314803,False,0.10186043743595735,0.0
H1975,2.0,GEF,8,2,60.0,1,0.3049968183040619,1.015815019607544,0.7192235589027405,0.7843377,False,0.1854435667853862,0.0
H1975,2.0,GEF,8,2,60.0,2,0.2883484959602356,0.7906699180603027,0.8324871063232422,0.7976241,False,0.16249032103101027,0.0
H1975,2.0,GEF,8,2,60.0,3,0.2385582327842712,1.510836124420166,-0.0569088086485862,0.94153947,False,0.22143527742775995,0.0
H1975,2.0,GEF,8,2,60.0,4,,,,0.21429992,False,,
H1975,2.0,GEF,9,2,60.0,1,0.3362315595149994,1.6546231508255005,0.962971568107605,0.9181917,False,0.22937392048074162,0.0
H1975,2.0,GEF,9,2,60.0,2,,,,0.5786522,False,,
H1975,4.0,GEF,0,2,60.0,1,0.2683902084827423,1.9452459812164309,0.9401005506515504,0.80641526,False,0.24305288103372255,0.0
H1975,4.0,GEF,1,2,60.0,1,0.0606677234172821,0.293771356344223,0.8681023120880127,0.9318764,True,0.05571744934882086,0.027842801544468124
H1975,4.0,GEF,1,2,60.0,2,0.1263303756713867,0.5533826351165771,0.5749229192733765,0.9537943,False,0.1310976478809533,0.0
H1975,4.0,GEF,1,2,60.0,3,0.1647798418998718,0.8180132508277893,0.8859946727752686,0.91434264,False,0.16558123334225427,0.0
H1975,4.0,GEF,10,2,60.0,1,0.1091777309775352,0.5864834785461426,0.518261194229126,0.6143686,True,0.08522348039889945,0.05081696567165396
H1975,4.0,GEF,10,2,60.0,2,0.1086481586098671,0.4556982517242431,0.9399664402008056,0.83524173,False,0.11520035586763125,0.0
H1975,4.0,GEF,10,2,60.0,3,0.0895765498280525,0.874829888343811,0.5374021530151367,0.77840304,True,0.10332346504934231,0.0683920601362071
H1975,4.0,GEF,10,2,60.0,4,0.0877365842461586,0.5328890681266785,0.9149001836776732,0.9477167,True,0.0808991870070998,0.04703125567670935
H1975,4.0,GEF,11,2,60.0,1,0.0710769817233085,0.6728395819664001,0.6817793846130371,0.7702065,True,0.09146244652582239,0.056552323588941994
H1975,4.0,GEF,11,2,60.0,2,0.1298543661832809,0.6398594379425049,0.6469916105270386,0.9715678,False,0.14359052228176253,0.0
H1975,4.0,GEF,11,2,60.0,3,0.272047221660614,1.836888313293457,0.9120622873306274,0.6095834,False,0.2382804060788794,0.0
H1975,4.0,GEF,11,2,60.0,4,0.0946769788861274,2.166529655456543,0.8530580401420593,0.7302036,True,0.1391650601469566,0.11261938527395873
