Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Rc,Ed,cell_Ed
MCF7,2.0,A199,0,1,90.0,1.08,,0.12557905912399292
MCF7,2.0,A199,0,1,90.0,1.09,,0.12750086188316345
MCF7,2.0,A199,0,1,90.0,1.1,,0.13470213115215302
MCF7,2.0,A199,0,1,90.0,1.11,,0.13105803728103638
MCF7,2.0,A199,0,1,90.0,1.12,,0.13048551976680756
MCF7,2.0,A199,0,1,90.0,1.13,,0.14885267615318298
MCF7,2.0,A199,0,1,90.0,1.14,,0.1395920366048813
MCF7,2.0,A199,0,1,90.0,1.15,,0.14783307909965515
MCF7,2.0,A199,0,1,90.0,1.16,,0.15133938193321228
MCF7,2.0,A199,0,1,90.0,1.17,,0.15484191477298737
MCF7,2.0,A199,0,1,90.0,1.18,,0.1420910507440567
MCF7,2.0,A199,0,1,90.0,1.19,,0.13037151098251343
MCF7,2.0,A199,0,1,90.0,1.2,,0.14729426801204681
MCF7,2.0,A199,0,1,90.0,1.21,,0.1567600518465042
MCF7,2.0,A199,0,1,90.0,1.22,,0.16830326616764069
MCF7,2.0,A199,0,1,90.0,1.23,,0.15566426515579224
MCF7,2.0,A199,0,1,90.0,1.24,,0.16476869583129883
MCF7,2.0,A199,0,1,90.0,1.25,,0.1531633883714676
MCF7,2.0,A199,0,1,90.0,1.26,,0.19613385200500488
MCF7,2.0,A199,0,1,90.0,1.27,,0.09648511558771133
MCF7,2.0,A199,0,1,90.0,1.28,,0.14010600745677948
MCF7,2.0,A199,0,1,90.0,1.29,,0.18052949011325836
MCF7,2.0,A199,0,1,90.0,1.3,,0.25829437375068665
MCF7,2.0,A199,0,1,90.0,1.31,,
MCF7,2.0,A199,0,1,90.0,1.32,,0.1943904459476471
MCF7,2.0,A199,0,1,90.0,1.33,,
MCF7,2.0,A199,0,1,90.0,1.34,,0.1787978708744049
MCF7,2.0,A199,0,1,90.0,1.35,,0.11628685146570206
MCF7,2.0,A199,0,1,90.0,1.36,,0.2513044476509094
MCF7,2.0,A199,0,1,90.0,1.37,,0.17093241214752197
MCF7,2.0,A199,0,1,90.0,1.38,,0.23382985591888428
MCF7,2.0,A199,0,1,90.0,1.39,,
MCF7,2.0,A199,0,1,90.0,1.4,,0.19643698632717133
MCF7,2.0,A199,0,1,90.0,1.41,,0.035612549632787704
MCF7,2.0,A199,0,1,90.0,1.42,,0.192389115691185
MCF7,2.0,A199,0,1,90.0,1.43,,0.22108042240142822
MCF7,2.0,A199,0,1,90.0,1.44,,
MCF7,2.0,A199,0,1,90.0,1.45,,0.19544291496276855
MCF7,2.0,A199,0,1,90.0,1.46,,
MCF7,2.0,A199,0,1,90.0,1.47,,0.15358589589595795
MCF7,2.0,A199,0,1,90.0,1.48,,0.2045031189918518
MCF7,2.0,A199,0,1,90.0,1.49,,
MCF7,2.0,A199,0,1,90.0,1.5,,0.18600670993328094
MCF7,2.0,A199,0,1,90.0,1.51,,
MCF7,2.0,A199,0,1,90.0,1.52,,
MCF7,2.0,A199,0,1,90.0,1.53,,
MCF7,2.0,A199,0,1,90.0,1.54,,
MCF7,2.0,A199,0,1,90.0,1.55,,
MCF7,2.0,A199,0,1,90.0,1.56,,
MCF7,2.0,A199,0,1,90.0,1.57,,
MCF7,2.0,A199,0,1,90.0,1.58,,0.200680673122406
MCF7,2.0,A199,0,1,90.0,1.59,,0.13792063295841217
MCF7,2.0,A199,0,1,90.0,1.6,,
MCF7,2.0,A199,0,1,90.0,1.61,,
MCF7,2.0,A199,0,1,90.0,1.62,,
MCF7,2.0,A199,0,1,90.0,1.63,,0.30478334426879883
MCF7,2.0,A199,0,1,90.0,1.64,,
MCF7,2.0,A199,0,1,90.0,1.65,,
MCF7,2.0,A199,0,1,90.0,1.66,,0.21974748373031616
MCF7,2.0,A199,0,1,90.0,1.67,,
MCF7,2.0,A199,0,1,90.0,1.68,,
MCF7,2.0,A199,0,1,90.0,1.69,,0.12771408259868622
MCF7,2.0,A199,0,1,90.0,1.7,,0.2666202485561371
MCF7,2.0,A199,0,1,90.0,1.71,,
MCF7,2.0,A199,1,1,90.0,0.0,,0.0
MCF7,2.0,A199,1,1,90.0,0.01,,
MCF7,2.0,A199,1,1,90.0,0.02,0.07253527641296387,0.07253527641296387
MCF7,2.0,A199,1,1,90.0,0.03,0.07296500355005264,0.07296500355005264
MCF7,2.0,A199,1,1,90.0,0.04,0.06958279758691788,0.06996515393257141
MCF7,2.0,A199,1,1,90.0,0.05,0.06843038648366928,0.06957271695137024
MCF7,2.0,A199,1,1,90.0,0.06,0.06763981282711029,0.06993654370307922
MCF7,2.0,A199,1,1,90.0,0.07,0.06825634837150574,0.06914243847131729
MCF7,2.0,A199,1,1,90.0,0.08,0.06799542158842087,0.0687057375907898
MCF7,2.0,A199,1,1,90.0,0.09,0.06297879666090012,0.06351491808891296
MCF7,2.0,A199,1,1,90.0,0.1,0.05827533081173897,0.05861930921673775
MCF7,2.0,A199,1,1,90.0,0.11,0.05148310586810112,0.054694052785634995
MCF7,2.0,A199,1,1,90.0,0.12,0.04665462300181389,0.051983654499053955
MCF7,2.0,A199,1,1,90.0,0.13,0.042518649250268936,0.05068651959300041
MCF7,2.0,A199,1,1,90.0,0.14,0.04409794509410858,0.0516144223511219
MCF7,2.0,A199,1,1,90.0,0.15,0.04780171066522598,0.05219074338674545
MCF7,2.0,A199,1,1,90.0,0.16,0.05228814110159874,0.053309161216020584
MCF7,2.0,A199,1,1,90.0,0.17,0.055732376873493195,0.055114567279815674
MCF7,2.0,A199,1,1,90.0,0.18,0.06202740967273712,0.05756010860204697
MCF7,2.0,A199,1,1,90.0,0.19,0.06532880663871765,0.058973848819732666
MCF7,2.0,A199,1,1,90.0,0.2,0.06312325596809387,0.05879192426800728
MCF7,2.0,A199,1,1,90.0,0.21,0.0649569109082222,0.0608576200902462
MCF7,2.0,A199,1,1,90.0,0.22,0.06766774505376816,0.06367823481559753
MCF7,2.0,A199,1,1,90.0,0.23,0.06908085942268372,0.06557024270296097
MCF7,2.0,A199,1,1,90.0,0.24,0.06615894287824631,0.0667404755949974
MCF7,2.0,A199,1,1,90.0,0.25,0.06509453058242798,0.06669487804174423
MCF7,2.0,A199,1,1,90.0,0.26,0.06693074852228165,0.06748784333467484
MCF7,2.0,A199,1,1,90.0,0.27,0.06955109536647797,0.0678904578089714
