Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,2,A133,15,1,80,4,0.10991579294204712,0.002005895832553506,0.11061148345470428,0.0019416395807638764,0.0994342565536499,0.0007433028658851981,0.22889021039009094,0,0.12113723158836365,0.13443976640701294,0.11823716759681702,0.002851813333109021,0.4221824109554291,0,0.15943779,0.18751784,0.92144257,0.9693467,0.9479052,10176,12559,22735,0.9528126,0.84125453,0.96265656,0.9936025,0.991431,0.6538477,1.5596993,0,0.009781745,0.64150935,0.9232618,0.4431469,0.004175444,0.663844,1.5596993,0,0.014100654
MCF7,2,A133,15,1,80,5,0.08158480376005173,0.0012800877448171377,0.08248450607061386,0.0012199928751215339,,,,,,,0.08158480376005173,0.0012800877448171377,0.25283387303352356,0,0.10885959,0.12597513,0.8863092,0.8033418,0.8358699,3594,5573,9167,0.9423203,0.9035138,0.98175496,0.9945216,0.993127,0.29697922,0.4493981,0.15219492,0.001408255,0.31670997,0.43821278,0.2145379,0.000819808,0.2842573,0.4493981,0.15219492,0.001374811
MCF7,2,A133,2,1,80,1,0.14506587386131287,0.001799240824766457,0.1450832039117813,0.0017969404580071568,0.1491054743528366,0.0005039075622335076,0.22081899642944336,0.05773162096738815,0.16646473109722137,0.1759480983018875,0.14425630867481232,0.002054902259260416,0.4429282248020172,0,0.17903802,0.20354885,0.8374562,0.784906,0.80530745,6497,10238,16735,0.9148419,0.87791646,0.9666117,0.98904246,0.9867294,0.5039251,1.0541397,0.25976324,0.007174409,0.49616575,0.73528546,0.32377836,0.00389318,0.50884855,1.0541397,0.25976324,0.009194018
MCF7,2,A133,2,1,80,2,0.11713708192110062,0.0018530834931880236,0.11756584048271179,0.0018094591796398163,,,,,,,0.11713708192110062,0.0018530834931880236,0.47736355662345886,0,0.14967915,0.17296472,0.9170216,0.9394357,0.93234384,6940,14994,21934,0.95198107,0.8081093,0.9633455,0.9912108,0.98644215,0.31731027,0.74346864,0,0.004438509,0.33472687,0.5173653,0.19719584,0.001768591,0.3092501,0.74346864,0,0.005468772
MCF7,2,A133,2,1,80,3,0.14065900444984436,0.0012488658539950848,0.14068591594696045,0.0012453162344172597,0.13732656836509705,0.0005209656665101647,0.2161606252193451,0.04024582728743553,0.15542978048324585,0.16574950516223907,0.14307956397533417,0.0017636663978919387,0.33383795619010925,0,0.17599635,0.19659488,0.93409956,0.8546509,0.8880822,4396,6051,10447,0.84529173,0.7141107,0.93919086,0.9815787,0.9794728,1.3378677,2.4753075,0.7776474,0.05696065,1.4078386,2.0645308,0.9121542,0.061871655,1.287043,2.4753075,0.7776474,0.047254033
MCF7,2,A133,2,1,80,4,0.11885999888181686,0.0011576665565371513,0.11891219019889832,0.001151968608610332,0.11743839085102081,0.0006306017166934907,0.20290476083755493,0.02644048072397709,0.13743464648723602,0.14986276626586914,0.11973358690738678,0.0014795492170378566,0.29189401865005493,0,0.15011191,0.16896142,0.89727056,0.71631575,0.78519636,4336,7055,11391,0.85851043,0.8582296,0.9573121,0.9890168,0.98394203,1.1756376,2.1742911,0.61925143,0.033054322,1.293747,2.1742911,0.794826,0.02671439,1.1030577,2.0812747,0.61925143,0.023110123
MCF7,2,A133,3,1,80,1,0.08476053923368454,0.00046545700752176344,0.08480804413557053,0.00046168832341209054,0.08812733739614487,0.00023892393801361322,0.147122323513031,0.0338236466050148,0.10041677951812744,0.10786812752485275,0.08327411115169525,0.0005582558806054294,0.1928999423980713,0,0.10173044,0.1128516,0.6797241,0.6930352,0.68835646,5646,10417,16063,0.89278096,0.7994522,0.94728535,0.98555166,0.98493356,0.58399427,1.085805,0.36178136,0.005635695,0.5809997,1.085805,0.40253213,0.006072851,0.5856172,0.9372359,0.36178136,0.005391286
MCF7,2,A133,3,1,80,2,0.13860014081001282,0.001913870102725923,0.13883179426193237,0.0018849092302843928,0.13271674513816833,0.000780993141233921,0.2360713928937912,0.018144696950912476,0.154835045337677,0.16800174117088318,0.14052042365074158,0.002268641022965312,0.45959916710853577,0,0.17697704,0.20121528,0.98911905,0.9248122,0.94219726,7777,20990,28767,0.92004234,0.819339,0.9332595,0.9858965,0.9807969,0.5889222,1.3686069,0,0.014026145,0.60841614,1.1775892,0.34881857,0.009225178,0.58169985,1.3686069,0,0.015611908
MCF7,2,A133,4,1,80,1,0.07254655659198761,0.0009229910210706294,0.07341117411851883,0.0008705192012712359,,,,,,,0.07254655659198761,0.0009229910210706294,0.2262389212846756,0,0.096542306,0.11053467,0.9813267,0.93542147,0.9509356,6456,12647,19103,0.9521404,0.8108671,0.9657945,0.9898157,0.98757875,0.24828827,0.5217811,0,0.001628424,0.25162175,0.47149903,0.15039547,0.001073738,0.24658678,0.5217811,0,0.001902989
MCF7,2,A133,4,1,80,2,0.08154863864183426,0.0018078502034768462,0.08442370593547821,0.0016288638580590487,0.0831797868013382,0.0012606863165274262,0.24466513097286224,0,0.1115000918507576,0.12915141880512238,0.07967313379049301,0.002430403372272849,0.3389182388782501,0,0.11860465,0.14450051,0.60008246,0.525785,0.56883025,10326,7497,17823,0.37609032,0.34877843,0.65818495,0.91065514,0.9109183,0.853017,2.4038377,0,0.084801644,0.8683145,2.40339,0.30990133,0.097862914,0.8319497,2.4038377,0,0.06604799
MCF7,2,A133,4,1,80,3,0.08835329860448837,0.0016569725703448057,0.09013507515192032,0.0015297875506803393,,,,,,,0.08835329860448837,0.0016569725703448057,0.33015957474708557,0,0.12056775,0.13974589,0.961494,0.9223812,0.93326694,6617,17158,23775,0.94595855,0.9163488,0.981104,0.9939321,0.9912498,0.2615958,0.5354617,0,0.002855546,0.2827276,0.40217555,0.17818429,0.000891349,0.25344673,0.5354617,0,0.003374385
MCF7,2,A133,4,1,80,4,0.07401078194379807,0.0019500438356772065,0.07958267629146576,0.0016534262103959918,0.07821643352508545,0.0009051666129380465,0.2060614824295044,0,0.10221558809280396,0.11649684607982635,0.07120665907859802,0.0026270588859915733,0.3670186996459961,0,0.11187848,0.13937032,0.9110804,0.73795676,0.8084124,8178,11917,20095,0.8501037,0.7508422,0.9240581,0.98457444,0.9769566,0.6876204,1.8462517,0,0.030588405,0.7352909,1.4038271,0.39797747,0.013516395,0.6549095,1.8462517,0,0.03967368
MCF7,2,A133,4,1,80,5,0.09306435286998749,0.0010312709491699934,0.0931217297911644,0.001026564510539174,0.07599474489688873,0.0003106560034211725,0.19127008318901062,0,0.08910984545946121,0.0982280969619751,0.1015733927488327,0.0011728404788300395,0.24982869625091553,0,0.12888208,0.14592697,0.55210835,1.0757554,0.8899693,12670,23041,35711,0.89350593,0.75212115,0.5784267,0.98763216,0.89305735,0.83592254,2.7224474,0.42517236,0.14298768,0.57047707,2.0306163,0.42517236,0.007825535,0.9818819,2.7224474,0.42851105,0.15726028
MCF7,2,A133,4,1,80,6,0.07841853052377701,0.0003798596153501421,0.0784277692437172,0.0003791803610511124,0.07892441004514694,0.00020469041191972792,0.13192196190357208,0.012407660484313965,0.0902152881026268,0.09691823273897171,0.07796633988618851,0.0005360086797736585,0.1810673624277115,0,0.09652262,0.1068742,1.0103965,0.79937243,0.8989789,8020,8971,16991,0.90240526,0.7974057,0.9572466,0.99015725,0.9859668,0.74796474,1.3179425,0.466207,0.015722986,0.8311264,1.2514794,0.5392594,0.010721483,0.67362714,1.3179425,0.466207,0.008485674
MCF7,2,A133,4,1,80,7,0.07523326575756073,0.00046994080184958875,0.07529343664646149,0.0004657863173633814,0.07500824332237244,0.0001821287878556177,0.1218288317322731,0.010677256621420383,0.08506809175014496,0.09064637124538422,0.07540439814329147,0.0006887635681778193,0.17923669517040253,0,0.096042365,0.107059464,0.94782925,0.7178291,0.82299554,10871,12904,23775,0.9510641,0.91273177,0.9845495,0.9964214,0.99273723,0.52926,0.7522288,0.31691736,0.00644679,0.5923404,0.7522288,0.3762821,0.002508809,0.47612175,0.7262669,0.31691736,0.003588442
