Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff
MCF7,2,A133,11,2,40,2,0.0547203719615936,0.60258573,0.7119289,0.9308466,True,0.08645128002742013,0.05191981893400645
MCF7,2,A133,11,2,40,3,0.0771505311131477,0.5567842,0.9000143,0.9770833,True,0.08287403272213159,0.04874124549048128
MCF7,2,A133,11,2,40,4,0.0640564560890197,0.5444014,0.8774178,0.97438765,True,0.08186037865212027,0.047859599068697675
MCF7,2,A133,11,2,40,5,0.0558146871626377,0.8098773,0.88229424,0.97578347,True,0.0998637118873779,0.06480758732169002
MCF7,2,A133,11,2,40,6,0.0435064807534217,0.47351015,0.86881864,0.9636076,True,0.07563288427399423,0.04262333214908233
MCF7,2,A133,11,2,40,7,0.0586924813687801,0.559555,0.8366587,0.9635391,True,0.08309804385008839,0.04893720979598372
MCF7,2,A133,12,2,40,1,0.0999927595257759,0.8913606,0.6387563,0.90329945,True,0.10415789616567672,0.06927317816250794
MCF7,2,A133,12,2,40,2,,0.3892799,0.95020425,0.97958195,False,0.10311457266458689,0.0
MCF7,2,A133,12,2,40,3,0.0635120570659637,1.3414713,0.71931785,0.82142925,True,0.12159513616225227,0.0892387264607916
MCF7,2,A133,12,2,40,4,0.1014687642455101,0.8143827,0.5402477,0.86766416,True,0.10011349942119346,0.06506269719928798
MCF7,2,A133,12,2,40,5,0.1199464276432991,0.97995883,0.7244143,0.91023433,True,0.10834435769416294,0.07379319182246007
MCF7,2,A133,12,2,40,6,0.0594620034098625,0.44999194,0.953444,0.9843147,True,0.0733920249490909,0.040813460855195716
MCF7,2,A133,13,2,40,1,,0.25589085,0.85883844,0.9726931,False,0.07498090522755221,0.0
MCF7,2,A133,13,2,40,2,0.0921322107315063,1.2611519,0.2401991,0.80154663,True,0.1190808504536241,0.08617024267284831
MCF7,2,A133,13,2,40,3,0.0985096469521522,1.1366878,-0.2605139,0.4454437,True,0.11474190381311129,0.08102891043499742
MCF7,2,A133,13,2,40,4,0.0667496174573898,1.0264183,0.7477654,0.8769461,True,0.11036440805186065,0.0760343894718293
MCF7,2,A133,13,2,40,5,0.0882321670651435,0.5567244,0.89240134,0.9696063,True,0.08286918686729987,0.048737010864296035
MCF7,2,A133,13,2,40,6,0.082203708589077,0.7468914,0.92338395,0.94519925,True,0.09620476775315301,0.06113531371957048
MCF7,2,A133,13,2,40,7,0.0890068933367729,1.0600259,0.8060839,0.934209,True,0.1117578488852454,0.07760362040501934
MCF7,2,A133,14,2,40,1,0.0855497419834137,0.46013013,0.91248554,0.9832274,True,0.07436949519647214,0.04159817395915305
MCF7,2,A133,14,2,40,2,0.1071533188223838,0.63895327,0.951033,0.9829519,True,0.08911275324078737,0.05435369431692731
MCF7,2,A133,14,2,40,3,0.0556901507079601,0.42882928,0.66471624,0.92845774,True,0.07129326255851594,0.039153224820298135
MCF7,2,A133,14,2,40,4,,0.349663,0.9665859,0.9927272,False,0.09533934322864299,0.0
MCF7,2,A133,14,2,40,5,0.0782205238938331,0.7507006,0.80850714,0.94828707,True,0.09643529751329202,0.061363140894737295
MCF7,2,A133,14,2,40,6,0.0919381007552146,0.909971,-0.087395266,0.43444344,True,0.10507634870444515,0.07025056882466912
MCF7,2,A133,14,2,40,7,0.0638322085142135,0.7602318,0.7144151,0.9147828,True,0.09700672017278043,0.06192990533301944
MCF7,2,A133,14,2,40,8,0.0748062506318092,0.64807487,0.9245975,0.9801128,True,0.08975717561353978,0.05495199779919481
MCF7,2,A133,15,2,40,1,0.0643330514430999,0.54004836,0.96158355,0.99199426,True,0.0814990918343308,0.04754737296629402
MCF7,2,A133,15,2,40,2,,0.34229693,0.9324869,0.97400385,False,0.0938430740804868,0.0
MCF7,2,A133,15,2,40,3,0.0482237786054611,0.48792672,0.617722,0.91659075,True,0.07696133711504709,0.043714654885419174
MCF7,2,A133,15,2,40,4,0.072188526391983,0.2884228,0.4987919,0.6443246,False,0.08237947232849341,0.0
MCF7,2,A133,15,2,40,5,0.0848791077733039,0.9214138,0.7228881,0.9023619,True,0.10563037279942986,0.07084399123397098
MCF7,2,A133,15,2,40,6,0.0758494660258293,1.0440832,0.65381527,0.89616543,True,0.1111036624672572,0.07686452669451466
MCF7,2,A133,2,2,40,1,0.0586351789534091,0.5725746,0.8144802,0.9279528,True,0.08413721368868866,0.04985163033817021
MCF7,2,A133,2,2,40,2,,0.35532057,0.83914775,0.92355454,False,0.09647752174232847,0.0
MCF7,2,A133,2,2,40,3,,0.35966748,0.93460244,0.97959554,False,0.09734558970256464,0.0
MCF7,2,A133,2,2,40,4,,0.3131538,0.9226484,0.9781416,False,0.08775864517926231,0.0
MCF7,2,A133,2,2,40,5,,0.15290183,0.9052959,0.97911155,False,0.048805433364608325,0.0
MCF7,2,A133,2,2,40,6,0.0439264886081218,0.5336093,0.65380013,0.89363563,True,0.08095986215971467,0.047083324850171096
MCF7,2,A133,2,2,40,7,0.0419199503958225,0.64451104,0.72606015,0.9267577,True,0.08950646665491536,0.05471881183272555
MCF7,2,A133,3,2,40,1,0.0697635412216186,0.48930266,0.44953528,0.81727403,True,0.07708639252052303,0.04381809769236626
MCF7,2,A133,3,2,40,2,0.100458487868309,0.4604096,0.8888619,0.98269373,False,0.11601589910118366,0.0
MCF7,2,A133,3,2,40,3,,0.2887007,0.88770694,0.9814317,False,0.08244106455439963,0.0
MCF7,2,A133,3,2,40,4,,0.34788123,0.81822383,0.94635224,False,0.09497891193276725,0.0
MCF7,2,A133,4,2,40,1,0.0981714278459549,0.6226325,0.57693774,0.87776893,True,0.08793694681204178,0.05327109629075569
MCF7,2,A133,4,2,40,2,0.1123868599534034,0.60060495,0.63825786,0.87983257,False,0.1380869286953036,0.0
MCF7,2,A133,4,2,40,3,0.1081243231892585,0.8749701,0.8949371,0.95721,True,0.10333061791565,0.06839958556866153
MCF7,2,A133,4,2,40,4,0.125913605093956,1.0257161,0.8805037,0.9642605,True,0.11033470266190844,0.07600114410358845
MCF7,2,A133,4,2,40,5,0.1190274134278297,0.9295217,0.71524715,0.9189469,True,0.10601811928568566,0.07126104041487641
MCF7,2,A133,4,2,40,6,0.1036020070314407,0.97136706,0.49842477,0.8347649,True,0.10795822347276911,0.07336928540830147
MCF7,2,A133,4,2,40,7,,0.36718976,0.93232405,0.9823172,False,0.09883473065216639,0.0
MCF7,2,A133,5,2,40,1,0.0605878047645092,0.67525345,0.91240734,0.9688187,True,0.09162529293777881,0.056706453282472216
MCF7,2,A133,5,2,40,2,0.065676212310791,0.5004132,0.80263144,0.8991465,True,0.07808538247658173,0.04464884673441161
MCF7,2,A133,5,2,40,3,0.083390973508358,0.697622,0.71396375,0.91187394,True,0.0931068995877974,0.05811928386175731
MCF7,2,A133,5,2,40,4,0.0677380412817001,0.6550501,0.9497148,0.98318356,True,0.09024395362260358,0.055406281859693915
MCF7,2,A133,5,2,40,5,0.0583202354609966,0.60034215,0.9245031,0.9770015,True,0.08628207987937189,0.051767093667672404
MCF7,2,A133,5,2,40,6,0.084514319896698,0.8272975,0.63279057,0.89400756,True,0.10082116260411798,0.06578853286145343
MCF7,2,A133,5,2,40,7,,0.36981374,0.69857395,0.83935237,False,0.09935033672534194,0.0
MCF7,2,A133,6,2,40,1,0.2058712840080261,1.9729904,0.20416047,0.5758152,False,0.24421890740044097,0.0
MCF7,2,A133,6,2,40,2,0.0713229328393936,0.43619096,0.6907781,0.8709796,True,0.07203248914907118,0.039734175417596204
MCF7,2,A133,6,2,40,3,0.0652243643999099,0.7611468,0.6247345,0.8899963,True,0.09706117530636264,0.0619840686221957
MCF7,2,A133,6,2,40,4,,0.33504924,0.9173142,0.9863627,False,0.0923547361593944,0.0
MCF7,2,A133,6,2,40,5,0.0857000797986984,0.6415716,0.41850734,0.70365053,True,0.08929865339487063,0.05452592836568128
MCF7,2,A133,6,2,40,6,,0.31225237,0.9324069,0.984379,False,0.08756613802876957,0.0
MCF7,2,A133,6,2,40,7,0.0754879862070083,0.822511,0.9245704,0.97694397,True,0.1005603204304848,0.06552045932886919
MCF7,2,A133,7,2,40,1,0.1596810668706894,1.8446146,0.52850974,0.8592079,True,0.13368398898512324,0.10494874980486962
