Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
A549,2.0,DAC,1,4,15.0,1,0.06237288564443588,0.004655796568840742,0.10194894671440125,0.0035751957911998034,0.06724683195352554,0.0011421196395531297,0.18566232919692993,0.0,0.09496241807937622,0.11022770404815674,0.90567356,1.2811244,1.2758669,1213.0,85410.0,86623.0,0.69265157,0.6786152,0.47584376,0.9878233,0.9325125,0.7455954,3.1214216,0.0,0.36141825,0.75442666,1.4390321,0.47721338,0.014114125,0.74547,3.1214216,0.0,0.3663495
A549,2.0,DAC,11,4,15.0,1,0.3566599190235138,0.00524376193061471,0.3566904664039612,0.005233300384134054,0.2709844410419464,0.0014797189505770802,0.3793473541736603,0.14833053946495056,0.3014599680900574,0.3189197778701782,0.8967667,1.3012698,1.2956061,653.0,45986.0,46639.0,0.7124107,0.71551657,0.4766587,0.97989243,0.9241476,3.3859818,6.603107,0.0,0.61613667,2.7918143,3.8611124,1.9612797,0.1077775,3.3944185,6.603107,0.0,0.61827105
A549,2.0,DAC,11,4,15.0,2,0.21708780527114868,0.004106996115297079,0.2171807587146759,0.004088567569851875,0.07694485783576965,0.0008932282216846943,0.1690242886543274,0.005948427598923445,0.09978760033845901,0.1188526302576065,0.7381977,2.360388,2.3554053,244.0,79195.0,79439.0,0.9662705,0.9487587,0.58291787,0.99009174,0.90049255,2.0617027,5.5352917,0.0,0.35784307,0.853059,1.321219,0.62324506,0.020729927,2.0654263,5.5352917,0.0,0.35436714
A549,2.0,DAC,12,4,15.0,1,0.1367197334766388,0.0384286604821682,0.3669033348560333,0.018672646954655647,,,,,,,0.7640538,0.702772,0.70311123,729.0,130998.0,131727.0,0.51461107,0.54611844,0.4730194,0.98506534,0.8426086,1.7664446,12.551365,0.0,6.443929,3.9992447,6.882635,2.245828,0.709464,1.7540193,12.551365,0.0,6.447943
A549,2.0,DAC,12,4,15.0,2,0.08318525552749634,0.019665326923131943,0.2838304340839386,0.010149429552257061,0.25599581003189087,0.004685889929533005,0.4874451458454132,0.06745737046003342,0.3106074035167694,0.34487855434417725,0.6049829,0.8510325,0.8493037,568.0,80277.0,80845.0,0.2691934,0.17119128,0.23007093,0.9794383,0.87546635,0.8756284,8.663917,0.0,2.1138864,2.404067,4.3559785,1.209632,0.25625652,0.8648143,8.663917,0.0,2.1103835
A549,2.0,DAC,12,4,15.0,3,0.25791212916374207,0.05169699713587761,0.41326606273651123,0.01863429695367813,,,,,,,0.5754999,0.55220944,0.5525532,1303.0,86984.0,88287.0,0.61145955,0.31253135,0.5062481,0.98212,0.8274977,3.231743,13.9123335,0.0,8.217046,4.625134,8.281361,3.0974677,0.5968658,3.2108705,13.9123335,0.0,8.301675
A549,2.0,DAC,13,4,15.0,1,0.26277801394462585,0.01449325680732727,0.29078415036201477,0.007894156500697136,0.21481671929359436,0.001909538172185421,0.33933573961257935,0.08992593735456467,0.2504608631134033,0.2687460482120514,1.2169589,1.5259205,1.5218345,1365.0,101848.0,103213.0,0.86143225,0.49157014,0.72141063,0.9648808,0.9150249,2.6041193,8.666699,0.0,1.3929104,2.223173,4.241949,1.1790317,0.20961608,2.6092248,8.666699,0.0,1.406798
A549,2.0,DAC,13,4,15.0,2,0.15699490904808044,0.041522007435560226,0.39168035984039307,0.011669925414025784,,,,,,,1.0181212,1.4068688,1.4030112,566.0,56473.0,57039.0,0.5861606,0.40179712,0.23190254,0.9740254,0.891334,1.8778448,10.062925,0.0,5.951846,4.032291,5.7685657,2.2648828,0.42028376,1.8562522,10.062925,0.0,5.960299
A549,2.0,DAC,14,4,15.0,1,0.26004737615585327,0.014639187604188919,0.28399986028671265,0.009185082279145718,0.22821129858493805,0.0015658081974834204,0.3480876088142395,0.1110023483633995,0.25996828079223633,0.27826499938964844,0.8107442,0.7159318,0.7178334,2239.0,109392.0,111631.0,0.7287867,0.2746688,0.6883499,0.9677141,0.87931585,3.1667466,11.093346,0.0,2.067062,3.2847855,6.437791,1.8355668,0.40379184,3.1643307,11.093346,0.0,2.1008139
A549,2.0,DAC,14,4,15.0,2,0.18878023326396942,0.005409263074398041,0.19192567467689514,0.0048956978134810925,0.14093974232673645,0.001275598187930882,0.2420901358127594,0.03833464905619621,0.1697743684053421,0.1860986202955246,0.9667308,1.0475093,1.0457462,1200.0,53775.0,54975.0,0.79095936,0.019477524,0.5229852,0.97285116,0.8973873,2.4700103,7.488073,0.0,0.9076204,2.2033615,3.817949,1.3079759,0.19132952,2.4759605,7.488073,0.0,0.9219822
A549,2.0,DAC,14,4,15.0,3,0.13793691992759705,0.027643440291285515,0.29302501678466797,0.013279398903250694,0.22325506806373596,0.0019673858769237995,0.3495977520942688,0.06431689858436584,0.2590397894382477,0.279022753238678,0.6056812,0.77174217,0.77033323,868.0,101435.0,102303.0,0.3158015,0.067661464,0.29208305,0.9612019,0.837531,1.6989466,8.930817,0.0,3.7809727,2.610657,5.2887564,1.5883597,0.32015467,1.6911452,8.930817,0.0,3.8034127
A549,2.0,DAC,15,4,15.0,1,0.3317308723926544,0.013528546318411827,0.33665117621421814,0.012072776444256306,0.25942307710647583,0.0012678662315011024,0.3343923091888428,0.19102828204631805,0.2890074551105499,0.30564555525779724,0.49847022,0.4905121,0.49057674,623.0,76144.0,76767.0,0.3601534,0.85968363,0.52612835,0.98287845,0.806761,3.4817147,9.637418,0.0,2.2221951,3.6365511,4.9064846,2.3682792,0.23532736,3.480448,9.637418,0.0,2.2382534
A549,2.0,DAC,15,4,15.0,2,0.15798889100551605,0.009405769407749176,0.19063790142536163,0.005125370807945728,0.11032495647668839,0.001332446583546698,0.239750474691391,0.016667665913701057,0.1399112045764923,0.1592777818441391,1.1773654,2.1843681,2.170193,1739.0,121796.0,123535.0,0.5486623,0.2225545,0.51315767,0.9195647,0.87695366,1.4490178,4.7115874,0.0,0.81077665,0.9256643,1.7769661,0.30955803,0.10014923,1.4564903,4.7115874,0.0,0.8169562
A549,2.0,DAC,15,4,15.0,3,0.08689595013856888,0.01186972763389349,0.19634810090065002,0.005329842679202557,0.14298419654369354,0.0027013937942683697,0.3113277554512024,0.0038328918162733316,0.1846204549074173,0.21050968766212463,0.93415534,1.3134626,1.3103004,626.0,74461.0,75087.0,0.6261904,-0.3342524,0.23890257,0.96416193,0.9143102,1.159561,6.4538455,0.0,1.9525456,1.9540961,3.2339664,0.99700564,0.24041216,1.1528814,6.4538455,0.0,1.961588
A549,2.0,DAC,15,4,15.0,4,0.15684102475643158,0.005001349374651909,0.15998558700084686,0.004598536528646946,0.06976841390132904,0.0018086403142660856,0.21123787760734558,0.0,0.10344013571739197,0.12629516422748566,1.3606337,3.173907,3.137948,1358.0,67121.0,68479.0,0.9230735,0.13419333,0.41791335,0.94145215,0.89003414,1.7667142,5.3746095,0.0,0.44897822,0.85578626,1.7760874,0.37518063,0.07394861,1.785144,5.3746095,0.0,0.43943793
A549,2.0,DAC,16,4,15.0,1,0.22635820508003235,0.0044634840451180935,0.2264433205127716,0.00444589601829648,0.13419005274772644,0.0024185352958738804,0.33074328303337097,0.014378574676811695,0.17335373163223267,0.20560339093208313,1.2837832,2.3150558,2.2983558,1724.0,104739.0,106463.0,0.7513228,0.26260144,0.5369436,0.86670107,0.89920783,2.659239,6.477247,0.0,0.626687,1.6731988,3.7232165,0.5184617,0.5710226,2.6754694,6.477247,0.0,0.61133635
A549,2.0,DAC,16,4,15.0,2,0.3751388490200043,0.010571878403425217,0.3751388490200043,0.010571878403425217,0.11091287434101105,0.0003120079345535487,0.15042230486869812,0.06989336013793945,0.12540940940380096,0.1343623548746109,1.0081292,1.2485514,1.2453074,1231.0,90000.0,91231.0,0.59984356,-0.24047449,0.3794322,0.8825407,0.83629847,4.805986,9.943341,1.0346295,2.2249641,4.403858,6.5756154,1.0346295,1.3169208,4.8114867,9.943341,1.0931765,2.2351418
A549,2.0,DAC,16,4,15.0,3,0.11225239932537079,0.0018831273773685098,0.11226730793714523,0.0018817046657204628,0.06679370254278183,0.0007649076287634671,0.13342922925949097,0.0,0.0894237607717514,0.10296253859996796,0.9892122,2.6495457,2.626874,823.0,59448.0,60271.0,0.7488531,0.39179355,0.18644968,0.92222655,0.83353806,1.1979687,4.1959643,0.2806806,0.2920099,0.6324894,1.2524209,0.3527169,0.037775833,1.2057971,4.1959643,0.2806806,0.29104137
A549,2.0,DAC,16,4,15.0,4,0.2711627185344696,0.006290275137871504,0.27658790349960327,0.004915578290820122,0.1638542264699936,0.002014351077377796,0.28994154930114746,0.020458564162254333,0.1990155428647995,0.21886293590068817,1.1810416,1.9925677,1.9859529,738.0,89804.0,90542.0,0.69761384,0.629491,0.73438877,0.9599963,0.9389565,3.7960799,8.082327,0.0,1.047704,2.5583677,3.8557305,1.3779249,0.26473352,3.8062508,8.082327,0.0,1.0414457
A549,2.0,DAC,16,4,15.0,5,0.3021290898323059,0.007390153128653765,0.3021290898323059,0.007390153128653765,0.20999598503112793,0.0025576206389814615,0.3440401554107666,0.05046148598194122,0.2519601881504059,0.2724778652191162,1.0190312,1.8973628,1.8812531,1997.0,106882.0,108879.0,0.63915783,0.18097661,0.22870985,0.9225879,0.8679518,2.9665518,6.4247355,0.9973809,0.8003541,2.111202,3.3949833,1.1696526,0.25571892,2.9825337,6.4247355,0.9973809,0.79660505
A549,2.0,DAC,17,4,15.0,1,0.1489635705947876,0.003998730797320604,0.16042493283748627,0.0024677105247974396,0.1146715059876442,0.0007565689156763256,0.21695639193058014,0.0,0.13627459108829498,0.14856858551502228,1.1403607,1.2715672,1.2692012,1881.0,102438.0,104319.0,0.97992337,0.3537501,0.8180812,0.9811428,0.9652696,3.2011116,7.9652305,0.0,1.4296501,2.7498126,4.241497,1.486002,0.22866407,3.2093987,7.9652305,0.0,1.4478943
A549,2.0,DAC,3,4,15.0,1,0.05672180652618408,0.006089362315833569,0.13093464076519012,0.0043394421227276325,0.09682027995586395,0.001191618386656046,0.20818860828876495,0.0,0.12438992410898209,0.1401120275259018,0.5666943,0.7199944,0.7182935,995.0,88684.0,89679.0,0.60547024,0.074158475,0.37697446,0.9824185,0.8826853,0.5629136,4.1376276,0.0,0.5105852,0.94829875,1.6371297,0.58077925,0.035527475,0.5585899,4.1376276,0.0,0.51423013
A549,2.0,DAC,4,4,15.0,1,0.07744723558425903,0.02320590801537037,0.35160568356513977,0.008957741782069206,,,,,,,0.7136028,0.70896214,0.7090079,611.0,61340.0,61951.0,0.4781504,0.087988034,0.040816046,0.98712325,0.807785,0.7426058,8.591622,0.0,2.5059204,4.2205296,5.695352,2.4528792,0.29830763,0.70796335,8.591622,0.0,2.4062254
A549,2.0,DAC,5,4,15.0,1,0.13413333892822266,0.007085790392011404,0.15984968841075897,0.004333541728556156,0.1121257022023201,0.0007795499986968935,0.19501039385795593,0.02900003269314766,0.13484323024749756,0.14753927290439606,0.68009686,0.937787,0.9349721,865.0,78318.0,79183.0,0.45324257,0.3109132,0.47689882,0.97912496,0.89603406,1.0820315,3.984391,0.0,0.46008575,0.90480536,1.3346841,0.37053937,0.027867354,1.0839888,3.984391,0.0,0.46450862
A549,2.0,DAC,5,4,15.0,2,0.10793638974428177,0.0021842927671968937,0.10930425673723221,0.0020624606404453516,0.0729881301522255,0.00020730467804241925,0.1137382909655571,0.024637488648295403,0.0844568982720375,0.09186376631259918,0.81682986,1.1447394,1.1435702,400.0,111791.0,112191.0,0.9343991,-0.011680369,0.63148636,0.9955591,0.91151714,0.8883085,2.876583,0.0,0.16124888,0.62077516,0.7874356,0.45942777,0.0029594721,0.8892658,2.876583,0.0,0.16155826
A549,2.0,DAC,5,4,15.0,3,0.15193960070610046,0.09263154864311218,0.7525450587272644,0.006814278662204742,,,,,,,1.0792023,0.8624316,0.86469567,800.0,75791.0,76591.0,0.6889833,0.23133455,0.50329924,0.9924636,0.89228517,1.7600846,11.14894,0.0,12.425394,9.036313,10.400917,7.68419,0.19073486,1.6832826,11.14894,0.0,11.989802
A549,2.0,DAC,5,4,15.0,4,0.08016518503427505,0.006702931132167578,0.1367034614086151,0.0037013469263911247,0.07232187688350677,0.0020941044203937054,0.17371484637260437,0.0,0.1110927015542984,0.13528719544410706,1.3074063,2.7875924,2.7761388,440.0,56423.0,56863.0,0.8803138,0.62036353,0.47816283,0.96355283,0.91553396,0.6132587,2.5484524,0.0,0.3453338,0.48571202,0.9198014,0.22629018,0.019784346,0.6142534,2.5484524,0.0,0.34774464
A549,2.0,DAC,5,4,15.0,5,0.04128166288137436,0.0063700685277581215,0.1695568561553955,0.0044139474630355835,0.12251339852809906,0.0038785431534051895,0.3242014944553375,0.0,0.17027752101421356,0.2061634063720703,0.86383635,1.2339311,1.229768,694.0,61001.0,61695.0,0.69134426,0.4176988,0.5691997,0.9428747,0.924011,0.30979365,2.5814571,0.0,0.3300873,0.7730258,2.3144238,0.0,0.16514465,0.30452362,2.5814571,0.0,0.3294948
A549,2.0,DAC,6,4,15.0,1,0.27383121848106384,0.04590315744280815,0.40966442227363586,0.013027247972786427,,,,,,,0.94236815,1.200474,1.1986759,766.0,109185.0,109951.0,0.65393054,0.20899343,0.47147438,0.9731535,0.9053605,3.8726358,11.106854,0.0,8.850125,4.7081766,7.204977,2.7151816,0.7054197,3.8667743,11.106854,0.0,8.902333
A549,2.0,DAC,7,4,15.0,1,0.09210998564958572,0.020686039701104164,0.2944117784500122,0.006558912340551615,0.20958071947097778,0.001091831480152905,0.2923203110694885,0.11021517217159271,0.23569269478321075,0.25049886107444763,1.162583,1.2069659,1.2066321,1000.0,131943.0,132943.0,0.873743,0.0362468,0.62658787,0.9852643,0.91405886,1.3849958,8.2454405,0.0,4.644249,3.531497,7.1340475,2.1763093,0.42345423,1.3687277,8.2454405,0.0,4.6410546
A549,2.0,DAC,7,4,15.0,2,0.11801820993423462,0.027782494202256203,0.33794501423835754,0.005231979303061962,,,,,,,1.1115662,0.9610706,0.96255195,1558.0,156761.0,158319.0,0.8928769,0.51551217,0.81088567,0.99066645,0.9364982,1.9639567,10.626385,0.0,7.657773,4.743379,7.0725527,3.0873654,0.41953105,1.9363332,10.626385,0.0,7.652171
A549,2.0,DAC,8,4,15.0,1,0.22360515594482422,0.007138713728636503,0.22741471230983734,0.006393984891474247,0.1563471406698227,0.0007569181034341455,0.2240009754896164,0.07083779573440552,0.17764097452163696,0.19155365228652954,0.43142945,0.6755311,0.6750737,200.0,106535.0,106735.0,0.2596321,0.017295294,0.53883547,0.9959331,0.909289,3.2653053,10.054404,0.0,1.0089058,2.1630747,2.6362975,1.7180053,0.0244057,3.267374,10.054404,0.0,1.008469
A549,2.0,DAC,9,4,15.0,1,0.28975391387939453,0.05275390297174454,0.44167280197143555,0.013314486481249332,,,,,,,0.70427245,0.7921859,0.79102546,1428.0,106763.0,108191.0,0.7477549,0.30442,0.6072361,0.9872233,0.9232217,3.3483367,10.189722,0.0,6.5868974,4.0978875,5.9639473,2.72054,0.23064712,3.3383112,10.189722,0.0,6.6642985
