Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var,FRET_Judge,Near_Ed,Ed_diff
A549,4,ALM,2,1,9,1,0.0675813257694244,0.0125150019302964,0.2320181727409362,0.0048137889243662,0.1827511638402938,0.0015413964865729,0.2981850802898407,0.050951387733221,0.2142657339572906,0.2335447818040847,0.59022135,0.7953681,0.794117,1051,171300,172351,0.09911406,0.5072273,0.2578471,0.98578006,0.85493076,0.50225586,4.8401403,0.0,0.7085659,1.3597409,2.2541332,0.85088086,0.054522123,0.49699497,4.8401403,0.0,0.70803976,ALM,0.12940181712088378,0.12698795481564745
A549,4,ALM,2,1,9,2,0.161254420876503,0.0011749082477763,0.16140016913414,0.0011524466099217,0.1407627463340759,0.0007264805608429,0.2098456472158432,0.0622173063457012,0.1627272665500641,0.1750299632549286,1.2494255,1.3464714,1.3449523,572,35971,36543,0.952793,0.45697275,0.9292073,0.9822203,0.98107463,1.3328434,2.2281418,0.0,0.04475669,1.1976056,1.566582,0.80182505,0.031608846,1.3349937,2.2281418,0.0,0.044670306,ALM,0.11397196394853333,0.12850635919700515
A549,4,ALM,2,1,9,3,0.0671650692820549,0.0079619316384196,0.1660367250442505,0.0032661233562976,0.1447568833827972,0.0022126082330942,0.3017087876796722,0.0249151084572076,0.1821486055850982,0.2078593075275421,0.9752697,1.6851777,1.6794684,941,116066,117007,0.7999198,0.5560198,0.4721896,0.9793916,0.92597127,0.3583756,2.3203018,0.0,0.22835952,0.4766054,1.0365294,0.24285585,0.0158394,0.35741708,2.3203018,0.0,0.22996823,control,0.1436161768428987,0.0
A549,4,ALM,3,1,9,1,0.0532290562987327,0.0060039623640477,0.1440716534852981,0.0031626946292817,0.1144200786948204,0.0017602675361558,0.2325212806463241,0.0,0.1481476873159408,0.1691935062408447,1.1112683,1.4160362,1.4105773,2552,139927,142479,0.7297345,0.029586457,0.5499966,0.9334683,0.9123456,0.30478767,2.3004725,0.0,0.1992906,0.54340553,1.5917295,0.0,0.05683753,0.30043578,2.3004725,0.0,0.20083125,control,0.15665810064088287,0.0
A549,4,ALM,4,1,9,1,0.0756671428680419,0.0080193905159831,0.1531203091144561,0.0043684146367013,0.0968037098646164,0.0014133502263575,0.2679298818111419,0.0123639684170484,0.125910997390747,0.1458003222942352,0.7788242,1.9270232,1.8922634,1905,61022,62927,0.9547628,-0.27428144,0.42121455,0.9587227,0.8435119,0.53393495,3.497101,0.0,0.4330396,0.45699582,1.0777534,0.23342112,0.02151196,0.53633684,3.497101,0.0,0.44569594,control,0.13956058361793283,0.0
A549,4,ALM,5,1,9,1,0.0439882986247539,0.0058363028801977,0.1466116905212402,0.0044064363464713,0.0927428305149078,0.0020967102609574,0.2425484210252761,0.0,0.1281280219554901,0.1552936434745788,0.91657794,2.5999634,2.5724614,1600,96335,97935,0.9305737,0.18857065,0.50272673,0.96951324,0.83358794,0.34164217,3.4347572,0.0,0.3916777,0.41181526,0.93539673,0.19147955,0.016021602,0.34047672,3.4347572,0.0,0.39783365,control,0.12978766489414065,0.0
A549,4,ALM,7,1,9,1,0.1029322147369384,0.0169587042182683,0.2485864758491516,0.004748448729515,0.1723536849021911,0.0016177933430299,0.3471338152885437,0.0757268220186233,0.2034773230552673,0.225845456123352,0.8869459,1.6757838,1.6662196,800,65183,65983,0.97178406,-0.05639042,0.51548207,0.9843169,0.9127864,0.8107183,4.3885446,0.0,1.0627432,1.2779312,2.2016344,0.8032671,0.070205,0.80498415,4.3885446,0.0,1.0722127,ALM,0.12161627221441346,0.12800162785452077
A549,4,ALM,7,1,9,2,0.0355117842555046,0.0050244601443409,0.1549533456563949,0.0034160329960286,0.110213816165924,0.0022780848667025,0.2907819151878357,0.0,0.1481936424970626,0.1726444065570831,1.0219852,1.5846083,1.5761144,1901,124018,125919,0.68895143,0.29517832,0.4122605,0.94802785,0.8865981,0.45083496,5.2063484,0.0,0.7866906,1.2904143,3.5236177,0.0,0.22001077,0.4379657,5.2063484,0.0,0.7844066,ALM,0.12280424546968707,0.12787823055990624
A549,4,ALM,7,1,9,3,0.1602009385824203,0.0066266409121453,0.1799049973487854,0.0038968340959399,0.0799247249960899,0.0004846919619012,0.1667908132076263,0.0156763792037963,0.0973411127924919,0.1094651147723198,0.99450845,3.1005464,3.0837321,600,74551,75151,0.93410844,0.9067762,0.5002884,0.98761135,0.85791045,1.5754504,4.9120345,0.0,0.6827815,0.6067024,1.1991765,0.40907153,0.019130113,1.5832468,4.9120345,0.0,0.68050903,ALM,0.05773775945961563,0.11027765419931743
A549,4,ALM,8,1,9,1,0.0632812157273292,0.0137339746579527,0.2609224319458008,0.0050591700710356,0.1876679211854934,0.0027921041473746,0.4176781475543976,0.0333342663943767,0.2299268990755081,0.2564700245857239,1.1500211,1.5682935,1.5614654,2421,145882,148303,0.910395,0.0482566,0.5638813,0.9628701,0.8905745,0.59088403,5.0814157,0.0,1.2027812,1.7652764,3.6179154,0.62556916,0.21005744,0.57139444,5.0814157,0.0,1.1959877,ALM,0.16799522164892744,0.11604707986722979
