ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,current_Metadata_concentration
3,0.0456692725419998,0.00100872234907,0.019605843350291252,0.05540013313293457,0.00019352181698195636,0.03034842200577259,0.03824348375201225,A549,4.0,alm,12,2,0.0
4,0.0070109479129314,0.001484687323682,0.21430647373199463,0.2945416271686554,0.13612718880176544,0.25933197140693665,0.2945416271686554,A549,4.0,alm,12,2,0.0
1,0.1454893201589584,0.0052074510604143,0.09450726956129074,0.2734457850456238,0.024097254499793053,0.12477389723062515,0.148941770195961,A549,4.0,alm,13,2,0.0
2,0.2285470366477966,0.0068270419724285,0.1797924041748047,0.28889235854148865,0.03131258115172386,0.2230689376592636,0.2401842325925827,A549,4.0,alm,13,2,0.0
3,0.0567553229629993,0.0152402352541685,0.2564668655395508,0.4706607162952423,0.13543935120105743,0.30090534687042236,0.33109191060066223,A549,4.0,alm,13,2,0.0
4,0.0840445533394813,0.0051498441025614,0.05783231183886528,0.17223910987377167,0.0009038260905072093,0.0845118910074234,0.10088013112545013,A549,4.0,alm,13,2,0.0
5,0.0394992120563983,0.0049549005925655,0.06153663620352745,0.20083339512348175,0.0012568720849230886,0.09350497275590897,0.11642330139875412,A549,4.0,alm,13,2,0.0
1,0.1366606950759887,0.0040517416782677,0.06131409481167793,0.10897675156593323,0.01125845592468977,0.07319722324609756,0.07981124520301819,A549,4.0,alm,14,2,0.0
2,0.1135700792074203,0.0054301884956657,0.09853912144899368,0.1967497020959854,0.005902573466300964,0.1261017918586731,0.141277477145195,A549,4.0,alm,14,2,0.0
3,0.223776713013649,0.0400638282299041,0.3175574243068695,0.524726390838623,0.15898053348064423,0.3771964907646179,0.415017306804657,A549,4.0,alm,14,2,0.0
4,0.0124179078266024,0.0028758461121469,0.24404361844062805,0.377323716878891,0.15749326348304749,0.2842211425304413,0.30947962403297424,A549,4.0,alm,14,2,0.0
5,0.2087268829345703,0.0062383655458688,0.09443400055170059,0.23829565942287445,0.014405880123376846,0.12733446061611176,0.15142188966274261,A549,4.0,alm,14,2,0.0
6,0.2277315407991409,0.0017345787491649,0.1672048270702362,0.2620272636413574,0.09073854237794876,0.19291909039020538,0.20882588624954224,A549,4.0,alm,14,2,0.0
7,0.1825078576803207,0.0221591126173734,0.20407360792160034,0.2721785604953766,0.14246119558811188,0.22867915034294128,0.24298743903636932,A549,4.0,alm,14,2,0.0
8,0.208567276597023,0.0011378588387742,0.13589082658290863,0.15983325242996216,0.10879994183778763,0.14512620866298676,0.1513179987668991,A549,4.0,alm,14,2,0.0
9,0.0006922647589817,0.0001549343869555,0.0,0.0,0.0,0.0,0.0,A549,4.0,alm,14,2,0.0
1,0.016387652605772,0.0032345703803002,0.2418443113565445,0.3469495177268982,0.1157451644539833,0.3020715117454529,0.32880425453186035,A549,4.0,alm,15,2,0.0
2,0.1230677142739296,0.0047474605962634,0.04676557704806328,0.10575246065855026,0.002628212794661522,0.06397265940904617,0.07609526067972183,A549,4.0,alm,15,2,0.0
3,0.057120643556118,0.000945461273659,0.03136419132351875,0.09590063989162445,0.0004203379212412983,0.044710539281368256,0.05387002229690552,A549,4.0,alm,15,2,0.0
4,0.0127377742901444,0.001980269793421,0.14395137131214142,0.23078610002994537,0.06960014998912811,0.1798839271068573,0.20417355000972748,A549,4.0,alm,15,2,0.0
5,0.0057597300037741,0.0002659453311935,0.011778609827160835,0.03950367867946625,0.0005500180413946509,0.019077979028224945,0.02776499278843403,A549,4.0,alm,15,2,0.0
1,0.0724093914031982,0.0039008848834782,0.04584066569805145,0.14191745221614838,0.0007749563083052635,0.06811166554689407,0.08460107445716858,A549,4.0,alm,2,2,0.0
2,0.1391151845455169,0.0014109300682321,0.07933464646339417,0.13554827868938446,0.03590178117156029,0.0974075049161911,0.10908052325248718,A549,4.0,alm,2,2,0.0
3,0.0693924874067306,0.001564867561683,0.03529267758131027,0.07321073859930038,0.0008619086001999676,0.04568001627922058,0.052800826728343964,A549,4.0,alm,2,2,0.0
4,0.089122325181961,0.0008922443375922,0.059882525354623795,0.13009999692440033,0.014394501224160194,0.07550845295190811,0.08775597810745239,A549,4.0,alm,2,2,0.0
