Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean_value,Rc_region_mean,Fp_region_PCC,FRET_Judge,Near_Ed
MCF7,4.0,A133,8,2,40.0,4,0.0775055140256881,0.605553,0.9399183,True,0.08667413988872041
MCF7,4.0,A133,8,2,40.0,5,0.052317027002573,0.32957304,0.5176664,True,0.060258277755722484
MCF7,4.0,A133,9,2,40.0,1,0.2406519204378128,1.4765818,0.9541251,False,0.21940809804868952
MCF7,4.0,A133,9,2,40.0,2,,0.15236855,0.86157846,False,0.04865772013649626
MCF7,4.0,A133,9,2,40.0,3,,0.21619266,0.82856673,False,0.06541636164783302
MCF7,6.0,A133,0,1,80.0,1,,0.21349032,0.94676757,False,0.06474253355395534
MCF7,6.0,A133,1,1,80.0,1,,0.21731104,0.77168155,False,0.0656943542711976
MCF7,6.0,A133,1,1,80.0,2,0.1268016844987869,0.33746916,0.6819322,False,0.09285346877082384
MCF7,6.0,A133,3,1,80.0,1,0.1345954984426498,0.39746186,0.9250368,False,0.10466544287655909
MCF7,6.0,A133,4,1,80.0,1,0.1406822502613067,0.5046761,0.9226524,False,0.12342909201521841
MCF7,6.0,A133,4,1,80.0,2,,0.3234985,0.94683516,False,0.08994906152141464
MCF7,6.0,A133,5,1,80.0,1,0.143153578042984,0.43475455,0.77937984,False,0.11151013558381814
MCF7,6.0,A133,5,1,80.0,2,,0.11734676,0.95191216,False,0.03864834913021988
MCF7,6.0,A133,5,1,80.0,3,0.1453254967927932,0.6906073,0.9744705,False,0.15032674140233512
MCF7,6.0,A133,6,1,80.0,1,,0.21703501,0.9676306,False,0.06562578974617994
MCF7,6.0,A133,6,1,80.0,2,,0.4199034,0.9797201,False,0.10882743938777807
MCF7,6.0,A133,7,1,80.0,1,0.1082907617092132,0.48363346,0.60600424,False,0.11996029887328101
MCF7,6.0,A133,7,1,80.0,2,0.118766151368618,0.5909303,0.726148,False,0.13668879799448158
MCF7,6.0,A133,7,1,80.0,3,0.1211656481027603,0.54639786,0.6939093,False,0.13002760653070225
MCF7,6.0,A133,8,1,80.0,1,0.1209932118654251,0.38595268,0.9350084,False,0.10247866921401676
MCF7,6.0,A133,8,1,80.0,2,,0.29601216,0.93057656,False,0.08405204691906594
MCF7,6.0,A133,9,1,80.0,1,0.1409589201211929,0.45946905,0.93100905,False,0.11585350878115572
