ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site
4,0.110946387052536,0.0031054646242409,0.08404116332530975,0.14546677470207214,0.026195108890533447,0.10489682108163834,0.11754833906888962,A549,8.0,AFA,27
5,0.433239072561264,0.0154667403548955,0.34687432646751404,0.44864022731781006,0.26750504970550537,0.3777540922164917,0.39341363310813904,A549,8.0,AFA,27
6,0.0694400519132614,0.0137613350525498,0.21219974756240845,0.3995831608772278,0.047291941940784454,0.2760530114173889,0.31894442439079285,A549,8.0,AFA,27
7,0.3883111178874969,0.0061334432102739,0.3640931248664856,0.47948169708251953,0.25683367252349854,0.4006633162498474,0.42773714661598206,A549,8.0,AFA,27
8,0.1825573891401291,0.0157564636319875,0.15774734318256378,0.45872762799263,0.0003941968607250601,0.22911004722118378,0.27937421202659607,A549,8.0,AFA,27
9,0.2010842710733413,0.0057645454071462,0.16286823153495789,0.2621045708656311,0.06552319973707199,0.19747260212898254,0.2213965356349945,A549,8.0,AFA,27
1,0.1877150684595108,0.0126112699508667,0.12604546546936035,0.4520754814147949,0.0010809169616550207,0.17114292085170746,0.20081697404384613,A549,8.0,AFA,28
2,0.1103483662009239,0.0037812199443578,0.07468698918819427,0.19173550605773926,0.0011824332177639008,0.10704309493303299,0.12816542387008667,A549,8.0,AFA,28
3,0.371502012014389,0.0104298675432801,0.2584144175052643,0.48386767506599426,0.0876251757144928,0.31980326771736145,0.3746221661567688,A549,8.0,AFA,28
4,0.2812042236328125,0.0051530837081372,0.18959638476371765,0.283195436000824,0.08861085772514343,0.22162958979606628,0.23943637311458588,A549,8.0,AFA,28
5,0.1897235065698623,0.0060594724491238,0.13547304272651672,0.34651052951812744,0.0023596242535859346,0.18205498158931732,0.21158501505851746,A549,8.0,AFA,28
1,0.175239011645317,0.0087428549304604,0.11237241327762604,0.2856940031051636,0.0012451615184545517,0.1585656851530075,0.18748609721660614,A549,8.0,AFA,29
2,0.0471416413784027,0.0014177149860188,0.04195263236761093,0.14484676718711853,0.00016004288045223802,0.06213991343975067,0.07624389976263046,A549,8.0,AFA,29
3,0.1504517942667007,0.0051694451831281,0.11041747033596039,0.2251276969909668,0.00811527669429779,0.140294149518013,0.16088785231113434,A549,8.0,AFA,29
4,5.781706204288639e-05,1.746554880810436e-05,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,29
5,0.0007247789180837,0.0002680827165022,0.4263373911380768,0.5092442035675049,0.3509862422943115,0.5092442035675049,0.5092442035675049,A549,8.0,AFA,29
6,0.3068009912967682,0.0346896350383758,0.2609441876411438,0.5169030427932739,0.004505779128521681,0.3375715911388397,0.3839435279369354,A549,8.0,AFA,29
7,0.057751428335905,0.0123164094984531,0.1772240400314331,0.45710501074790955,0.017736902460455894,0.24960388243198395,0.29347163438796997,A549,8.0,AFA,29
8,0.3127285838127136,0.0088539272546768,0.2483399510383606,0.46934065222740173,0.011922373436391354,0.305230975151062,0.3383486866950989,A549,8.0,AFA,29
9,0.1050431653857231,0.0116317356005311,0.1165393590927124,0.29524505138397217,0.0008758461917750537,0.17261244356632233,0.21046650409698486,A549,8.0,AFA,29
10,0.1859736740589141,0.0098256990313529,0.13922974467277527,0.4030684530735016,0.0008291397825814784,0.19221831858158112,0.2267131805419922,A549,8.0,AFA,29
1,0.2540611624717712,0.0063150464557111,0.1941625475883484,0.30034998059272766,0.10978881269693375,0.22352293133735657,0.2430928498506546,A549,8.0,AFA,3
2,0.0796379074454307,0.0019396202405914,0.04456136003136635,0.10309131443500519,0.00024812857736833394,0.06041499599814415,0.0708007737994194,A549,8.0,AFA,3
3,0.1032629013061523,0.0073003065772354,0.05729581043124199,0.18759508430957794,0.0003188954433426261,0.08645769953727722,0.11075212061405182,A549,8.0,AFA,3
1,3.876421487802872e-06,3.133081065698207e-07,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,30
2,0.2825614809989929,0.0383942984044551,0.3090575635433197,0.5471815466880798,0.03338457643985748,0.3932673931121826,0.4438561201095581,A549,8.0,AFA,30
3,0.0919529572129249,0.0194214545190334,0.2245749980211258,0.47945109009742737,0.01478650514036417,0.29948627948760986,0.3438720703125,A549,8.0,AFA,30
4,0.3424835801124573,0.0082577718421816,0.24618905782699585,0.3841036558151245,0.11547593772411346,0.28726211190223694,0.31139540672302246,A549,8.0,AFA,30
5,0.1716024726629257,0.0134128564968705,0.13876695930957794,0.3418019711971283,0.011064793914556503,0.19679725170135498,0.2354193776845932,A549,8.0,AFA,30
6,0.2632588446140289,0.0094938799738883,0.18136681616306305,0.3229852318763733,0.03867219761013985,0.2263568639755249,0.25166237354278564,A549,8.0,AFA,30
7,0.0282501727342605,0.0070896185934543,0.23146745562553406,0.3538948893547058,0.09379599988460541,0.2848602831363678,0.31227293610572815,A549,8.0,AFA,30
8,0.2247760146856308,0.0049209692515432,0.1773526668548584,0.31235364079475403,0.045891229063272476,0.2224397510290146,0.24643361568450928,A549,8.0,AFA,30
9,0.3170536160469055,0.0097439913079142,0.1731460690498352,0.3030008375644684,0.08173537254333496,0.21035906672477722,0.23609836399555206,A549,8.0,AFA,30
10,0.1953041553497314,0.0069226021878421,0.13418981432914734,0.259983092546463,0.00014476270007435232,0.17990745604038239,0.2071506232023239,A549,8.0,AFA,30
11,0.1637402325868606,0.0041438080370426,0.11103881150484085,0.21882277727127075,0.0033109269570559263,0.14204195141792297,0.16070224344730377,A549,8.0,AFA,30
