ObjectNumber,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Rc,Region_Ed,Region_pixels_sum,Cell_Ed,Cell_pixels_sum
2,MCF7,2.0,A133,16,2,40.0,2,0.24,0.0853831022977829,1929,0.060704827308654785,8832
2,MCF7,2.0,A133,16,2,40.0,2,0.29,0.09426583349704742,1063,0.06292913854122162,6103
2,MCF7,2.0,A133,16,2,40.0,2,0.34,0.09591658413410187,366,0.06096390634775162,2725
2,MCF7,2.0,A133,16,2,40.0,2,0.39,0.09415142238140106,44,0.058003541082143784,874
2,MCF7,2.0,A133,16,2,40.0,2,0.44,0.08786804974079132,5,0.06302802264690399,297
2,MCF7,2.0,A133,16,2,40.0,2,0.49,,0,0.07821530103683472,77
2,MCF7,2.0,A133,16,2,40.0,2,0.54,,0,0.09939088672399521,17
3,MCF7,2.0,A133,16,2,40.0,3,0.0,,0,0.002881278283894062,30
3,MCF7,2.0,A133,16,2,40.0,3,0.05,0.01328363548964262,11588,0.01343610230833292,25482
3,MCF7,2.0,A133,16,2,40.0,3,0.1,0.017548123374581337,266,0.01614960841834545,7607
3,MCF7,2.0,A133,16,2,40.0,3,0.15,,0,0.022011851891875267,49
1,MCF7,2.0,A133,17,2,40.0,1,0.0,,0,0.0,3173
1,MCF7,2.0,A133,17,2,40.0,1,0.05,0.050042107701301575,667,0.08306919783353806,2042
1,MCF7,2.0,A133,17,2,40.0,1,0.1,0.06225283816456795,9996,0.08001338690519333,16962
1,MCF7,2.0,A133,17,2,40.0,1,0.15,0.07147611677646637,1916,0.10268289595842361,9189
1,MCF7,2.0,A133,17,2,40.0,1,0.2,0.071578748524189,24,0.11882945150136948,12172
1,MCF7,2.0,A133,17,2,40.0,1,0.25,,0,0.1320682317018509,11063
1,MCF7,2.0,A133,17,2,40.0,1,0.3,,0,0.17366923391819,5229
1,MCF7,2.0,A133,17,2,40.0,1,0.35,,0,0.20408712327480316,3466
1,MCF7,2.0,A133,17,2,40.0,1,0.4,,0,0.21611687541007996,2922
1,MCF7,2.0,A133,17,2,40.0,1,0.45,,0,0.22440597414970398,2568
1,MCF7,2.0,A133,17,2,40.0,1,0.5,,0,0.23477542400360107,2303
1,MCF7,2.0,A133,17,2,40.0,1,0.55,,0,0.2462129145860672,1782
1,MCF7,2.0,A133,17,2,40.0,1,0.6,,0,0.261888712644577,975
1,MCF7,2.0,A133,17,2,40.0,1,0.65,,0,0.27629217505455017,507
1,MCF7,2.0,A133,17,2,40.0,1,0.7,,0,0.28922683000564575,159
1,MCF7,2.0,A133,17,2,40.0,1,0.75,,0,0.30292490124702454,35
1,MCF7,2.0,A133,17,2,40.0,1,0.8,,0,0.3171863257884979,12
2,MCF7,2.0,A133,17,2,40.0,2,0.03,0.045379940420389175,881,0.04739467054605484,937
2,MCF7,2.0,A133,17,2,40.0,2,0.08,0.0514785498380661,6583,0.06870679557323456,13797
2,MCF7,2.0,A133,17,2,40.0,2,0.13,0.03668959066271782,7,0.08995576202869415,15095
2,MCF7,2.0,A133,17,2,40.0,2,0.18,,0,0.09650647640228271,4360
2,MCF7,2.0,A133,17,2,40.0,2,0.23,,0,0.1089162826538086,305
3,MCF7,2.0,A133,17,2,40.0,3,0.0,,0,0.0,62
3,MCF7,2.0,A133,17,2,40.0,3,0.05,0.04990009590983391,8942,0.06934383511543274,14089
3,MCF7,2.0,A133,17,2,40.0,3,0.1,0.061741702258586884,16,0.1095542311668396,22379
3,MCF7,2.0,A133,17,2,40.0,3,0.15,,0,0.13735710084438324,4080
3,MCF7,2.0,A133,17,2,40.0,3,0.2,,0,0.1833282858133316,156
1,MCF7,2.0,A133,18,2,40.0,1,0.1,0.06301039457321167,1737,0.06094321608543396,3233
1,MCF7,2.0,A133,18,2,40.0,1,0.15,0.07555712759494781,1525,0.06817471235990524,6440
1,MCF7,2.0,A133,18,2,40.0,1,0.2,0.10611366480588913,739,0.09629224985837936,7971
1,MCF7,2.0,A133,18,2,40.0,1,0.25,0.1376628875732422,1459,0.12280022352933884,9833
1,MCF7,2.0,A133,18,2,40.0,1,0.3,0.14999976754188538,2080,0.14390049874782562,3016
1,MCF7,2.0,A133,18,2,40.0,1,0.35,0.15454353392124176,1082,0.15454353392124176,1082
1,MCF7,2.0,A133,18,2,40.0,1,0.4,0.05169723182916641,147,0.05169723182916641,147
1,MCF7,2.0,A133,18,2,40.0,1,0.45,0.0,201,0.0,201
1,MCF7,2.0,A133,18,2,40.0,1,0.5,0.0,13,0.0,13
2,MCF7,2.0,A133,18,2,40.0,2,0.2,0.06147477403283119,300,0.060540568083524704,350
2,MCF7,2.0,A133,18,2,40.0,2,0.25,0.0760083943605423,1919,0.07295217365026474,5120
2,MCF7,2.0,A133,18,2,40.0,2,0.3,0.09682656824588776,1390,0.08512577414512634,6369
2,MCF7,2.0,A133,18,2,40.0,2,0.35,0.1086285188794136,1182,0.0956433042883873,6030
2,MCF7,2.0,A133,18,2,40.0,2,0.4,0.11746027320623398,1312,0.105586938560009,5569
2,MCF7,2.0,A133,18,2,40.0,2,0.45,0.12637288868427277,1049,0.11731564253568649,2227
2,MCF7,2.0,A133,18,2,40.0,2,0.5,0.13045595586299896,734,0.1254899948835373,1286
2,MCF7,2.0,A133,18,2,40.0,2,0.55,0.10936374962329865,283,0.11439971625804901,478
2,MCF7,2.0,A133,18,2,40.0,2,0.6,0.04164601117372513,103,0.06067930907011032,135
2,MCF7,2.0,A133,18,2,40.0,2,0.65,0.006030168384313583,20,0.006030168384313583,20
1,MCF7,2.0,A133,19,2,40.0,1,0.0,,0,0.0,1016
1,MCF7,2.0,A133,19,2,40.0,1,0.05,,0,0.2393048256635666,120
1,MCF7,2.0,A133,19,2,40.0,1,0.1,0.08446307480335236,6597,0.13252277672290802,10218
1,MCF7,2.0,A133,19,2,40.0,1,0.15,0.10086727887392044,4468,0.15922196209430695,13847
1,MCF7,2.0,A133,19,2,40.0,1,0.2,0.1184430867433548,292,0.17942184209823608,13142
1,MCF7,2.0,A133,19,2,40.0,1,0.25,,0,0.19841833412647247,6275
1,MCF7,2.0,A133,19,2,40.0,1,0.3,,0,0.235091432929039,1770
1,MCF7,2.0,A133,19,2,40.0,1,0.35,,0,0.26830199360847473,477
1,MCF7,2.0,A133,19,2,40.0,1,0.4,,0,0.30579087138175964,70
1,MCF7,2.0,A133,19,2,40.0,1,0.45,,0,,9
2,MCF7,2.0,A133,19,2,40.0,2,0.0,,0,0.0,575
2,MCF7,2.0,A133,19,2,40.0,2,0.05,,0,0.23492178320884705,143
2,MCF7,2.0,A133,19,2,40.0,2,0.1,0.08931520581245422,2232,0.16325967013835907,5985
2,MCF7,2.0,A133,19,2,40.0,2,0.15,0.0987384244799614,5592,0.1663302630186081,20148
2,MCF7,2.0,A133,19,2,40.0,2,0.2,0.10520492494106293,2756,0.17986604571342468,14956
2,MCF7,2.0,A133,19,2,40.0,2,0.25,0.11964515596628189,150,0.21904443204402924,4735
2,MCF7,2.0,A133,19,2,40.0,2,0.3,,2,0.26106327772140503,515
2,MCF7,2.0,A133,19,2,40.0,2,0.35,,0,0.28615477681159973,31
1,MCF7,2.0,A133,2,2,40.0,1,0.01,0.06102375686168671,515,0.0707150250673294,9114
1,MCF7,2.0,A133,2,2,40.0,1,0.06,0.06748969107866287,5022,0.07284542918205261,14800
1,MCF7,2.0,A133,2,2,40.0,1,0.11,0.07782021164894104,1095,0.07862215489149094,1222
2,MCF7,2.0,A133,2,2,40.0,2,0.02,0.0386018343269825,7123,0.03888930752873421,9797
2,MCF7,2.0,A133,2,2,40.0,2,0.07,0.03899552673101425,6,0.0597897432744503,14451
2,MCF7,2.0,A133,2,2,40.0,2,0.12,,0,0.07374752312898636,104
3,MCF7,2.0,A133,2,2,40.0,3,0.05,0.04744987562298775,48,0.05808460712432861,1874
3,MCF7,2.0,A133,2,2,40.0,3,0.1,0.07613051682710648,3335,0.07521434128284454,15201
3,MCF7,2.0,A133,2,2,40.0,3,0.15,0.09498120099306107,2387,0.09526607394218445,2567
3,MCF7,2.0,A133,2,2,40.0,3,0.2,0.09849143773317337,6,,6
1,MCF7,2.0,A133,20,2,40.0,1,0.05,0.051568008959293365,5,0.06378965824842453,2504
1,MCF7,2.0,A133,20,2,40.0,1,0.1,0.06610830873250961,4336,0.06684243679046631,9529
1,MCF7,2.0,A133,20,2,40.0,1,0.15,0.07577782869338989,214,0.07518026977777481,223
2,MCF7,2.0,A133,20,2,40.0,2,0.04,0.0517292320728302,492,0.05685145780444145,1970
2,MCF7,2.0,A133,20,2,40.0,2,0.09,0.06591684371232986,4073,0.06559152901172638,6766
1,MCF7,2.0,A133,21,2,40.0,1,0.0,0.0348467081785202,5124,0.039540283381938934,5723
1,MCF7,2.0,A133,21,2,40.0,1,0.05,0.03873042017221451,8482,0.06433464586734772,45717
1,MCF7,2.0,A133,21,2,40.0,1,0.1,,0,0.08777175098657608,12939
1,MCF7,2.0,A133,21,2,40.0,1,0.15,,0,0.10717493295669556,357
2,MCF7,2.0,A133,21,2,40.0,2,0.03,0.059625495225191116,875,0.069778673350811,4100
2,MCF7,2.0,A133,21,2,40.0,2,0.08,0.07093755900859833,6038,0.08223136514425278,20582
2,MCF7,2.0,A133,21,2,40.0,2,0.13,0.08499397337436676,150,0.08499397337436676,150
1,MCF7,2.0,A133,22,2,40.0,1,0.08,0.060621477663517,448,0.06142393499612808,4020
1,MCF7,2.0,A133,22,2,40.0,1,0.13,0.07971818000078201,4892,0.0752503052353859,21771
1,MCF7,2.0,A133,22,2,40.0,1,0.18,0.07072234153747559,3279,0.07723111659288406,9554
1,MCF7,2.0,A133,22,2,40.0,1,0.23,0.005987081211060286,1162,0.006131474860012531,1164
1,MCF7,2.0,A133,3,2,40.0,1,0.0,0.05383985489606857,18,0.08899717032909393,3333
1,MCF7,2.0,A133,3,2,40.0,1,0.05,0.058939378708601,10812,0.08537548780441284,34571
2,MCF7,2.0,A133,3,2,40.0,2,0.02,,0,0.12604714930057526,610
2,MCF7,2.0,A133,3,2,40.0,2,0.07,0.08905099332332611,26,0.12048640847206116,27064
2,MCF7,2.0,A133,3,2,40.0,2,0.12,0.10331390053033829,1512,0.12324614077806473,14576
2,MCF7,2.0,A133,3,2,40.0,2,0.17,0.11546749621629715,2892,0.11668700724840164,3021
2,MCF7,2.0,A133,3,2,40.0,2,0.22,0.12600071728229523,1778,0.12600071728229523,1778
2,MCF7,2.0,A133,3,2,40.0,2,0.27,0.10326240956783295,37,0.10326240956783295,37
1,MCF7,2.0,A133,4,2,40.0,1,0.06,0.08067050576210022,5836,0.08076781034469604,6155
1,MCF7,2.0,A133,4,2,40.0,1,0.11,0.08154893666505814,1781,0.0852789431810379,9019
1,MCF7,2.0,A133,4,2,40.0,1,0.16,,0,0.10684271156787872,4859
1,MCF7,2.0,A133,4,2,40.0,1,0.21,,0,0.11349213123321533,5289
1,MCF7,2.0,A133,4,2,40.0,1,0.26,,0,0.11915875226259232,1318
2,MCF7,2.0,A133,4,2,40.0,2,0.02,0.07639658451080322,3750,0.08345868438482285,13738
2,MCF7,2.0,A133,4,2,40.0,2,0.07,,0,0.09144143760204315,8300
2,MCF7,2.0,A133,4,2,40.0,2,0.12,,0,0.09752961248159409,463
2,MCF7,2.0,A133,4,2,40.0,2,0.17,,0,0.11885382980108261,74
1,MCF7,2.0,A133,5,2,40.0,1,0.04,0.09753289073705673,4320,0.09934688359498978,10762
1,MCF7,2.0,A133,5,2,40.0,1,0.09,0.10887809097766876,11883,0.11939185112714767,25537
1,MCF7,2.0,A133,5,2,40.0,1,0.14,0.13997063040733337,3708,0.14777806401252747,8027
1,MCF7,2.0,A133,5,2,40.0,1,0.19,,0,0.19282110035419464,10
1,MCF7,2.0,A133,6,2,40.0,1,0.0,,0,0.0,1151
1,MCF7,2.0,A133,6,2,40.0,1,0.05,0.10686762630939484,13163,0.1279658079147339,17441
1,MCF7,2.0,A133,6,2,40.0,1,0.1,0.12218670547008514,4785,0.17394065856933594,15329
1,MCF7,2.0,A133,6,2,40.0,1,0.15,,0,0.251461386680603,1057
1,MCF7,2.0,A133,6,2,40.0,1,0.2,,0,0.28482282161712646,30
2,MCF7,2.0,A133,6,2,40.0,2,0.0,0.037875112146139145,5593,0.05585998669266701,19755
2,MCF7,2.0,A133,6,2,40.0,2,0.05,,0,0.09290636330842972,5365
3,MCF7,2.0,A133,6,2,40.0,3,0.0,0.07463351637125015,1695,0.08136805891990662,10176
3,MCF7,2.0,A133,6,2,40.0,3,0.05,0.07832842320203781,5985,0.12276618182659149,17652
3,MCF7,2.0,A133,6,2,40.0,3,0.1,0.07828562706708908,1540,0.12633290886878967,6437
3,MCF7,2.0,A133,6,2,40.0,3,0.15,,2,0.14227119088172913,422
1,MCF7,2.0,A133,7,2,40.0,1,0.0,0.0416303426027298,9293,0.05608699098229408,27223
1,MCF7,2.0,A133,7,2,40.0,1,0.05,,0,0.07510418444871902,14553
1,MCF7,2.0,A133,8,2,40.0,1,0.02,0.0789991095662117,10,0.09787500649690628,5395
1,MCF7,2.0,A133,8,2,40.0,1,0.07,0.06956217437982559,6451,0.084251269698143,17673
1,MCF7,2.0,A133,8,2,40.0,1,0.12,0.08660868555307388,474,0.10576391965150833,1278
1,MCF7,2.0,A133,8,2,40.0,1,0.17,,0,,6
2,MCF7,2.0,A133,8,2,40.0,2,0.02,0.06993600726127625,179,0.11502917855978012,1874
2,MCF7,2.0,A133,8,2,40.0,2,0.07,0.07875001430511475,2730,0.10060407221317291,10372
2,MCF7,2.0,A133,8,2,40.0,2,0.12,0.08393149822950363,2293,0.08471376448869705,2592
2,MCF7,2.0,A133,8,2,40.0,2,0.17,0.08539754897356033,191,0.08543294668197632,192
2,MCF7,2.0,A133,8,2,40.0,2,0.22,0.1092149168252945,7,,7
1,MCF7,2.0,A133,9,2,40.0,1,0.06,0.012842226773500443,270,0.010595321655273438,1135
1,MCF7,2.0,A133,9,2,40.0,1,0.11,0.02856353484094143,1571,0.02455526776611805,12769
1,MCF7,2.0,A133,9,2,40.0,1,0.16,0.04737836867570877,1769,0.037716954946517944,9861
1,MCF7,2.0,A133,9,2,40.0,1,0.21,0.058996640145778656,2521,0.058516014367341995,2627
1,MCF7,2.0,A133,9,2,40.0,1,0.26,0.0653548389673233,328,0.0653548389673233,328
2,MCF7,2.0,A133,9,2,40.0,2,0.02,,4,0.024203432723879814,848
2,MCF7,2.0,A133,9,2,40.0,2,0.07,0.03696463257074356,1614,0.03834150731563568,6109
2,MCF7,2.0,A133,9,2,40.0,2,0.12,0.05060563609004021,3234,0.049773525446653366,3876
2,MCF7,2.0,A133,9,2,40.0,2,0.17,0.05954696983098984,223,0.05954696983098984,223
1,MCF7,4.0,A133,0,1,80.0,1,0.02,0.0668938085436821,783,0.08539319783449173,4167
1,MCF7,4.0,A133,0,1,80.0,1,0.07,0.06631217151880264,3059,0.07827684283256531,6455
1,MCF7,4.0,A133,0,1,80.0,1,0.12,0.06672194600105286,194,0.06672194600105286,194
2,MCF7,4.0,A133,0,1,80.0,2,0.0,0.046583134680986404,4796,0.0636383593082428,10127
2,MCF7,4.0,A133,0,1,80.0,2,0.05,0.041411392390728,21,0.08596758544445038,9233
3,MCF7,4.0,A133,0,1,80.0,3,0.0,,0,0.0,2661
3,MCF7,4.0,A133,0,1,80.0,3,0.05,0.11402717232704163,44,0.21278028190135956,368
