Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Rc,Ed,cell_Ed
MCF7,2.0,A133,0,1,80.0,1.27,0.12347260862588882,0.12696321308612823
MCF7,2.0,A133,0,1,80.0,1.28,0.12969671189785004,0.12691928446292877
MCF7,2.0,A133,0,1,80.0,1.29,0.11839737743139267,0.13056442141532898
MCF7,2.0,A133,0,1,80.0,1.3,0.12225083261728287,0.13866285979747772
MCF7,2.0,A133,0,1,80.0,1.31,0.12207925319671631,0.12639184296131134
MCF7,2.0,A133,0,1,80.0,1.32,0.1258024424314499,0.1334250569343567
MCF7,2.0,A133,0,1,80.0,1.33,0.11509932577610016,0.13184309005737305
MCF7,2.0,A133,0,1,80.0,1.34,0.12541475892066956,0.12920072674751282
MCF7,2.0,A133,0,1,80.0,1.35,0.12314816564321518,0.13011448085308075
MCF7,2.0,A133,0,1,80.0,1.36,0.12806662917137146,0.12205763906240463
MCF7,2.0,A133,0,1,80.0,1.37,0.11158280819654465,0.13099943101406097
MCF7,2.0,A133,0,1,80.0,1.38,0.13864684104919434,0.13586008548736572
MCF7,2.0,A133,0,1,80.0,1.39,0.13712285459041595,0.13276085257530212
MCF7,2.0,A133,0,1,80.0,1.4,0.13549642264842987,0.13155247271060944
MCF7,2.0,A133,0,1,80.0,1.41,0.1379743367433548,0.13097259402275085
MCF7,2.0,A133,0,1,80.0,1.42,0.13078801333904266,0.1438119113445282
MCF7,2.0,A133,0,1,80.0,1.43,0.13517418503761292,0.14815129339694977
MCF7,2.0,A133,0,1,80.0,1.44,0.13764676451683044,0.13518157601356506
MCF7,2.0,A133,0,1,80.0,1.45,0.1344844102859497,0.1430855691432953
MCF7,2.0,A133,0,1,80.0,1.46,0.14836858212947845,0.1425807774066925
MCF7,2.0,A133,0,1,80.0,1.47,0.13230885565280914,0.12668459117412567
MCF7,2.0,A133,0,1,80.0,1.48,0.12496393173933029,0.14066597819328308
MCF7,2.0,A133,0,1,80.0,1.49,0.1421351432800293,0.1487068086862564
MCF7,2.0,A133,0,1,80.0,1.5,0.14127537608146667,0.13964435458183289
MCF7,2.0,A133,0,1,80.0,1.51,0.13552170991897583,0.14164786040782928
MCF7,2.0,A133,0,1,80.0,1.52,0.15462297201156616,0.15562261641025543
MCF7,2.0,A133,0,1,80.0,1.53,0.1546289175748825,0.15714222192764282
MCF7,2.0,A133,0,1,80.0,1.54,0.1412181258201599,0.15170693397521973
MCF7,2.0,A133,0,1,80.0,1.55,0.14008642733097076,0.14905521273612976
MCF7,2.0,A133,0,1,80.0,1.56,0.1197352409362793,0.13332635164260864
MCF7,2.0,A133,0,1,80.0,1.57,0.12872643768787384,0.14159034192562103
MCF7,2.0,A133,0,1,80.0,1.58,0.13608266413211823,0.13945098221302032
MCF7,2.0,A133,0,1,80.0,1.59,0.13016022741794586,0.13354739546775818
MCF7,2.0,A133,0,1,80.0,1.6,0.14509008824825287,0.1496289223432541
MCF7,2.0,A133,0,1,80.0,1.61,0.1449325531721115,0.1523280292749405
MCF7,2.0,A133,0,1,80.0,1.62,0.13343855738639832,0.13647791743278503
MCF7,2.0,A133,0,1,80.0,1.63,0.13870948553085327,0.1490883082151413
MCF7,2.0,A133,0,1,80.0,1.64,0.14174716174602509,0.12887588143348694
MCF7,2.0,A133,0,1,80.0,1.65,0.15090741217136383,0.14413757622241974
MCF7,2.0,A133,0,1,80.0,1.66,0.15361081063747406,0.14009346067905426
MCF7,2.0,A133,0,1,80.0,1.67,0.1497901827096939,0.14729559421539307
MCF7,2.0,A133,0,1,80.0,1.68,0.13795268535614014,0.15047946572303772
MCF7,2.0,A133,0,1,80.0,1.69,0.15959644317626953,0.1615924835205078
MCF7,2.0,A133,0,1,80.0,1.7,0.1574641615152359,0.14859437942504883
MCF7,2.0,A133,0,1,80.0,1.71,0.15290223062038422,0.1489420086145401
MCF7,2.0,A133,0,1,80.0,1.72,0.13194353878498077,0.1373191624879837
MCF7,2.0,A133,0,1,80.0,1.73,0.14386039972305298,0.15188702940940857
MCF7,2.0,A133,0,1,80.0,1.74,0.15322841703891754,0.14855879545211792
MCF7,2.0,A133,0,1,80.0,1.75,0.14466239511966705,0.1408320814371109
MCF7,2.0,A133,0,1,80.0,1.76,0.1575530469417572,0.15596722066402435
MCF7,2.0,A133,0,1,80.0,1.77,0.14959482848644257,0.15801069140434265
MCF7,2.0,A133,0,1,80.0,1.78,0.1750810742378235,0.14611391723155975
MCF7,2.0,A133,0,1,80.0,1.79,0.14778517186641693,0.1361633539199829
MCF7,2.0,A133,0,1,80.0,1.8,0.15106414258480072,0.15285149216651917
MCF7,2.0,A133,0,1,80.0,1.81,0.15203645825386047,0.15171778202056885
MCF7,2.0,A133,0,1,80.0,1.82,0.14016911387443542,0.13960666954517365
MCF7,2.0,A133,0,1,80.0,1.83,0.15796776115894318,0.15342196822166443
MCF7,2.0,A133,0,1,80.0,1.84,0.16364160180091858,0.15853390097618103
MCF7,2.0,A133,0,1,80.0,1.85,0.15610350668430328,0.143803671002388
MCF7,2.0,A133,0,1,80.0,1.86,0.15279962122440338,0.15802991390228271
MCF7,2.0,A133,0,1,80.0,1.87,0.16081757843494415,0.1493602693080902
MCF7,2.0,A133,0,1,80.0,1.88,0.14675357937812805,0.15516595542430878
MCF7,2.0,A133,0,1,80.0,1.89,0.16585078835487366,0.1510687917470932
MCF7,2.0,A133,0,1,80.0,1.9,0.1521276831626892,0.15497885644435883
MCF7,2.0,A133,0,1,80.0,1.91,0.158037468791008,0.14497189223766327
MCF7,2.0,A133,0,1,80.0,1.92,0.16816946864128113,0.16169126331806183
MCF7,2.0,A133,0,1,80.0,1.93,0.1397651582956314,0.13565845787525177
MCF7,2.0,A133,0,1,80.0,1.94,0.17757956683635712,0.15817832946777344
MCF7,2.0,A133,0,1,80.0,1.95,0.15872859954833984,0.15283825993537903
MCF7,2.0,A133,0,1,80.0,1.96,0.16177326440811157,0.161530002951622
MCF7,2.0,A133,0,1,80.0,1.97,0.16643549501895905,0.15608254075050354
MCF7,2.0,A133,0,1,80.0,1.98,0.17328648269176483,0.1530495434999466
MCF7,2.0,A133,0,1,80.0,1.99,0.1349876970052719,0.14423198997974396
MCF7,2.0,A133,0,1,80.0,2.0,0.16061106324195862,0.15925295650959015
MCF7,2.0,A133,0,1,80.0,2.01,0.15832440555095673,0.15842343866825104
MCF7,2.0,A133,0,1,80.0,2.02,0.15054304897785187,0.1426280289888382
MCF7,2.0,A133,0,1,80.0,2.03,0.16271500289440155,0.16265925765037537
MCF7,2.0,A133,0,1,80.0,2.04,0.15072526037693024,0.14769403636455536
MCF7,2.0,A133,0,1,80.0,2.05,0.17101235687732697,0.1726008504629135
MCF7,2.0,A133,0,1,80.0,2.06,0.16506078839302063,0.1664140373468399
MCF7,2.0,A133,0,1,80.0,2.07,0.17764730751514435,0.1624491661787033
MCF7,2.0,A133,0,1,80.0,2.08,0.15961581468582153,0.1434614062309265
MCF7,2.0,A133,0,1,80.0,2.09,0.1553526669740677,0.16774171590805054
MCF7,2.0,A133,0,1,80.0,2.1,0.1648818701505661,0.15871146321296692
MCF7,2.0,A133,0,1,80.0,2.11,0.19661842286586761,0.17494478821754456
