Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,2.0,A133,14,1,80.0,1,0.10033275932073593,0.0012538243317976594,0.10131105035543442,0.0011669378727674484,0.10304463654756546,0.000375608098693192,0.18150106072425842,0.030625799670815468,0.11850974,0.12790293,0.09922512620687485,0.0016082910588011146,0.40838825702667236,0.0,0.12976213,0.14877379,0.86723727,0.83798987,0.8466319,15544,37062,52606,0.9451817,0.7564945,0.9598148,0.9918989,0.98859143,0.5710035,1.3624828,0.0,0.009837835,0.5713118,0.8406247,0.3306584,0.004480818,0.5708742,1.3624828,0.0,0.012084417
MCF7,2.0,A133,14,1,80.0,2,0.1410239189863205,0.001251372043043375,0.1410599797964096,0.0012466071639209986,0.13276708126068115,0.0007480338681489229,0.21735666692256927,0.060903917998075485,0.15435733,0.1681167,0.14126528799533844,0.0012640347704291344,0.475230872631073,0.0,0.16832317,0.1855127,0.77591234,0.8977125,0.89422405,1569,53214,54783,0.8862113,0.6860561,0.92389953,0.9857038,0.9706614,0.50024825,1.1693549,0.0,0.009764402,0.42315963,0.7517975,0.2663468,0.0056583444,0.5025211,1.1693549,0.0,0.009705085
MCF7,2.0,A133,14,1,80.0,3,0.13420872390270233,0.0006103558698669076,0.13420872390270233,0.0006103558698669076,0.1321306973695755,0.00021992591791786253,0.19041737914085388,0.0639815554022789,0.1438545,0.1509428,0.1352076381444931,0.0007949603023007512,0.26390811800956726,0.0325111486017704,0.15734704,0.17199619,0.7396815,0.7124951,0.72141594,10080,20639,30719,0.92504126,0.65141416,0.9674367,0.99304515,0.99074733,0.4699052,0.9131719,0.3202083,0.0024899212,0.47300783,0.79535687,0.35920587,0.0018722496,0.46838993,0.9131719,0.3202083,0.002784578
MCF7,2.0,A133,14,1,80.0,4,0.22111845016479492,0.007715574931353331,0.22736330330371857,0.006513629574328661,0.1844368427991867,0.0028744519222527742,0.3428879380226135,0.0,0.22728848,0.25178918,0.23720040917396545,0.008989478461444378,0.5818437337875366,0.0,0.31018925,0.3509114,0.88975835,1.0196172,0.9751389,4888,9383,14271,0.79396856,0.17971122,0.5718144,0.9722699,0.9567745,0.9870784,2.3695102,0.0,0.083067134,0.9370936,1.7402018,0.0,0.032248598,1.0131147,2.3695102,0.0,0.10755851
MCF7,2.0,A133,14,1,80.0,5,0.16186733543872833,0.0012949886731803417,0.16186733543872833,0.0012949886731803417,0.16631069779396057,0.0007756412960588932,0.2677924335002899,0.02993113361299038,0.18664052,0.19872265,0.16119560599327087,0.0013700657291337848,0.4479794502258301,0.015057144686579704,0.1903366,0.20924275,0.82602394,0.60768735,0.6365583,7737,50774,58511,0.9337097,0.8127886,0.9711066,0.98659146,0.9809816,0.7240173,2.4338474,0.387065,0.014423208,0.81366926,2.4338474,0.5354631,0.015712103,0.7103564,2.1790576,0.387065,0.012815457
MCF7,2.0,A133,14,1,80.0,6,0.13974009454250336,0.0030529596842825413,0.1405613273382187,0.002955467440187931,0.12296765297651291,0.000928285822737962,0.23966586589813232,0.014968452975153923,0.14724712,0.16197354,0.1452760398387909,0.0036307345144450665,0.46350064873695374,0.0,0.19115251,0.22321126,0.88281417,0.781306,0.8074566,6702,19313,26015,0.94610316,0.6423874,0.9475301,0.9890477,0.98382854,0.76511467,1.8386049,0.0,0.018836962,0.7734133,1.3488252,0.47719893,0.009360303,0.7622349,1.8386049,0.0,0.022093194
MCF7,2.0,A133,14,1,80.0,7,0.1555180847644806,0.0023887576535344124,0.1555350422859192,0.0023863795213401318,0.13232256472110748,0.0011106779566034675,0.26278308033943176,0.025497479364275932,0.15901628,0.17507856,0.16573286056518555,0.00261031580157578,0.4264872074127197,0.0,0.20513509,0.23272006,0.6384036,0.72162503,0.6944535,2993,6174,9167,0.76139086,0.27834502,0.7350149,0.9722158,0.9675681,0.5753356,1.1776625,0.24780537,0.011610337,0.53679156,1.1776625,0.29733697,0.008532803,0.59401774,1.1540902,0.24780537,0.012032898
MCF7,2.0,A133,14,1,80.0,8,0.15076135098934174,0.0060631027445197105,0.15579363703727722,0.0054814876057207584,0.11407025158405304,0.0023329749237746,0.2683456838130951,0.0,0.15304255,0.17486532,0.1629917174577713,0.00670815072953701,0.5343358516693115,0.0,0.22766837,0.26814303,0.91401225,1.1425102,1.0754447,2653,6386,9039,0.7202775,0.22778225,0.5679775,0.9725002,0.9565713,0.5964787,1.4112328,0.0,0.030307595,0.5322724,0.97155917,0.0,0.010074538,0.6231485,1.4112328,0.0,0.03628826
MCF7,2.0,A133,15,1,80.0,1,0.19253133237361908,0.016260260716080666,0.25112399458885193,0.006494690664112568,0.23343205451965332,0.0029060582164674997,0.3994048833847046,0.041253525763750076,0.2765242,0.30144015,0.17866699397563934,0.02002771943807602,0.596661388874054,0.0,0.30122906,0.35265523,1.0047904,0.8133144,0.86579186,4683,12404,17087,0.8925561,0.44595993,0.86868066,0.9833188,0.9633069,1.1078466,3.2425737,0.0,0.45089865,1.4160492,2.2560117,0.57659703,0.04706241,0.9914973,3.2425737,0.0,0.5539541
MCF7,2.0,A133,15,1,80.0,2,0.10483872145414352,0.0013265294255688787,0.10511858761310577,0.0013006519293412566,0.09975507855415344,0.0005763256340287626,0.2328176349401474,0.023541919887065887,0.118234694,0.13045457,0.10600712895393372,0.0014916479121893644,0.35329073667526245,0.0,0.13575989,0.1557038,0.3818545,0.36774567,0.37049195,5995,24804,30799,0.6952197,0.4211438,0.8725943,0.961385,0.9645704,0.3727794,1.0928501,0.15363042,0.005783719,0.37822762,1.0928501,0.22192712,0.0068656905,0.37146264,0.85881287,0.15363042,0.005513315
