Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
H1975,2.0,AFA,2,1,10.0,1,0.22745445370674133,0.005778217222541571,0.2275087833404541,0.005767233669757843,0.08030867576599121,0.0001303155586356297,0.12577174603939056,0.04809439554810524,0.08957386761903763,0.09534365683794022,0.8523766994476318,3.8196368,3.8054607,400.0,83327.0,83727.0,0.99981236,-0.2479936182498932,0.61422586,0.9953403472900391,0.8239275,3.1125717,10.748606,0.0,1.5125477,0.8345969915390015,1.094970941543579,0.7158229947090149,0.005845311097800732,3.1235068,10.748606,0.0,1.4947513
H1975,2.0,AFA,2,1,10.0,2,0.09228666871786118,0.0017166739562526345,0.09300041198730469,0.001663572620600462,0.06336567550897598,0.00028393694083206356,0.11288612335920334,0.022641446441411972,0.07693631947040558,0.08536276966333389,0.6101223826408386,1.3946776,1.3869827,400.0,40383.0,40783.0,0.52349424,-0.6568170785903931,0.19806273,0.9526830911636353,0.8538638,1.9124923,4.9486933,0.46339798,0.6963997,1.0480282306671143,1.9710948467254639,0.6499886512756348,0.07861290127038956,1.9210547,4.9486933,0.46339798,0.69504356
H1975,2.0,AFA,2,1,10.0,3,0.051935188472270966,0.0005299748736433685,0.053088534623384476,0.0004805148346349597,0.04796295240521431,0.0004911531577818096,0.11991824209690094,0.0,0.06540650129318237,0.07583475112915039,0.5857539772987366,0.71372265,0.70979714,3280.0,103647.0,106927.0,0.40861472,0.5667919516563416,0.5026964,0.9047843217849731,0.8903183,0.7428081,2.0766013,0.15728731,0.1075806,0.659665048122406,1.559627890586853,0.1751372516155243,0.08148147165775299,0.7454393,2.0766013,0.15728731,0.10818085
H1975,2.0,AFA,3,1,10.0,1,0.2180759608745575,0.0027630245313048363,0.21810021996498108,0.002758044982329011,0.16766531765460968,0.001072651008144021,0.29458653926849365,0.08718312531709671,0.19362002611160278,0.2109633833169937,0.6913673877716064,1.3453097,1.3307731,1200.0,52783.0,53983.0,0.46551374,-0.48991480469703674,0.3461446,0.9681337475776672,0.92133355,1.7997757,3.500037,0.57577264,0.23853365,1.0885567665100098,1.9745073318481445,0.6828515529632568,0.052721183747053146,1.8159448,3.500037,0.57577264,0.23099679
H1975,2.0,AFA,3,1,10.0,2,0.1506912261247635,0.0023156090173870325,0.1508703976869583,0.0022913306020200253,0.13283488154411316,0.0007942491210997105,0.22520548105239868,0.028055604547262192,0.1552194356918335,0.1686660647392273,0.9384751915931702,1.4977441,1.4823741,1805.0,63874.0,65679.0,0.81595707,0.5827765464782715,0.51847893,0.9762287735939026,0.9359675,1.0920402,2.7671952,0.0,0.12038174,0.7839100360870361,1.437126636505127,0.4222937524318695,0.024399442598223686,1.1007473,2.7671952,0.0,0.120335266
H1975,2.0,AFA,4,1,10.0,1,0.16295279562473297,0.003375882748514414,0.16325503587722778,0.0033328011631965637,0.11068903654813766,0.0006058000726625323,0.19614030420780182,0.04817577078938484,0.1301502287387848,0.14263808727264404,0.7534582614898682,1.6935892,1.681585,600.0,46391.0,46991.0,0.7819609,0.5033643245697021,0.2958213,0.9878007173538208,0.88671345,2.113078,5.8571124,0.0,0.6201626,1.081290602684021,1.5088320970535278,0.7430415153503418,0.018082017078995705,2.1264226,5.8571124,0.0,0.6140028
H1975,2.0,AFA,4,1,10.0,2,0.16747643053531647,0.0013641256373375654,0.16747643053531647,0.0013641256373375654,0.12694689631462097,0.0004099535581190139,0.19449841976165771,0.06754396855831146,0.1432018131017685,0.15281589329242706,0.7627697587013245,1.5314744,1.5007325,787.0,18892.0,19679.0,0.79120374,0.2861379384994507,0.36559832,0.992805004119873,0.9113048,3.0084295,5.6816206,1.5267617,0.3656205,2.098766565322876,2.496082067489624,1.7180392742156982,0.021702539175748825,3.046322,5.6816206,1.5267617,0.34404123
H1975,2.0,AFA,5,1,10.0,1,0.08319392800331116,0.0013735274551436305,0.08372141420841217,0.001338074915111065,0.04170368239283562,0.0003930529928766191,0.10459211468696594,0.0,0.05757471174001694,0.06821934133768082,0.49923795461654663,1.7355261,1.717673,573.0,39106.0,39679.0,0.37856513,0.066048763692379,-0.13169612,0.9481898546218872,0.8438693,0.7000441,1.9397666,0.11039702,0.08207178,0.29941755533218384,0.4849335253238678,0.1348722279071808,0.0053423927165567875,0.70591414,1.9397666,0.11039702,0.080809884
H1975,2.0,AFA,5,1,10.0,2,0.17970845103263855,0.0054452549666166306,0.18066351115703583,0.0053016506135463715,0.09724495559930801,0.0009245722903870046,0.19138093292713165,0.018652036786079407,0.1219630241394043,0.13807478547096252,0.9016494750976562,2.1404345,2.1234512,542.0,38993.0,39535.0,0.87145,-0.22330552339553833,0.34161627,0.9706785082817078,0.89145374,3.6253388,11.38119,0.0,1.9474789,1.8025487661361694,2.499688148498535,1.1473426818847656,0.13307595252990723,3.650674,11.38119,0.0,1.9258742
H1975,2.0,AFA,5,1,10.0,3,0.0708760991692543,0.0012155509321019053,0.07263714075088501,0.0011178366839885712,0.05557632073760033,0.0006606535171158612,0.14594011008739471,0.0,0.07647483795881271,0.08960415422916412,0.9669038653373718,1.3398964,1.3333647,1636.0,91787.0,93423.0,0.85075486,-0.5579236745834351,0.521869,0.953881561756134,0.94156706,1.3753794,3.3676553,0.0,0.1991621,1.0510120391845703,1.65630042552948,0.41185298562049866,0.07247190922498703,1.3811609,3.3676553,0.0,0.19951148
