ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
5,A549,0,2,15,control,0.26503617800870616,0.017478174421168752
1,A549,0,2,16,control,0.08862724223029128,-0.15893076135724613
2,A549,0,2,16,control,0.08828854033614028,-0.15926946325139713
1,A549,0,2,17,control,0.2381403754028991,-0.009417628184638316
2,A549,0,2,17,control,0.22106137968636935,-0.026496623901168054
3,A549,0,2,17,control,0.06869519693716417,-0.17886280665037324
4,A549,0,2,17,control,0.060857725181553524,-0.18670027840598388
1,A549,0,2,18,control,0.4440270694021248,0.19646906581458737
1,A549,0,2,19,control,0.3194509843315389,0.0718929807440015
2,A549,0,2,19,control,0.23353712240693075,-0.014020881180606654
3,A549,0,2,19,control,0.2522658133196808,0.004707809732143381
4,A549,0,2,19,control,0.31980596819006113,0.07224796460252372
1,A549,0,2,2,control,0.20193221184934879,-0.04562579173818862
2,A549,0,2,2,control,0.1332588520462252,-0.1142991515413122
3,A549,0,2,2,control,0.21275719717732589,-0.03480080641021152
4,A549,0,2,2,control,0.3711779864065586,0.12361998281902117
5,A549,0,2,2,control,0.11920607906877152,-0.12835192451876587
1,A549,0,2,3,control,0.10847351077664728,-0.13908449281089014
2,A549,0,2,3,control,0.2311748174029181,-0.016383186184619314
3,A549,0,2,3,control,0.1325571822122163,-0.11500082137532111
4,A549,0,2,3,control,0.20017781911519233,-0.04738018447234507
1,A549,0,2,4,control,0.13020343709305815,-0.11735456649447926
2,A549,0,2,4,control,0.439014823307189,0.1914568197196516
3,A549,0,2,4,control,0.07076099989654956,-0.17679700369098783
1,A549,0,2,5,control,0.20430840941907044,-0.043249594168466965
2,A549,0,2,5,control,0.06513878292560141,-0.182419220661936
1,A549,0,2,6,control,0.20372558958450818,-0.04383241400302923
1,A549,0,2,7,control,0.2860300178873102,0.03847201429977279
2,A549,0,2,7,control,0.3633190665266914,0.11576106293915397
1,A549,0,2,8,control,0.22269330873162968,-0.024864694855907726
2,A549,0,2,8,control,0.08812760195281244,-0.15943040163472497
1,A549,0,2,9,control,0.7658678497326392,0.5183098461451018
2,A549,0,2,9,control,0.18647039021633202,-0.061087613371205385
3,A549,0,2,9,control,0.14458049253574062,-0.10297751105179678
