current_Metadata_concentration,ObjectNumber,Metadata_treatment,Metadata_site,Metadata_hour,Metadata_dish,Metadata_cell,Ed_cell_variance,Ed_cell_mean_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Ed_agg_min_value,Ed_agg_mean_value,Ed_agg_max_value,E_value
20.0,1,control,9,6.0,1.0,H1975,0.0037960382178425,0.0537508465349674,0.1894328594207763,0.2033156305551529,0.1186376810073852,0.1694222837686538,0.2252335101366043,0.2696087302646924
20.0,1,gefitinib,0,6.0,2.0,H1975,0.0058624688535928,0.1086750105023384,0.1857976168394088,0.1980459690093994,0.1038996055722236,0.1667351871728897,0.2281444519758224,0.2236690078892447
20.0,1,gefitinib,1,6.0,2.0,H1975,0.0089407796040177,0.1190988793969154,0.1873255968093872,0.2257309257984161,0.0027471000794321,0.133726492524147,0.3341360092163086,0.4650202251962822
20.0,1,gefitinib,10,6.0,2.0,H1975,3.643303614353499e-08,1.4095057849772274e-06,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,2,gefitinib,10,6.0,2.0,H1975,0.0020275143906474,0.0827244818210601,0.1291065216064453,0.1403346061706543,0.0413243882358074,0.1075865551829338,0.1599046140909195,-0.27944565397308135
20.0,3,gefitinib,10,6.0,2.0,H1975,0.0017974340589717,0.0776317864656448,0.1263944804668426,0.1389966160058975,0.0283973738551139,0.1060999408364296,0.1850095242261886,-0.29110995084989677
20.0,1,gefitinib,11,6.0,2.0,H1975,0.0132427066564559,0.1554972976446151,0.2860990464687347,0.3195831775665283,0.033013492822647,0.2362302839756012,0.3933335840702057,1.2832030160838872
20.0,1,gefitinib,12,6.0,2.0,H1975,0.0064058965072035,0.0750420540571212,0.1659527868032455,0.2166607528924942,0.0058225928805768,0.1105252876877784,0.3742153942584991,0.38594850084025834
20.0,2,gefitinib,12,6.0,2.0,H1975,0.0129240080714225,0.1108233928680419,0.3219722509384155,0.3405860066413879,0.2351763099431991,0.2963696718215942,0.3641549348831177,1.466300949114435
20.0,1,gefitinib,2,6.0,2.0,H1975,0.0036887540481984,0.1038117706775665,0.1513870656490326,0.161414623260498,0.0449958965182304,0.133824348449707,0.1919693648815155,-0.09567481321434351
20.0,1,gefitinib,3,6.0,2.0,H1975,0.003217430319637,0.2213514596223831,0.2673696875572204,0.2870349586009979,0.0958048403263092,0.2262880653142929,0.341853529214859,0.9994549745618122
20.0,2,gefitinib,3,6.0,2.0,H1975,0.0069528161548078,0.2383179664611816,0.3039163649082184,0.3184707164764404,0.1205115616321563,0.2645700573921203,0.3548091351985931,1.2735048308800743
20.0,1,gefitinib,4,6.0,2.0,H1975,0.0032678630668669,0.0975607857108116,0.1122776716947555,0.13187275826931,0.0026710196398198,0.0821331515908241,0.2511051893234253,-0.35321413796315454
20.0,1,gefitinib,6,6.0,2.0,H1975,0.0052087199874222,0.1557886153459549,0.0788295269012451,0.0928720459342002,0.0080809565261006,0.0574105307459831,0.119635172188282,-0.6932135632703542
20.0,1,gefitinib,7,6.0,2.0,H1975,0.0122327022254467,0.0656155422329902,0.2526419460773468,0.2783588171005249,0.0620842911303043,0.1989094465970993,0.3118769824504852,0.9238183272437276
20.0,2,gefitinib,7,6.0,2.0,H1975,0.0035583560820668,0.0293939691036939,0.1021046191453933,0.1331747323274612,0.0005999496788717,0.0625432282686233,0.2229300886392593,-0.34186382139117283
20.0,1,gefitinib,8,6.0,2.0,H1975,0.0023560328409075,0.0466434247791767,0.0536233000457286,0.0686366558074951,0.0011012506438419,0.0337994061410427,0.1163629591464996,-0.9044922354231592
20.0,2,gefitinib,8,6.0,2.0,H1975,0.0048989304341375,0.0277408994734287,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,3,gefitinib,8,6.0,2.0,H1975,0.0020720886532217,0.0136932590976357,0.1700077503919601,0.2104355096817016,0.0017898321384564,0.1128462851047515,0.259084939956665,0.33167823275180575
20.0,1,gefitinib,9,6.0,2.0,H1975,0.0161194745451211,0.317501425743103,0.3763526678085327,0.3959820866584778,0.2343312948942184,0.3394815325736999,0.4817104339599609,1.9492314968502678
20.0,2,gefitinib,9,6.0,2.0,H1975,0.0072314105927944,0.3540160655975342,0.3936111629009247,0.4361981153488159,0.1536561548709869,0.3395634889602661,0.4947984516620636,2.299825776394837
20.0,1,osimertinib,0,6.0,3.0,H1975,0.007203709334135,0.044746808707714,0.2098848223686218,0.2359226495027542,0.0733710601925849,0.173646792769432,0.3131722807884216,0.5538693767858865
20.0,2,osimertinib,0,6.0,3.0,H1975,0.0012691540177911,0.0810065791010856,0.061029527336359,0.0682176426053047,0.0161124933511018,0.049027319997549,0.0841353982686996,-0.9081450981379925
20.0,1,osimertinib,1,6.0,3.0,H1975,0.0011971625499427,0.0194127634167671,0.0342131555080413,0.0429724752902984,0.0003188403788954,0.0238300394266843,0.0581779368221759,-1.1282267803681711
20.0,2,osimertinib,1,6.0,3.0,H1975,3.938718691642862e-06,3.737089718924835e-05,0.015092902816832,0.015092902816832,0.015092902816832,0.015092902816832,0.015092902816832,-1.371274613375458
