Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,outer_intensity_mean,inner_intensity_mean,intensity_ratio
A549,4.0,afa,7,1,25.84,2,879.1793592436975,979.784816576087,0.897318823857711
A549,4.0,afa,7,1,25.84,3,4994.595027647453,10373.42763859275,0.4814797193037552
A549,4.0,afa,7,1,25.84,4,935.686507936508,1090.717853200883,0.8578630167192999
A549,4.0,afa,7,1,25.84,5,911.9091614906832,1070.734345574388,0.85166705005759
A549,4.0,afa,7,1,25.84,6,896.9795556006494,943.8602104664392,0.9503309342358842
A549,4.0,afa,7,1,25.84,7,845.4379370629371,991.6768292682926,0.8525337207754892
A549,4.0,afa,7,1,25.84,8,942.7342134416543,1285.2491197183099,0.7335030998879617
A549,4.0,afa,7,1,25.84,9,1103.7608024691358,1365.3331784386617,0.8084186482096266
A549,4.0,afa,8,1,25.84,1,1492.9837317397078,1640.1917428198433,0.9102495109339758
A549,4.0,afa,8,1,25.84,2,20667.555296444618,37572.411704009435,0.5500726293340158
A549,4.0,afa,8,1,25.84,3,11437.185846886809,33718.43519295302,0.3391968156718353
A549,4.0,afa,9,1,25.84,1,5736.381132855568,11307.5026119403,0.5073075222461735
A549,4.0,afa,9,1,25.84,2,881.8800595238096,742.8464781746031,1.187163277250575
A549,4.0,afa,9,1,25.84,3,1486.746121718377,791.2828341013825,1.8789060720706712
A549,4.0,afa,9,1,25.84,4,5704.975834265473,22708.13394736842,0.25123049949802706
A549,4.0,alm,0,2,5.66,1,349.89201819977427,496.29640026420077,0.7050061576378774
A549,4.0,alm,0,2,5.66,2,389.6723163841808,425.43985969387757,0.9159280859686418
A549,4.0,alm,0,2,5.66,3,781.7493186773256,1671.794373549884,0.4676109281414562
A549,4.0,alm,1,2,5.66,1,367.75950727513225,396.4898328690808,0.927538304359408
A549,4.0,alm,1,2,5.66,2,538.5165749475891,778.5313067150635,0.691708310639179
A549,4.0,alm,1,2,5.66,3,2346.105127206646,3725.5817528735633,0.629728531764759
A549,4.0,alm,1,2,5.66,4,341.8622217642209,402.48738789237666,0.8493737494592833
A549,4.0,alm,1,2,5.66,5,2126.048218847573,5357.140374818049,0.3968625180779928
A549,4.0,alm,11,2,5.66,1,381.52735581874356,212.87814405487805,1.7922335687048703
A549,4.0,alm,11,2,5.66,2,421.5671578590786,324.24055697823303,1.3001678808717914
A549,4.0,alm,11,2,5.66,3,662.5752102803739,699.4196604330708,0.9473213976714876
A549,4.0,alm,11,2,5.66,4,272.8196044546851,357.49246987951807,0.7631478351044166
A549,4.0,alm,11,2,5.66,5,561.4719361917623,559.232177734375,1.0040050600565606
A549,4.0,alm,11,2,5.66,6,190.90823817292008,188.8257137345679,1.0110288180415914
A549,4.0,alm,12,2,5.66,1,513.9497907949791,619.947564612326,0.8290213884723769
A549,4.0,alm,12,2,5.66,2,903.2175176946411,843.9004765395895,1.0702891428599268
A549,4.0,alm,12,2,5.66,3,572.6194396920445,510.23474080267556,1.1222666625781468
A549,4.0,alm,12,2,5.66,4,797.3282402528978,606.0527324431256,1.315608688106562
A549,4.0,alm,12,2,5.66,5,616.8643719806763,764.2110169491525,0.807191153097077
A549,4.0,alm,13,2,5.66,1,325.8069144479613,591.8853481359649,0.5504561237645614
A549,4.0,alm,13,2,5.66,2,213.76297123015874,221.47063696612665,0.965197798491243
A549,4.0,alm,13,2,5.66,3,318.54659971811134,192.04780190677965,1.6586839138764755
A549,4.0,alm,13,2,5.66,4,203.25045720555963,183.92416420845623,1.1050775088758829
A549,4.0,alm,13,2,5.66,5,285.0884182464455,265.23252401280683,1.074862214984916
A549,4.0,alm,13,2,5.66,6,248.7490820647513,350.7785878112713,0.7091341681282589
A549,4.0,alm,14,2,5.66,1,208.76234407484407,199.8347475165563,1.0446748959789796
A549,4.0,alm,14,2,5.66,2,191.26240234375,195.31696428571428,0.9792411173458894
A549,4.0,alm,14,2,5.66,3,458.3347623146187,362.5098563569682,1.2643373808387997
A549,4.0,alm,14,2,5.66,4,1463.829655152361,1128.0154861111112,1.297703509549311
A549,4.0,alm,15,2,5.66,1,793.3141287878788,774.5512658227848,1.0242241718437612
A549,4.0,alm,15,2,5.66,2,458.76321207961564,434.85256211180126,1.0549856481279438
A549,4.0,alm,15,2,5.66,3,221.46621428571427,204.60593820861678,1.0824036497900014
A549,4.0,alm,15,2,5.66,4,248.03078602620087,250.35434941520467,0.9907189014513575
A549,4.0,alm,15,2,5.66,5,296.2699749443207,274.15013693270737,1.0806851247973035
A549,4.0,alm,15,2,5.66,6,279.2686670353982,271.494094488189,1.0286362492041146
A549,4.0,alm,15,2,5.66,7,9472.677291742451,13600.227773826458,0.6965087239180325
A549,4.0,alm,15,2,5.66,8,320.3168284365163,335.9034350057012,0.9535979542188355
A549,4.0,alm,15,2,5.66,9,5390.542539267016,2304.787257495591,2.3388460352407723
A549,4.0,alm,16,2,5.66,1,296.74348357317405,258.4193383356071,1.148302156813805
A549,4.0,alm,16,2,5.66,2,1602.8967270504556,2948.593794835007,0.5436139524739616
A549,4.0,alm,16,2,5.66,3,279.3631134969325,255.12506300403226,1.09500458405577
A549,4.0,alm,16,2,5.66,4,3407.0609061313075,8719.349525043179,0.39074714189926174
A549,4.0,alm,16,2,5.66,5,2038.124458177132,2234.751009693053,0.9120141122375293
A549,4.0,alm,17,2,5.66,1,496.00390483929215,414.8143037518038,1.19572517233173
A549,4.0,alm,17,2,5.66,2,7475.076452532017,31402.376275510203,0.23804174521536484
A549,4.0,alm,17,2,5.66,3,659.0233518574909,589.4853988603988,1.1179638259599367
A549,4.0,alm,17,2,5.66,4,1642.0282644780523,2167.412045060659,0.7575985693260726
A549,4.0,alm,17,2,5.66,5,15647.544414407554,43987.869093642614,0.3557240834080101
A549,4.0,alm,17,2,5.66,6,684.9671953857246,542.6897013782542,1.262170985825108
A549,4.0,alm,17,2,5.66,7,891.4313577586207,996.2552012278309,0.8947821368058902
A549,4.0,alm,17,2,5.66,8,648.3106512829651,806.056598062954,0.8042991681240865
A549,4.0,alm,18,2,5.66,1,1326.5956563995214,1885.3367105263158,0.7036385856132751
A549,4.0,alm,18,2,5.66,2,1463.7338276836158,2069.889033564815,0.7071556996283693
A549,4.0,alm,18,2,5.66,3,29534.991580018082,43401.83283645656,0.6805010214962479
A549,4.0,alm,19,2,5.66,1,375.72586248203163,370.3296310240964,1.0145714277386142
A549,4.0,alm,19,2,5.66,2,909.0724292889241,1696.4068528938906,0.5358811347278766
A549,4.0,alm,19,2,5.66,3,1151.2630907626208,1674.7347036328872,0.6874301274495982
A549,4.0,alm,19,2,5.66,4,622.5822627737226,757.2413160469667,0.8221715450284648
A549,4.0,alm,19,2,5.66,5,1340.5119108606557,1785.1188050660794,0.7509370844429787
A549,4.0,alm,19,2,5.66,6,326.02452344804317,323.17075573065904,1.0088305258652877
A549,4.0,alm,2,2,5.66,1,1622.8745731360273,3613.6648333333333,0.44909382800702297
A549,4.0,alm,2,2,5.66,2,3022.567914012739,1381.942594043887,2.1871877508080844
A549,4.0,alm,2,2,5.66,3,539.2444852941177,740.8380009107468,0.7278844830194985
A549,4.0,alm,2,2,5.66,4,1909.5861064891847,4516.976710526315,0.42275757190403596
A549,4.0,alm,2,2,5.66,5,400.20862268518516,272.9813391877058,1.4660658632420147
A549,4.0,alm,20,2,5.66,1,2562.981842451726,2965.7965845724907,0.8641799157042226
A549,4.0,alm,20,2,5.66,2,981.578765227021,1568.6047077922078,0.6257655356706032
A549,4.0,alm,20,2,5.66,3,468.6427276951673,513.8375668449198,0.9120445018699992
A549,4.0,alm,20,2,5.66,4,306.4344081272085,296.56374533001247,1.0332834439564151
A549,4.0,alm,20,2,5.66,5,1652.195493384785,3098.496717171717,0.5332248648928362
A549,4.0,alm,21,2,5.66,1,1035.5090128402107,2316.026078500707,0.4471059382502953
A549,4.0,alm,21,2,5.66,2,2204.4270536562203,3919.4376923076925,0.5624345191103917
A549,4.0,alm,21,2,5.66,3,398.1868394980185,456.3873626373626,0.8724756031739879
