Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,outer_intensity_mean,inner_intensity_mean,intensity_ratio
A549,8.0,afa,14,1,25.84,3,766.2620431335663,1358.294642857143,0.5641353642695306
A549,8.0,afa,14,1,25.84,4,3383.2409975604583,12544.803143274854,0.26969263358860923
A549,8.0,afa,14,1,25.84,5,393.67282818532817,462.11819620253164,0.851887745213984
A549,8.0,afa,14,1,25.84,6,652.83007285483,1150.9514982502187,0.5672090212726789
A549,8.0,afa,15,1,25.84,1,6906.357401384809,20741.209497929605,0.3329775634383426
A549,8.0,afa,15,1,25.84,2,3439.073805147059,6800.4834200260075,0.505710196281003
A549,8.0,afa,15,1,25.84,3,1077.7678125,1315.8583957765668,0.819060634456753
A549,8.0,afa,16,1,25.84,1,363.4814377422481,417.8254021447721,0.8699361883610551
A549,8.0,afa,16,1,25.84,2,842.2307692307693,1327.403474903475,0.6344949257361361
A549,8.0,afa,16,1,25.84,3,788.7516113784806,1522.0267626131954,0.5182245350431675
A549,8.0,afa,17,1,25.84,1,370.4393470884413,526.219599343955,0.7039634166995546
A549,8.0,afa,17,1,25.84,2,405.24947056332064,1238.4337410233393,0.3272274140629082
A549,8.0,afa,17,1,25.84,3,434.87092607313195,783.8180335507922,0.5548110753501206
A549,8.0,afa,17,1,25.84,4,232.59375,259.40614548494983,0.8966393204184693
A549,8.0,afa,18,1,25.84,1,428.2034168081494,485.48491704374055,0.8820117819840936
A549,8.0,afa,18,1,25.84,2,471.8946107530529,953.1821135430916,0.4950728764715951
A549,8.0,afa,18,1,25.84,3,567.5857256291229,1300.5459617428269,0.4364211203028276
A549,8.0,afa,19,1,25.84,1,1737.8564740960194,3901.6680707666387,0.445413716024938
A549,8.0,afa,19,1,25.84,2,1214.5934806963116,1455.592715992647,0.8344322332418481
A549,8.0,afa,19,1,25.84,3,617.1557904411765,,
A549,8.0,afa,19,1,25.84,4,699.2822802197802,1109.6869375,0.6301617659798578
A549,8.0,afa,2,1,25.84,1,283.75395430579965,231.57022471910113,1.2253473202351395
A549,8.0,afa,2,1,25.84,2,277.98145133653185,393.33166524701875,0.7067355005907163
A549,8.0,afa,2,1,25.84,3,296.31676912568304,382.9912320143885,0.7736907384724431
A549,8.0,afa,2,1,25.84,4,272.59906914893617,306.5657286044719,0.8892026854725201
A549,8.0,afa,20,1,25.84,1,318.93845602294454,334.42794585987264,0.9536836259389091
A549,8.0,afa,20,1,25.84,2,324.5627670940171,331.74573117338,0.9783479833969321
A549,8.0,afa,20,1,25.84,3,328.46761853448277,354.8371951219512,0.9256854215116719
A549,8.0,afa,20,1,25.84,4,340.3628537735849,428.4815277777778,0.7943466210522531
A549,8.0,afa,20,1,25.84,5,362.3120172050562,478.47780662710187,0.7572180197010085
A549,8.0,afa,21,1,25.84,1,3857.1680793117494,21107.85641399417,0.18273613405644112
A549,8.0,afa,22,1,25.84,1,473.5590465872156,770.1637051915945,0.6148810225605318
A549,8.0,afa,22,1,25.84,2,1802.6020454049929,5177.543885971493,0.34815775300121093
A549,8.0,afa,23,1,25.84,1,854.3459302325581,1204.4360280797102,0.7093327584983343
A549,8.0,afa,23,1,25.84,2,540.3622033577379,495.9047619047619,1.0896491521521505
A549,8.0,afa,23,1,25.84,3,369.04395604395603,395.8459637561779,0.9322918251890256
A549,8.0,afa,23,1,25.84,4,402.42621527777777,418.8793449197861,0.960721076745479
A549,8.0,afa,24,1,25.84,1,422.44378591954023,459.8359515260323,0.9186836838607317
A549,8.0,afa,24,1,25.84,2,2164.7963577166506,5025.794261565837,0.430737162138067
A549,8.0,afa,24,1,25.84,3,1793.6834448729583,4442.692248459959,0.4037379463983199
A549,8.0,afa,25,1,25.84,1,941.4012365453614,1974.197170487106,0.4768526926381338
A549,8.0,afa,25,1,25.84,2,741.4989744436061,1502.251955782313,0.49359161862928846
A549,8.0,afa,26,1,25.84,1,501.7793085831063,717.8230959552495,0.6990292056782583
A549,8.0,afa,26,1,25.84,2,542.0609375,853.6335227272727,0.6350042765051801
A549,8.0,afa,26,1,25.84,3,540.5834603658536,590.0856393129772,0.91611017850772
A549,8.0,afa,26,1,25.84,4,647.5844799857041,798.2704221491229,0.8112344664384051
A549,8.0,afa,3,1,25.84,1,365.36614173228344,452.43777032871975,0.8075500448753997
A549,8.0,afa,3,1,25.84,2,242.79356971153845,299.31441771269175,0.8111656350099147
A549,8.0,afa,3,1,25.84,3,569.4709821428571,1138.1685735150925,0.5003397522953182
A549,8.0,afa,4,1,25.84,1,1341.513130149078,4255.534824046921,0.31523960809074714
A549,8.0,afa,4,1,25.84,2,756.5996628739991,954.1651666666667,0.7929441246709374
A549,8.0,afa,4,1,25.84,3,541.0744744149147,732.166061452514,0.739005128620001
A549,8.0,afa,4,1,25.84,4,14534.111184210526,34979.55705325704,0.4155030082880142
A549,8.0,afa,5,1,25.84,1,348.9807692307692,481.2535242290749,0.7251495348315738
A549,8.0,afa,5,1,25.84,2,215.083,240.9672619047619,0.8925818316556537
A549,8.0,afa,5,1,25.84,3,211.13109611742425,255.44819721980886,0.82651237478004
A549,8.0,afa,5,1,25.84,4,198.82968921892189,197.25053680981594,1.0080058205906355
A549,8.0,afa,7,1,25.84,1,370.1848918083462,,
A549,8.0,afa,7,1,25.84,2,209.55402369281046,209.83650249376558,0.9986538147672209
A549,8.0,afa,7,1,25.84,3,252.73772935779817,321.57480601357906,0.7859375940885303
A549,8.0,afa,7,1,25.84,4,480.20284431137725,884.0084330143541,0.5432107052123336
A549,8.0,afa,7,1,25.84,5,199.0700571895425,203.24919093851133,0.9794383744915711
A549,8.0,afa,7,1,25.84,6,198.22478070175438,213.3938203564728,0.9289152814763866
A549,8.0,afa,8,1,25.84,1,12085.243694196428,28382.635148948597,0.4257970984996477
A549,8.0,afa,8,1,25.84,2,5506.884851627314,13502.710051546392,0.40783552565409936
A549,8.0,afa,8,1,25.84,3,8481.447350543478,17045.485081041257,0.4975773531946544
A549,8.0,afa,9,1,25.84,1,3125.862940336401,9422.300008765778,0.33175158267390553
A549,8.0,afa,9,1,25.84,2,10877.440657628831,32479.22023233301,0.3349046122357444
A549,8.0,afa,9,1,25.84,3,391.25870105655684,439.0348467862481,0.8911791488092243
A549,8.0,alm,0,2,5.66,1,683.2766953053084,930.0037414965986,0.7347031681891437
A549,8.0,alm,0,2,5.66,2,3722.1628816083394,6488.282401719902,0.5736746108063476
A549,8.0,alm,0,2,5.66,3,604.9307983682984,653.6693892045455,0.9254384683738098
A549,8.0,alm,0,2,5.66,4,848.0048119469027,955.9806578947369,0.8870522692523729
A549,8.0,alm,0,2,5.66,5,553.6197299077734,579.7827651515152,0.9548744170811898
A549,8.0,alm,1,2,5.66,1,15657.137246192893,30615.07212677725,0.5114192506670102
A549,8.0,alm,1,2,5.66,2,674.0717670011148,788.8162403474903,0.854535863389643
A549,8.0,alm,1,2,5.66,3,5708.084285043805,9083.938233568075,0.628371102739404
A549,8.0,alm,1,2,5.66,4,2212.5482331821618,3974.5236764705883,0.5566826148956103
A549,8.0,alm,1,2,5.66,5,2357.0893072808835,2633.0039149888144,0.8952091920041437
A549,8.0,alm,1,2,5.66,6,1995.8590936539306,5425.100206611571,0.3678934983028658
A549,8.0,alm,1,2,5.66,7,2592.6913150212313,3799.6242340686276,0.6823546633307431
A549,8.0,alm,1,2,5.66,8,721.55,834.7338184931507,0.8644072924977827
A549,8.0,alm,1,2,5.66,9,701.4564183835182,791.0705040871935,0.886717953405329
A549,8.0,alm,1,2,5.66,10,1910.3377650478797,2923.7189255617977,0.6533930975190458
A549,8.0,alm,10,2,5.66,1,569.4600077708703,585.9381996268656,0.9718772528118343
A549,8.0,alm,10,2,5.66,2,1107.195647853736,1496.9017166344295,0.7396582123929338
A549,8.0,alm,10,2,5.66,3,966.0948364008179,983.3486896838602,0.9824539825353412
A549,8.0,alm,10,2,5.66,4,642.011756074256,672.3999693627451,0.9548063434367956
A549,8.0,alm,10,2,5.66,5,1920.1561904308044,1796.0973660170523,1.0690713247293824
A549,8.0,alm,10,2,5.66,6,1367.1666666666667,1424.1708192567567,0.9599737954047962
A549,8.0,alm,10,2,5.66,7,544.9588607594936,558.3868312757202,0.9759522077453935
A549,8.0,alm,11,2,5.66,1,518.1829964850615,579.4102337110481,0.8943283468884662
A549,8.0,alm,11,2,5.66,2,563.5772471910112,462.7609272875817,1.2178583237231209
A549,8.0,alm,11,2,5.66,3,1596.1157454361055,1972.924715909091,0.8090099599672975
A549,8.0,alm,11,2,5.66,4,897.6606378424658,1065.9484624145787,0.8421238638583816
A549,8.0,alm,11,2,5.66,5,1221.7163565264293,1564.0612125468165,0.7811179938009364
A549,8.0,alm,13,2,5.66,1,1395.5393082865169,2485.395516304348,0.5614958662038669
A549,8.0,alm,13,2,5.66,2,946.1338736724427,986.0855352303523,0.959484588171576
A549,8.0,alm,13,2,5.66,3,581.9636812411848,683.3571626106195,0.851624469725198
A549,8.0,alm,14,2,5.66,1,475.25293188994135,574.7395176544767,0.8269014349830301
A549,8.0,alm,15,2,5.66,1,3589.1582337565346,6271.4858630952385,0.5722979070840377
A549,8.0,alm,15,2,5.66,2,5504.070208835947,10153.172089041096,0.5421035082008319
A549,8.0,alm,2,2,5.66,1,2097.409117647059,3138.3236940298507,0.6683214741796831
A549,8.0,alm,2,2,5.66,2,1063.5727891827871,2101.5284514925374,0.5060948798610942
A549,8.0,alm,2,2,5.66,3,1467.3490224959828,2563.4049220963175,0.5724218635329782
A549,8.0,alm,2,2,5.66,4,1594.1313103599648,2596.9427083333335,0.6138492409726847
A549,8.0,alm,2,2,5.66,5,1921.4436416184972,4235.854094827586,0.453614217724066
A549,8.0,alm,2,2,5.66,6,545.3369751499572,481.43648580121703,1.1327288048025599
A549,8.0,alm,3,2,5.66,1,698.0983922719826,1036.3828804347827,0.673591204033703
A549,8.0,alm,3,2,5.66,2,2391.205979958355,6971.968219053398,0.342974308664163
A549,8.0,alm,3,2,5.66,3,16101.662607589984,28092.966760299627,0.5731563613403945
A549,8.0,alm,4,2,5.66,1,1009.2005237825595,1536.6794001751314,0.6567411027098714
A549,8.0,alm,4,2,5.66,2,1269.729465309633,2608.3310706967213,0.4867976613760425
A549,8.0,alm,4,2,5.66,3,615.8159528907923,689.6336436170212,0.8929610070369152
A549,8.0,alm,4,2,5.66,4,652.4758260113491,682.263118315508,0.9563404623458132
A549,8.0,alm,4,2,5.66,5,553.1189440993788,580.7842935528121,0.9523655343979829
A549,8.0,alm,5,2,5.66,1,922.9083698030635,1323.2047587131367,0.6974796332357696
A549,8.0,alm,5,2,5.66,2,2669.2591019417478,4465.363782051282,0.597769685119709
A549,8.0,alm,5,2,5.66,3,482.088669802219,536.4593457943926,0.8986490282657652
A549,8.0,alm,5,2,5.66,4,900.7522477522477,2505.32281037415,0.35953540359045694
A549,8.0,alm,6,2,5.66,1,6296.8687184343435,1946.409188034188,3.2351207326523066
A549,8.0,alm,6,2,5.66,2,1598.6561473165389,3949.427757352941,0.404781716627226
A549,8.0,alm,6,2,5.66,3,1262.3258837917667,1527.043220338983,0.8266471223463783
A549,8.0,alm,6,2,5.66,4,2274.2553023465703,3218.2456510934394,0.7066754837604965
A549,8.0,alm,6,2,5.66,5,577.2762947570333,617.0549422554348,0.9355346748329992
A549,8.0,alm,6,2,5.66,6,588.6278935185185,570.4024339933993,1.0319519315468595
A549,8.0,alm,7,2,5.66,1,718.9437866722549,1081.0060323383084,0.6650691718316484
A549,8.0,alm,7,2,5.66,2,573.0021113146113,602.4275092936803,0.9511552883539981
A549,8.0,alm,7,2,5.66,3,890.4576867816091,1491.6952543424318,0.5969434334455533
A549,8.0,alm,8,2,5.66,1,733.834687346135,774.1026329243354,0.9479811282567535
A549,8.0,alm,8,2,5.66,2,590.0874748995984,488.2557881197381,1.2085621701936433
A549,8.0,alm,8,2,5.66,3,647.0116379310344,556.0013719512195,1.1636871248364467
A549,8.0,alm,8,2,5.66,4,972.3742651861528,980.1825189753321,0.9920338777339736
