ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
3,2,9,4,OSI,0.6739724724574083,False,0.3584134232097474,0.0679739490151405,0.4994815289974212,0.4473325610160827,0.527172,OSI,0.0279303395803279,0.1202829570375734,0.1202829570375734,0.6206435570937632,1.0,0.5526674389839172,0.7763337194919586
1,20,9,4,OSI,0.407233229785305,True,0.091674180537644,0.1953331977128982,2.53174090385437,-0.1044531464576721,0.44252896,OSI,0.1415715678535611,0.1773906761146839,0.1773906761146839,0.0,0.5874598110971787,0.8955468535423279,0.7415033323197533
2,20,9,4,OSI,0.5867525868250091,True,0.2711935375773481,0.2102164328098297,3.2587034702301025,-0.4202896356582641,0.5603045,OSI,0.1822223430320076,0.1582456545732574,0.1582456545732574,0.0,0.3160818178177798,0.5797103643417358,0.4478960910797578
3,20,9,4,OSI,0.7532734314451712,False,0.4377143821975103,0.3532462418079376,4.437992095947266,0.3494576811790466,0.26805714,control,0.3631255499078192,0.0,0.0,0.4770172416065684,0.49159870104709674,0.6505423188209534,0.5710705099340251
4,20,9,4,OSI,0.7965682904231762,True,0.4810092411755153,0.0458731651306152,0.2795616388320923,0.0605612099170684,-0.057596423,OSI,0.0156327132294288,0.081580482751368,0.081580482751368,0.7366712207703154,1.0,0.9394387900829316,0.9697193950414658
1,3,9,4,OSI,0.663314637901071,False,0.3477555886534101,0.2857045829296112,5.389770984649658,0.1171885952353477,0.13563105,OSI,0.3013887904195962,0.0739244399024585,0.0739244399024585,0.12242796905239292,0.07945409057064005,0.8828114047646523,0.48113274766764613
2,3,9,4,OSI,0.7407122018224858,False,0.4251531525748248,0.3863775134086609,4.507036209106445,-0.2615605294704437,0.2644173,control,0.3641513884371941,0.0,0.0,0.6509542412419906,0.498447032974554,0.7384394705295563,0.6184432517520552
3,3,9,4,OSI,0.701191717551765,False,0.3856326683041041,0.4281467497348785,4.9306817054748535,0.0870994627475738,0.31316066,control,0.369922891101575,0.0,0.0,0.8702399882909079,0.5369766502915898,0.9129005372524261,0.724938593772008
4,3,9,4,OSI,0.6602500528124727,False,0.3446910035648118,,7.548305511474609,0.0665232017636299,0.6845194,,,,,,,0.9334767982363701,
5,3,9,4,OSI,0.7376233380776351,False,0.4220642888299742,0.0563036687672138,0.4583619236946106,0.8279326558113098,0.4614107,OSI,0.0256309862051954,0.1142156651614919,0.1142156651614919,0.6819117618186489,1.0,0.17206734418869019,0.5860336720943451
6,3,9,4,OSI,0.7214677369739266,False,0.4059086877262657,0.2465112209320068,2.634040594100952,0.6727941632270813,0.42083767,control,0.3225087815322172,0.0,0.0,0.0,0.22044773167740858,0.3272058367729187,0.27382678422516366
7,3,9,4,OSI,0.581626350088025,False,0.266067300840364,0.1471849232912063,1.5425482988357544,-0.3164824545383453,0.5415962,OSI,0.0862572393658268,0.1836897041507615,0.1836897041507615,0.20479114521480818,0.95672931207727,0.6835175454616547,0.8201234287694623
1,4,9,4,OSI,0.6179038814143213,False,0.3023448321666603,0.3704766929149627,4.056093692779541,0.179269403219223,0.46848318,control,0.3569453430395339,0.0,0.0,0.5674759781150506,0.45034064063854445,0.820730596780777,0.6355356187096607
2,4,9,4,OSI,0.5551036189262885,False,0.2395445696786275,0.0824364051222801,1.4946236610412598,-0.6048980951309204,0.42571652,OSI,0.0835773576681968,0.1830076188548414,0.1830076188548414,0.5447166125155197,0.9746197683880421,0.3951019048690796,0.6848608366285609
3,4,9,4,OSI,0.3275972279103613,True,0.0120381786627004,,11.067793846130373,0.1817774325609207,0.58192176,,,,,,,0.8182225674390793,
1,5,9,4,OSI,0.7299189603709016,False,0.4143599111232407,0.1180080473423004,1.846347451210022,0.5049128532409668,0.80176544,OSI,0.1032452819608372,0.1853800020584381,0.1853800020584381,0.35796782742753736,0.8433198902657212,0.4950871467590332,0.6692035185123772
2,5,9,4,OSI,0.4676068420801849,True,0.152047792832524,0.2029124647378921,1.9410336017608645,0.044614378362894,0.40412,control,0.2936580578783284,0.0,0.0,0.0,0.02784497181658079,0.9553856216371059,0.49161529672684334
3,5,9,4,OSI,0.6657959451356851,False,0.3502368958880241,0.0822915732860565,0.497516006231308,0.1846143007278442,-0.086043045,OSI,0.0278204301740269,0.1200033961483702,0.1200033961483702,0.5454769701422362,1.0,0.8153856992721558,0.9076928496360779
1,6,9,4,OSI,0.6039285417595708,False,0.2883694925119098,0.0810983180999755,0.8467755913734436,0.7645869851112366,0.4732849,OSI,0.0473505594148114,0.15666489168405,0.15666489168405,0.5517414814887249,1.0,0.23541301488876343,0.6177065074443817
2,6,9,4,OSI,0.7108135078572247,False,0.3952544586095638,0.2127885073423385,8.050483703613281,0.0973670333623886,0.2893692,control,0.3957847346272675,0.0,0.0,0.0,0.7096261303494618,0.9026329666376114,0.8061295484935366
3,6,9,4,OSI,0.7229834468397535,False,0.4074243975920925,0.1405048668384552,1.906338453292847,0.398095041513443,0.118045,OSI,0.1065998986236409,0.1852521023457067,0.1852521023457067,0.23986100280401718,0.820925012574533,0.601904958486557,0.7114149855305449
1,7,9,4,OSI,0.5828847109717215,False,0.2673256617240605,0.1137318313121795,1.2263437509536743,-0.1431135237216949,0.4962724,OSI,0.0685755036329402,0.176516338759055,0.176516338759055,0.38041768069715615,1.0,0.856886476278305,0.9284432381391525
2,7,9,4,OSI,0.1796142173962631,True,-0.1359448318513978,0.3192545175552368,5.3543853759765625,0.6321550011634827,0.24329537,OSI,0.2994100744729225,0.0755153836385927,0.0755153836385927,0.29856292206815616,0.06624450328673093,0.36784499883651733,0.21704475106162413
1,8,9,4,OSI,0.6392094223019236,False,0.3236503730542626,0.1574488431215286,2.3725662231445312,0.1910861432552337,0.33773077,OSI,0.1326707324338012,0.1803453935692059,0.1803453935692059,0.1509062403038298,0.6468803472154014,0.8089138567447662,0.7278971019800838
1,9,9,4,OSI,0.6884864673688357,False,0.3729274181211747,0.2781015336513519,4.19757604598999,-0.1386737525463104,0.022132423,OSI,0.2347228427327006,0.1246179947308158,0.1246179947308158,0.0825124597571861,0.0,0.8613262474536896,0.4306631237268448
2,9,9,4,OSI,0.4355100446551727,True,0.1199509954075118,0.2536773383617401,5.374478340148926,-0.0085481032729148,0.3264025,OSI,0.3005336461766369,0.074612528365922,0.074612528365922,0.0,0.07374528606199275,0.9914518967270852,0.532598591394539
