ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
5,4,20,4,VIN,0.7033000931147785,False,0.3932838257109768,0.1179482713341713,1.5320590734481812,0.88494873046875,0.84834814,VIN,0.2486307603708772,0.0205912311877153,0.0205912311877153,0.35828164754375447,0.0,0.11505126953125,0.057525634765625
1,5,20,4,VIN,0.7151896919991737,False,0.4051734245953721,,9.77316188812256,0.0012067817151546,0.41540238,,,,,,,0.9987932182848454,
2,5,20,4,VIN,0.6791427421709854,False,0.3691264747671837,0.2795135378837585,4.7437424659729,0.0099805854260921,0.19430102,VIN,0.3393745921219671,0.0281065008818536,0.0281065008818536,0.08992538922808402,0.3330411524125572,0.9900194145739079,0.6615302834932325
3,5,20,4,VIN,0.6757352707348142,False,0.3657190033310126,,7.16187858581543,0.3304304778575897,0.022992719,,,,,,,0.6695695221424103,
4,5,20,4,VIN,0.5919676177721074,False,0.2819513503683057,0.1213307902216911,0.8091407418251038,0.7630862593650818,0.7672726,VIN,0.1837828135117077,0.0152206203114343,0.0152206203114343,0.34052364556919407,0.30566436955280085,0.2369137406349182,0.27128905509385953
5,5,20,4,VIN,0.5976844423652631,True,0.2876681749614614,0.162142127752304,2.610539197921753,0.8779393434524536,0.6128304,VIN,0.2971059401524984,0.0246058737535043,0.0246058737535043,0.12626680427643952,0.05086247562851258,0.12206065654754639,0.08646156608802949
6,5,20,4,VIN,0.8468002886012413,False,0.5367840211974397,,7.504326343536377,0.6630021929740906,0.3222692,,,,,,,0.3369978070259094,
1,6,20,4,VIN,0.5183805808631197,False,0.208364313459318,0.3783038556575775,4.0927019119262695,0.5313723683357239,0.22577406,control,0.3575779356112532,0.0,0.0,0.6085680683769548,0.4545637262235803,0.4686276316642761,0.4615956789439282
2,6,20,4,VIN,0.6603195588317472,False,0.3503032914279456,0.2112471312284469,1.1606239080429075,0.7429839372634888,0.7485643,VIN,0.2207321104401783,0.0182807063367626,0.0182807063367626,0.0,0.058996845759809215,0.25701606273651123,0.15800645424816023
3,6,20,4,VIN,0.7188226459431508,False,0.4088063785393492,0.1914131343364715,2.573338270187378,0.0665265843272209,0.16567726,VIN,0.2959210972911508,0.0245077468232615,0.0245077468232615,0.0,0.04295265652537221,0.9334734156727791,0.4882130360990756
4,6,20,4,VIN,0.5533687611429693,False,0.2433524937391676,0.2476879656314849,1.6324832439422607,0.1509954035282135,0.71222925,VIN,0.2548216346475377,0.0211039502225388,0.0211039502225388,0.0,0.0,0.8490045964717865,0.42450229823589325
1,7,20,4,VIN,0.7015582180744548,False,0.3915419506706532,0.3051320612430572,1.5926569700241089,0.7351319789886475,0.8867651,control,0.2733292072554831,0.0,0.0,0.22442095408014717,0.0,0.26486802101135254,0.13243401050567627
2,7,20,4,VIN,0.8454319557936415,False,0.5354156883898399,0.1916893720626831,1.087702989578247,0.6787009835243225,0.70550555,VIN,0.214089214946716,0.0177305515745052,0.0177305515745052,0.0,0.10334374051561661,0.3212990164756775,0.21232137849564706
1,8,20,4,VIN,0.5189164317902575,False,0.2089001643864558,0.1447475701570511,0.4049355685710907,0.3139304518699646,0.37568456,control,0.1282443891331885,0.0,0.0,0.217587089068581,0.676429898416159,0.6860695481300354,0.6812497232730972
2,8,20,4,VIN,0.5251022897700169,True,0.2150860223662153,0.1945473402738571,2.273854255676269,0.9098597764968872,0.8379562,VIN,0.2854016395264859,0.0236365409174496,0.0236365409174496,0.0,0.0,0.09014022350311279,0.045070111751556396
1,9,20,4,VIN,0.5115925988156814,False,0.2015763314118798,0.3188292682170868,2.381422996520996,0.3618746697902679,0.57163507,control,0.3133616867460826,0.0,0.0,0.296330390975895,0.15938320790139443,0.6381253302097321,0.3987542690555632
2,9,20,4,VIN,0.3595901566682463,True,0.0495738892644447,0.4752335846424103,4.248724460601807,0.3015888929367065,0.7069182,control,0.360175068619265,0.0,0.0,1.0,0.4719017656803934,0.6984111070632935,0.5851564363718434
3,9,20,4,VIN,0.6413968169336577,False,0.331380549529856,0.2948909103870392,6.068154335021973,0.0896584242582321,0.16418687,VIN,0.3527798527406274,0.0292167047042555,0.0292167047042555,0.17065558478865822,0.4225325018421799,0.9103415757417679,0.6664370387919739
1,0,0,2,control,0.3440935883606132,False,0.0340773209568115,0.0719919204711914,0.5512294769287109,-0.1065806671977043,0.16744292,control,0.1581121483288017,0.0,0.0,0.5995494708748991,0.4770375739481271,0.8934193328022957,0.6852284533752114
2,0,0,2,control,0.4558221237558196,True,0.145805856352018,0.0871041193604469,0.2996302545070648,0.0214366763830184,0.3641222,control,0.1025828369291581,0.0,0.0,0.5202114193697018,0.8477422660400041,0.9785633236169816,0.9131527948284929
1,1,0,2,control,0.1623759303635846,False,-0.1476403370402169,0.1803322732448578,0.900122880935669,0.8659645915031433,0.8409896,control,0.2107797906580868,0.0,0.0,0.03076973528263922,0.12543692123396322,0.1340354084968567,0.12973616486540995
2,1,0,2,control,0.2040173910881125,True,-0.105998876315689,0.1606992334127426,0.5886202454566956,0.6700303554534912,0.7753854,control,0.1648632881874965,0.0,0.0,0.13384190478084537,0.43196805733599214,0.3299696445465088,0.38096885094125044
1,10,0,2,control,0.2714352277090917,False,-0.0385810396947098,0.2842575013637543,3.436669111251831,0.5334648489952087,0.4608319,control,0.3446589292421325,0.0,0.0,0.1148308858849787,0.3683185314339215,0.46653515100479126,0.41742684121935636
2,10,0,2,control,0.2587381791550865,True,-0.051278088248715,0.3538559079170227,2.469810485839844,0.5460246205329895,0.6344923,control,0.3167136125418488,0.0,0.0,0.480217948632596,0.18176012179992168,0.4539753794670105,0.31786775063346606
3,10,0,2,control,0.3755136885089948,False,0.0654974211051931,0.2587241530418396,1.8389252424240112,0.2702276706695556,0.17307627,control,0.2882165882400996,0.0,0.0,0.0,0.0,0.7297723293304443,0.36488616466522217
4,10,0,2,control,0.2714018386810773,False,-0.0386144287227242,0.1740394681692123,0.6295086741447449,0.7563236355781555,0.50167346,control,0.1718913003875326,0.0,0.0,0.06380654857912722,0.3850501858017692,0.24367636442184448,0.31436327511180684
