ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_std,E_Ed_diff,E_Fp,E
3,15,40,2,A199,0.8180620949745847,False,0.1793810989683303,0.16498863697052,0.47713512,0.9760235,0.9917643,False,0.1188691012640739,0.0,1.0,0.0,0.023976499999999956,0.011988249999999978
4,15,40,2,A199,0.789847043236896,False,0.1511660472306416,0.131046712398529,0.27673277,0.95077515,0.98067254,False,0.0797642715476003,0.0,1.0,0.0,0.04922484999999999,0.024612424999999993
5,15,40,2,A199,0.5794531023816696,True,-0.0592278936245848,0.1451276689767837,0.4731308,0.97320974,0.99096394,False,0.1181919042083703,0.0,1.0,0.0,0.026790259999999955,0.013395129999999977
6,15,40,2,A199,0.7948831350052529,False,0.1562021389989984,0.1302497833967209,0.26465258,0.9606271,0.99321705,False,0.0770109917776785,0.0,1.0,0.0,0.039372900000000044,0.019686450000000022
7,15,40,2,A199,0.8136199473770761,False,0.1749389513708217,0.1581448465585708,0.43519983,0.95022917,0.9857924,False,0.111589713217845,0.0,1.0,0.0,0.049770830000000044,0.024885415000000022
8,15,40,2,A199,0.7716573431229341,False,0.1329763471166797,0.1785903126001358,0.66928375,0.93601,0.99050456,False,0.1475461676302785,0.0,1.0,0.0,0.06398999999999999,0.031994999999999996
1,16,40,2,A199,0.8542104807918438,True,0.2155294847855894,0.1098182871937751,0.32578915,0.97216326,0.99486876,False,0.0904294677626529,0.0,0.824663741929883,0.0,0.027836740000000026,0.013918370000000013
2,16,40,2,A199,0.8256539679703427,False,0.1869729719640883,0.0999489277601242,0.26434734,0.95430815,0.9886807,False,0.0769407409201335,0.0,0.5685892981920609,0.0,0.04569184999999998,0.02284592499999999
3,16,40,2,A199,0.8102067596376251,False,0.1715257636313707,0.1127731129527092,0.28502265,0.9918307,0.9766641,False,0.0816237248425154,0.0,0.9013308617817877,0.0,0.008169300000000046,0.004084650000000023
4,16,40,2,A199,0.8175309728160375,False,0.1788499768097831,0.117416113615036,0.3175597,0.9794061,0.9774305,False,0.088695768093089,0.0,1.0,0.0,0.020593900000000054,0.010296950000000027
5,16,40,2,A199,0.8158622238763822,False,0.1771812278701278,0.0798596814274787,0.25010395,0.8472795,0.9453012,False,0.0736244802682209,0.0,0.0473454814754497,0.0,0.15272050000000004,0.07636025000000002
6,16,40,2,A199,0.7783056724011513,False,0.1396246763948969,0.0947962701320648,0.25773332,0.9728243,0.99287987,False,0.0754101527341264,0.0,0.4348963321239826,0.0,0.027175700000000025,0.013587850000000012
