Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,ObjectNumber
MCF7,4,A133,13,1,60,0.041174888610839844,0.0003131291887257248,0.04221606254577637,0.0002770927967503667,0.046263888478279114,7.735570397926494e-05,0.0635453388094902,0.027196364477276802,0.05347616970539093,0.05659627169370651,1
MCF7,4,A133,13,1,60,0.06591125577688217,0.0010325422044843435,0.06725719571113586,0.0009631031425669789,0.06171896681189537,8.253574924310669e-05,0.08802834898233414,0.04324278607964516,0.06922424584627151,0.07362070679664612,2
MCF7,4,A133,13,1,60,0.05092489346861839,0.00028783868765458465,0.05105769634246826,0.0002818088105414063,0.05417338386178017,0.00010288164776284248,0.08333898335695267,0.026514684781432152,0.062382251024246216,0.06720546633005142,3
MCF7,4,A133,13,1,60,0.05330886319279671,0.0005976788233965635,0.054252516478300095,0.0005570633220486343,0.05215107277035713,0.00010868746903724968,0.08114584535360336,0.03190840408205986,0.06029010936617851,0.0654064416885376,4
MCF7,4,A133,13,1,60,0.04465552791953087,0.0005236332071945071,0.04603283479809761,0.00047638206160627306,0.04100007936358452,8.415737102041021e-05,0.07424028217792511,0.01887587085366249,0.04818665236234665,0.053279031068086624,5
MCF7,4,A133,13,1,60,0.057150375097990036,0.0010900067863985896,0.05949040502309799,0.000995428068563342,0.04539865627884865,0.0005215943092480302,0.10503207892179489,0,0.06363195925951004,0.07556944340467453,6
MCF7,4,A133,13,1,60,0.019794078543782234,0.0007682281429879367,0.043801259249448776,0.0006484261830337346,0.035761747509241104,0.0006055188132449985,0.12862856686115265,0,0.05514038726687431,0.06745751947164536,7
MCF7,4,A133,14,1,60,0.059634316712617874,0.0002716397284530103,0.0597049780189991,0.00026774260913953185,0.060173239558935165,0.00013846765796188265,0.09172654151916504,0.026688793674111366,0.06966882944107056,0.07492270320653915,1
MCF7,4,A133,14,1,60,0.08955609053373337,0.0013880640035495162,0.08981936424970627,0.0013684972655028105,0.1630961298942566,0.0005221602623350918,0.22552154958248138,0.11728010326623917,0.180945485830307,0.19573110342025757,2
MCF7,4,A133,14,1,60,0.09434390068054199,0.000930259411688894,0.09443479031324387,0.0009225726826116443,0.10217728465795517,0.0002575029502622783,0.15503665804862976,0.07403270900249481,0.11445833742618561,0.12414755672216415,3
MCF7,4,A133,15,1,60,0.08667051792144775,0.001264051184989512,0.08828113228082657,0.0011453538900241256,0.07859037816524506,9.818009129958227e-05,0.10681962966918945,0.05511551350355148,0.08601904660463333,0.09193632006645203,1
MCF7,4,A133,15,1,60,0.08005411922931671,0.001916609238833189,0.0833185464143753,0.0017227770294994116,0.07107076048851013,3.7443624023580924e-05,0.0831700935959816,0.05607288330793381,0.07605721056461334,0.07861840724945068,2
MCF7,4,A133,15,1,60,0.0686439797282219,0.0006721232202835381,0.07078683376312256,0.0005414186744019389,0.06387601047754288,2.3523931304225698e-05,0.0750967264175415,0.052460767328739166,0.0678490549325943,0.0695469081401825,3
MCF7,4,A133,15,1,60,0.07896313071250916,0.0006976495496928692,0.07896313071250916,0.0006976495496928692,0.09407457709312439,0.00025394311523996294,0.1369961053133011,0.06073612719774246,0.10692189633846283,0.11522198468446732,4
MCF7,4,A133,15,1,60,0.08295830339193344,0.0019367688801139593,0.08486782759428024,0.0018192919669672847,0.06134975701570511,0.000286352529656142,0.09404372423887253,0.00707884319126606,0.07483132183551788,0.0800621286034584,5
MCF7,4,A133,16,1,60,0.012106762267649174,0.00034034435520879924,0.03273404762148857,0.0002450023894198239,0.03014517016708851,8.528587204637006e-05,0.0551268570125103,0.011468601413071156,0.03803432360291481,0.042065832763910294,1
