Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,ObjectNumber
MCF7,2,0509_control,3,3,0,0.029162747785449028,0.00036026991438120604,0.03158726915717125,0.0003136379236821085,0.02532106451690197,0.00011498820822453126,0.055429477244615555,0,0.033950574696063995,0.03886868804693222,5
MCF7,2,0509_control,3,3,0,0.09149964153766632,0.0016837361035868526,0.09264833480119705,0.0015984494239091873,0.07693325728178024,0.00046536876470781863,0.15990690886974335,0.022258803248405457,0.09414227306842804,0.10383977741003036,6
MCF7,2,0509_control,3,3,0,0.02921847254037857,0.00022039357281755656,0.029802165925502777,0.0002074009826174006,0.024710454046726227,7.996328349690884e-05,0.051072537899017334,0,0.0319577120244503,0.03649156168103218,7
MCF7,2,0509_control,3,3,0,0.01164145115762949,0.00016467570094391704,0.017188258469104767,0.000147798826219514,0.011814804747700691,9.739267261466011e-05,0.04784318432211876,0,0.0199792068451643,0.025321371853351593,8
MCF7,2,0509_control,3,3,0,0.03459712117910385,0.0002682210470084101,0.03557436168193817,0.00024103259784169495,0.03405144065618515,2.9697575882892124e-05,0.04899284243583679,0.015931298956274986,0.03842825070023537,0.04066039249300957,9
MCF7,2,0509_control,3,3,0,0.01480929460376501,0.00019939622143283486,0.0184310395270586,0.00018140784231945872,0.004995713010430336,4.0682116377865896e-05,0.02632412500679493,0,0.009831300005316734,0.014543401077389717,10
MCF7,2,0509_control,3,3,0,0.05740688741207123,0.0005348733975552022,0.05826077610254288,0.00049308076268062,0.05739833787083626,6.114766438258812e-05,0.08792486041784286,0.04213777184486389,0.0632321685552597,0.06785695254802704,11
MCF7,2,0509_control,3,3,0,0.03532586991786957,0.0006414969102479517,0.0382351353764534,0.0005830914597027004,0.02342582494020462,0.0003906036145053804,0.10386747866868973,0,0.039254870265722275,0.05093460902571678,12
MCF7,2,0509_control,4,3,0,0.07211942970752716,0.0007903670193627477,0.07230988144874573,0.0007786828209646046,0.05880327522754669,0.0003317900700494647,0.09738505631685257,0.019062019884586334,0.07366668432950974,0.08172989636659622,1
MCF7,2,0509_control,4,3,0,0.022510269656777382,0.0007329449872486293,0.034168846905231476,0.0007141935639083385,0.011271516792476177,0.00012646034883800894,0.03886112943291664,0,0.020537598058581352,0.02732786536216736,2
MCF7,2,0509_control,4,3,0,0.03023507259786129,0.0005878796800971031,0.034237686544656754,0.0005286649102345109,0.016280576586723328,0.0001563445694046095,0.06490128487348557,0,0.02662152424454689,0.033235400915145874,3
MCF7,2,0509_control,5,3,0,0.0062076617032289505,0.00011513784556882456,0.017786545678973198,0.00012395111843943596,0.010932880453765392,6.050921365385875e-05,0.03694652393460274,0,0.017306961119174957,0.02140657603740692,1
MCF7,2,0509_control,5,3,0,0.013617808930575848,0.000510907731950283,0.035006944090127945,0.0005646087229251862,0.017100578173995018,0.00027293135644868016,0.0783376544713974,0,0.030251776799559593,0.040410589426755905,2
MCF7,2,0509_control,5,3,0,0.031051892787218094,0.000309640628984198,0.03228672221302986,0.000282085471553728,0.025800229981541634,0.00012418544793035835,0.05226743221282959,0,0.03476186841726303,0.0393286757171154,3
MCF7,2,0509_control,5,3,0,0.03436862304806709,0.0014358039479702711,0.04618735983967781,0.001383674331009388,0.013794497586786747,0.00034246486029587686,0.08926009386777878,0,0.026626741513609886,0.040349166840314865,4
MCF7,2,0509_control,5,3,0,0.017856815829873085,0.0003500883176457137,0.025385942310094833,0.000306565169012174,0.008323390036821365,5.8280893426854163e-05,0.03189091384410858,0,0.014734635129570961,0.018905064091086388,5
MCF7,2,0509_control,6,3,0,0.009324152022600174,9.632568253437057e-05,0.012771486304700375,8.791171421762556e-05,0.007973602041602135,3.5554749047150835e-05,0.02561759762465954,0,0.012714950367808342,0.01650919020175934,1
MCF7,2,0509_control,6,3,0,0.03564346581697464,0.0002462489064782858,0.03642856329679489,0.00022307285689748824,0.044675931334495544,2.8953718356206082e-05,0.0569024533033371,0.0284834336489439,0.048980120569467545,0.05131256580352783,2
MCF7,2,0509_control,6,3,0,0.026557225733995438,0.0005522227147594094,0.03288352116942406,0.0004757387505378574,0.022677890956401825,0.00030610791873186827,0.09012842178344727,0,0.036759622395038605,0.04620620235800743,3
MCF7,2,0509_control,6,3,0,0.02233108878135681,0.0006572289275936782,0.03326473757624626,0.0006153134745545685,0.013210011646151543,0.00025098066544160247,0.06045498326420784,0,0.025735246017575264,0.03673548996448517,4
MCF7,2,0509_control,6,3,0,0.039021026343107224,0.0005245368229225278,0.04120970889925957,0.00046376296086236835,0.039605483412742615,0.0001768429938238114,0.07902418822050095,0.004738448653370142,0.050277914851903915,0.056320272386074066,5
MCF7,2,0509_control,6,3,0,0.008466845378279686,0.0002105387975461781,0.021113615483045578,0.00025799768627621233,0.00752373319119215,8.38037085486576e-05,0.02770332060754299,0,0.015170467086136341,0.021396925672888756,6
MCF7,2,0509_control,6,3,0,0.042407285422086716,0.00041490510920993984,0.04335751011967659,0.00038300256710499525,0.057210490107536316,0.00010719387501012534,0.08040895313024521,0.034505680203437805,0.0654948428273201,0.07097995281219482,7
MCF7,2,0509_control,6,3,0,0.024713408201932907,0.0001653311774134636,0.025535400956869125,0.00014984035806264728,0.025459852069616318,6.30785507382825e-05,0.05047282576560974,0.0048438431695103645,0.03194268047809601,0.03575418144464493,8
MCF7,2,0509_control,6,3,0,0.029360124841332436,0.00023929814051371068,0.030454065650701523,0.00021489933715201914,0.028101539239287376,6.81992678437382e-05,0.05567223206162453,0.001952377730049193,0.03466910496354103,0.038708947598934174,9
MCF7,2,0509_control,6,3,0,0.01699887216091156,0.0002813897735904902,0.022064564749598503,0.00025347209884785116,0.009462387301027775,9.872673399513587e-05,0.0436851866543293,0,0.01735117845237255,0.023378711193799973,10
MCF7,2,0509_control,6,3,0,0.009212677367031574,0.00032106583239510655,0.028411025181412697,0.00044469183194451034,0.019191836938261986,0.00028831465169787407,0.08183314651250839,0,0.03279147297143936,0.04235168546438217,11
MCF7,2,0509_control,6,3,0,0.04559848830103874,0.0005320585914887488,0.04711247608065605,0.00047839657054282725,0.04776982218027115,9.153313294518739e-05,0.06988542526960373,0.030123271048069,0.05546671524643898,0.06026924401521683,12
MCF7,2,0509_control,6,3,0,0.02188214100897312,0.00039873929927125573,0.027788132429122925,0.0003422425070311874,0.018449699506163597,6.751023465767503e-05,0.039441805332899094,0.002916261786594987,0.025299325585365295,0.029765792191028595,13
MCF7,2,0509_control,7,3,0,0.01955602690577507,0.0010042382637038827,0.044537730515003204,0.0011744665680453181,0.015536870807409286,0.00043034821283072233,0.12426050007343292,0,0.03034401126205921,0.04451427608728409,1
MCF7,2,0509_control,7,3,0,0.01278787013143301,0.0003386121243238449,0.024843355640769005,0.0003583325888030231,0.008118302561342716,0.00011015682684956118,0.05133797600865364,0,0.01571626588702202,0.023162024095654488,2
MCF7,2,0509_control,7,3,0,0.013049132190644741,0.00039327109698206186,0.027490578591823578,0.0004314997640904039,0.014057746157050133,0.00010248971375403926,0.04248948395252228,0,0.0223141647875309,0.02789558656513691,3
MCF7,2,0509_control,7,3,0,0.03600374981760979,0.0012627335963770747,0.04497168958187103,0.001173956086859107,0.016489874571561813,0.00015786002040840685,0.05597975477576256,0,0.026984674856066704,0.03348500281572342,4
MCF7,2,0509_control,8,3,0,0.10108748078346252,0.0016530525172129273,0.1022169440984726,0.0015560714527964592,0.08711270987987518,0.00022074619482737035,0.12236304581165314,0.04366790130734444,0.09881774336099625,0.10757795721292496,1
MCF7,2,0509_control,8,3,0,0.02136317268013954,0.00021174117864575237,0.02297171950340271,0.00019073323346674442,0.017356442287564278,2.7680433049681596e-05,0.03168732300400734,0.008760044351220131,0.021504554897546768,0.024638282135128975,2
MCF7,2,0509_control,8,3,0,0.009625740349292755,0.00011494953650981188,0.013314304873347282,0.00010988728172378615,0.005491733551025391,1.6148393115145154e-05,0.015985986217856407,0,0.008668695576488972,0.01097163651138544,3
