Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,Nuclei_Ed_mean_value,Nuclei_Ed_variance,Nuclei_Ed_not_zero_mean_value,Nuclei_Ed_not_zero_variance,Nuclei_Ed_agg_mean_value,Nuclei_Ed_agg_variance,Nuclei_Ed_agg_max_value,Nuclei_Ed_agg_min_value,Nuclei_Ed_agg_top_50_value,Nuclei_Ed_agg_top_25_value,Mit_Ed_mean_value,Mit_Ed_variance,Mit_Ed_not_zero_mean_value,Mit_Ed_not_zero_variance,Mit_Ed_agg_mean_value,Mit_Ed_agg_variance,Mit_Ed_agg_max_value,Mit_Ed_agg_min_value,Mit_Ed_agg_top_50_value,Mit_Ed_agg_top_25_value
H1975,2.0,Afa,15,6,22.0,2,0.09734971821308136,0.002779610687866807,0.09949807822704315,0.002627196256071329,0.05362439528107643,0.0010231670457869768,0.15939131379127502,0.0,0.07965808361768723,0.09650196880102158,0.11046324670314789,0.0029252509120851755,0.11162905395030975,0.0028259854298084974,0.061032235622406006,0.0008501128177158535,0.14527814090251923,0.0,0.08472786843776703,0.09948170185089111,0.11046324670314789,0.0029252509120851755,0.11162905395030975,0.0028259854298084974,0.061032235622406006,0.0008501128177158535,0.14527814090251923,0.0,0.08472786843776703,0.09948170185089111
H1975,2.0,Afa,15,6,22.0,3,0.02709396742284298,0.002555809449404478,0.08356798440217972,0.0031636578496545553,0.050506461411714554,0.0011674626730382442,0.1642792671918869,0.0,0.07834000885486603,0.09632760286331177,0.01549976971000433,0.001731626340188086,0.09204979985952377,0.003237340832129121,0.0,0.0,0.0,0.0,0.0,0.0,0.01549976971000433,0.001731626340188086,0.09204979985952377,0.003237340832129121,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,15,6,22.0,4,0.07618090510368347,0.004232144448906183,0.09148705005645752,0.0036821458488702774,0.026739882305264473,0.0007993750623427331,0.12644092738628387,0.0,0.049599602818489075,0.06749072670936584,0.09372900426387787,0.004751891363412142,0.10382413864135742,0.004215578082948923,0.04569651186466217,0.0013452330604195595,0.1435893177986145,0.0,0.0751422643661499,0.09887169301509857,0.09402009099721909,0.004739280790090561,0.10382413864135742,0.004215578082948923,0.04569651186466217,0.0013452330604195595,0.1435893177986145,0.0,0.0751422643661499,0.09887169301509857
H1975,2.0,Afa,15,6,22.0,5,0.08345057815313339,0.001167112379334867,0.08409889042377472,0.0011216573184356093,0.0637519359588623,0.00030967569909989834,0.12044603377580643,0.008640684187412262,0.07778553664684296,0.08636998385190964,0.09925445169210434,0.0009002452716231346,0.09926000982522964,0.0008997443947009742,0.0772312581539154,0.0003968685632571578,0.13714204728603363,0.026839585974812508,0.09324543178081512,0.10307914018630981,0.09925445169210434,0.0009002452716231346,0.09926000982522964,0.0008997443947009742,0.0772312581539154,0.0003968685632571578,0.13714204728603363,0.026839585974812508,0.09324543178081512,0.10307914018630981
H1975,2.0,Afa,16,6,22.0,1,0.1395479291677475,0.02199067361652851,0.26171866059303284,0.009268601424992085,0.0,0.0,0.0,0.0,0.0,0.0,0.16475173830986023,0.025172434747219086,0.28741875290870667,0.008657936938107014,0.0,0.0,0.0,0.0,0.0,0.0,0.16475173830986023,0.025172434747219086,0.28741875290870667,0.008657936938107014,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,16,6,22.0,2,0.0717601552605629,0.0022942230571061373,0.07479797303676605,0.0021641217172145844,0.04222206398844719,0.0004990336019545794,0.1411842256784439,0.0,0.06016995757818222,0.07148247957229614,0.10431256890296936,0.003076889319345355,0.10538029670715332,0.0029958670493215322,0.03376494348049164,0.00033240203629247844,0.06988143920898438,0.0,0.049493640661239624,0.05708840489387512,0.10431256890296936,0.003076889319345355,0.10538029670715332,0.0029958670493215322,0.03376494348049164,0.00033240203629247844,0.06988143920898438,0.0,0.049493640661239624,0.05708840489387512
H1975,2.0,Afa,16,6,22.0,3,0.16189700365066528,0.006533337291330099,0.16598542034626007,0.006019708700478077,0.1293901950120926,0.0017676326679065824,0.26083889603614807,0.005022997967898846,0.16295629739761353,0.18277065455913544,0.2062854915857315,0.006169394589960575,0.2068004310131073,0.006078304722905159,0.14364299178123474,0.0018166684312745929,0.27371376752853394,0.022482434287667274,0.177801251411438,0.19863198697566986,0.2062854915857315,0.006169394589960575,0.2068004310131073,0.006078304722905159,0.14364299178123474,0.0018166684312745929,0.27371376752853394,0.022482434287667274,0.177801251411438,0.19863198697566986
H1975,2.0,Afa,16,6,22.0,4,0.10563608258962631,0.0034790749195963144,0.1097986102104187,0.0031591264996677637,0.06004369258880615,0.0006753496127203107,0.13828124105930328,0.0,0.08098606020212173,0.0939532145857811,0.12104527652263641,0.0030715717002749443,0.12168959528207779,0.0030095160473138094,0.0,0.0,0.0,0.0,0.0,0.0,0.12104527652263641,0.0030715717002749443,0.12168959528207779,0.0030095160473138094,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,17,6,22.0,1,0.16822554171085358,0.01372512336820364,0.19925080239772797,0.010074594058096409,0.08148112148046494,0.0011324298102408648,0.18479081988334656,0.0,0.10838059335947037,0.1265011876821518,0.2590089738368988,0.012607677839696407,0.27341875433921814,0.009369190782308578,0.0,0.0,0.0,0.0,0.0,0.0,0.2590089738368988,0.012607677839696407,0.27341875433921814,0.009369190782308578,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,17,6,22.0,2,0.06730832159519196,0.0042556594125926495,0.09090353548526764,0.0036026102025061846,0.04236593469977379,0.0007660242263227701,0.1527099460363388,0.0,0.06497824192047119,0.07912670075893402,0.0898594856262207,0.004393001087009907,0.09792976826429367,0.003997215535491705,0.04884381964802742,0.0009356584050692618,0.13591362535953522,0.0,0.07373621314764023,0.08973322063684464,0.0898594856262207,0.004393001087009907,0.09792976826429367,0.003997215535491705,0.04884381964802742,0.0009356584050692618,0.13591362535953522,0.0,0.07373621314764023,0.08973322063684464
