Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,Nuclei_Ed_mean_value,Nuclei_Ed_variance,Nuclei_Ed_not_zero_mean_value,Nuclei_Ed_not_zero_variance,Nuclei_Ed_agg_mean_value,Nuclei_Ed_agg_variance,Nuclei_Ed_agg_max_value,Nuclei_Ed_agg_min_value,Nuclei_Ed_agg_top_50_value,Nuclei_Ed_agg_top_25_value,Mit_Ed_mean_value,Mit_Ed_variance,Mit_Ed_not_zero_mean_value,Mit_Ed_not_zero_variance,Mit_Ed_agg_mean_value,Mit_Ed_agg_variance,Mit_Ed_agg_max_value,Mit_Ed_agg_min_value,Mit_Ed_agg_top_50_value,Mit_Ed_agg_top_25_value
H1975,2.0,Afa,14,6,22.0,2,0.10495012998580933,0.00570122804492712,0.11722050607204437,0.00492945546284318,,,,,,,0.12064991146326065,0.006769930012524128,0.1353541612625122,0.005604736506938934,,,,,,,0.12064991146326065,0.006769930012524128,0.1353541612625122,0.005604736506938934,,,,,,
H1975,2.0,Afa,14,6,22.0,3,0.11113083362579346,0.004213686101138592,0.1141425147652626,0.0039841183461248875,,,,,,,0.14307259023189545,0.004696405492722988,0.14366057515144348,0.004631235264241695,,,,,,,0.14307259023189545,0.004696405492722988,0.14366057515144348,0.004631235264241695,,,,,,
H1975,2.0,Afa,14,6,22.0,4,0.0525420643389225,0.003763594664633274,0.08969154208898544,0.003092621685937047,0.08256521821022034,0.0015199118060991168,0.2488308846950531,0.0,0.11365935951471329,0.1336764097213745,0.06430207192897797,0.003330789739266038,0.08398637920618057,0.00269720540381968,0.07065338641405106,0.001159478910267353,0.1568785309791565,0.0,0.09829141199588776,0.11532392352819443,0.06430207192897797,0.003330789739266038,0.08398637920618057,0.00269720540381968,0.07065338641405106,0.001159478910267353,0.1568785309791565,0.0,0.09829141199588776,0.11532392352819443
H1975,2.0,Afa,15,6,22.0,1,0.09228790551424026,0.0042237634770572186,0.10235106945037842,0.0036543519236147404,,,,,,,0.11003939062356949,0.004123474936932325,0.11325229704380035,0.0038800020702183247,,,,,,,0.11003939062356949,0.004123474936932325,0.11325229704380035,0.0038800020702183247,,,,,,
H1975,2.0,Afa,15,6,22.0,2,0.09734971821308136,0.002779610687866807,0.09949807822704315,0.002627196256071329,0.060853417962789536,0.0009293832117691636,0.15939131379127502,0.0,0.08554986119270325,0.10102485865354538,0.11046324670314789,0.0029252509120851755,0.11162905395030975,0.0028259854298084974,0.061041880398988724,0.0008400647202506661,0.14527814090251923,0.0,0.08451703935861588,0.09935653209686279,0.11046324670314789,0.0029252509120851755,0.11162905395030975,0.0028259854298084974,0.061041880398988724,0.0008400647202506661,0.14527814090251923,0.0,0.08451703935861588,0.09935653209686279
H1975,2.0,Afa,15,6,22.0,3,0.07618090510368347,0.004232144448906183,0.09148705005645752,0.0036821458488702774,,,,,,,0.09372900426387787,0.004751891363412142,0.10382413864135742,0.004215578082948923,,,,,,,0.09402009099721909,0.004739280790090561,0.10382413864135742,0.004215578082948923,,,,,,
H1975,2.0,Afa,15,6,22.0,4,0.08345057815313339,0.001167112379334867,0.08409889042377472,0.0011216573184356093,0.0637519359588623,0.00030967569909989834,0.12044603377580643,0.008640684187412262,0.07778553664684296,0.08636998385190964,0.09925445169210434,0.0009002452716231346,0.09926000982522964,0.0008997443947009742,0.0772312581539154,0.0003968685632571578,0.13714204728603363,0.026839585974812508,0.09324543178081512,0.10307914018630981,0.09925445169210434,0.0009002452716231346,0.09926000982522964,0.0008997443947009742,0.0772312581539154,0.0003968685632571578,0.13714204728603363,0.026839585974812508,0.09324543178081512,0.10307914018630981
H1975,2.0,Afa,16,6,22.0,1,0.1395479291677475,0.02199067361652851,0.26171866059303284,0.009268601424992085,,,,,,,0.16475173830986023,0.025172434747219086,0.28741875290870667,0.008657936938107014,,,,,,,0.16475173830986023,0.025172434747219086,0.28741875290870667,0.008657936938107014,,,,,,
H1975,2.0,Afa,16,6,22.0,2,0.0717601552605629,0.0022942230571061373,0.07479797303676605,0.0021641217172145844,,,,,,,0.10431256890296936,0.003076889319345355,0.10538029670715332,0.0029958670493215322,,,,,,,0.10431256890296936,0.003076889319345355,0.10538029670715332,0.0029958670493215322,,,,,,
H1975,2.0,Afa,16,6,22.0,3,0.16189700365066528,0.006533337291330099,0.16598542034626007,0.006019708700478077,0.1320711076259613,0.0016555191250517964,0.26083889603614807,0.00947501603513956,0.16439953446388245,0.18387244641780853,0.2062854915857315,0.006169394589960575,0.2068004310131073,0.006078304722905159,0.14364299178123474,0.0018166684312745929,0.27371376752853394,0.022482434287667274,0.177801251411438,0.19863198697566986,0.2062854915857315,0.006169394589960575,0.2068004310131073,0.006078304722905159,0.14364299178123474,0.0018166684312745929,0.27371376752853394,0.022482434287667274,0.177801251411438,0.19863198697566986
